# t[days] lsstu lsstg lsstr lssti lsstz lssty
0.000 24.314 24.766 25.25 25.617 25.897 26.114
0.250 23.367 23.452 23.64 23.836 24.01 24.158
0.500 23.892 23.6 23.505 23.541 23.621 23.708
0.750 24.672 24.005 23.64 23.522 23.513 23.542
1.000 25.522 24.498 23.886 23.624 23.529 23.503
1.250 26.382 25.029 24.193 23.797 23.621 23.541
1.500 27.239 25.583 24.542 24.019 23.765 23.634
1.750 28.111 26.165 24.929 24.284 23.954 23.771
2.000 29.019 26.783 25.356 24.589 24.182 23.947
2.250 29.984 27.445 25.825 24.933 24.449 24.161
2.500 31.011 28.152 26.334 25.315 24.751 24.407
2.750 32.082 28.891 26.874 25.727 25.081 24.681
3.000 33.152 29.638 27.43 26.157 25.432 24.977
3.250 34.131 30.35 27.975 26.59 25.791 25.283
3.500 34.928 30.975 28.479 27.002 26.141 25.586
3.750 35.534 31.49 28.916 27.376 26.466 25.873
4.000 36.002 31.895 29.276 27.696 26.754 26.133
4.250 36.405 32.225 29.571 27.963 26.999 26.36
4.500 36.777 32.511 29.818 28.187 27.207 26.554
4.750 37.132 32.77 30.033 28.378 27.383 26.719
5.000 37.482 33.017 30.23 28.548 27.537 26.862
5.250 37.828 33.257 30.416 28.703 27.676 26.99
5.500 38.171 33.492 30.596 28.85 27.804 27.106
5.750 38.515 33.726 30.772 28.992 27.926 27.214
6.000 38.861 33.961 30.949 29.132 28.045 27.319
6.250 39.204 34.193 31.122 29.269 28.159 27.418
6.500 39.549 34.428 31.296 29.406 28.273 27.517
6.750 39.898 34.666 31.474 29.544 28.388 27.615
7.000 40.251 34.906 31.654 29.685 28.504 27.715
7.250 40.601 35.146 31.832 29.825 28.62 27.813
7.500 40.954 35.388 32.014 29.967 28.737 27.913
7.750 41.31 35.632 32.198 30.111 28.856 28.014
8.000 41.671 35.881 32.385 30.259 28.978 28.118
8.250 42.038 36.134 32.576 30.41 29.103 28.224
8.500 42.402 36.386 32.767 30.56 29.228 28.33
8.750 42.772 36.642 32.962 30.714 29.356 28.44
9.000 43.145 36.901 33.159 30.871 29.486 28.551
9.250 43.524 37.164 33.36 31.031 29.619 28.665
9.500 43.909 37.433 33.565 31.195 29.756 28.782
9.750 44.296 37.703 33.772 31.36 29.895 28.901
10.000 44.684 37.974 33.981 31.527 30.035 29.021
10.250 45.081 38.251 34.194 31.699 30.179 29.145
