expMJD,_ra,_dec,filter,fiveSigmaDepth
0,1,1.5,lsstg,25.75
0.1004166,1,1.5,lsstg,25.75
0,1,1.5,lssti,24.88
0.1004166,1,1.5,lssti,24.88
1,1,1.5,lssti,25.1
2,1,1.5,lssti,25.1
3,1,1.5,lssti,25.1
0,1,1.5,lsstr,25.27
0.1004166,1,1.5,lsstr,25.27
1,1,1.5,lsstr,25.49
2,1,1.5,lsstr,25.49
3,1,1.5,lsstr,25.49
