# t[days] lsstu lsstg lsstr lssti lsstz lssty f062 f087 f106 f129 f158 f184 f213 f146 
0.103 20.005 21.050 21.881 20.564 24.808 24.345 22.095 21.118 25.760 28.106 30.881 34.386 43.538 26.996 
0.109 18.389 18.604 18.216 19.645 19.441 23.329 18.484 19.606 24.151 20.238 22.870 30.600 34.083 21.441 
0.116 18.697 18.193 18.931 21.376 18.546 20.549 19.240 19.212 18.836 22.699 25.810 25.627 33.464 20.064 
0.122 17.687 17.460 17.212 17.121 17.281 19.486 17.157 17.952 19.941 19.910 20.247 22.003 22.841 20.236 
0.130 17.206 18.349 19.070 18.756 17.540 19.802 18.801 18.094 19.925 22.127 21.056 18.275 23.011 19.545 
0.137 17.363 17.802 18.403 19.135 18.078 17.667 18.317 17.899 18.493 18.937 19.361 22.456 21.012 19.149 
0.145 17.610 17.512 17.647 17.771 19.142 18.189 17.492 18.848 19.292 17.927 23.508 18.872 20.096 18.664 
0.154 16.911 17.549 17.865 17.716 18.910 19.814 17.905 18.534 18.944 18.218 18.997 19.563 21.304 18.697 
0.163 17.219 17.289 16.662 18.369 18.627 19.267 16.920 18.826 18.688 17.606 19.127 22.040 20.949 18.489 
0.173 17.031 17.293 17.608 18.723 19.897 18.021 17.726 19.282 18.090 17.310 18.458 21.152 21.717 18.135 
0.183 17.422 17.920 18.100 18.834 18.869 19.480 18.282 18.922 18.897 20.432 20.384 20.647 21.211 19.649 
0.194 17.492 17.882 17.527 18.084 17.459 19.054 17.768 17.854 19.481 19.584 19.054 19.203 20.337 19.461 
0.206 17.141 17.480 18.277 17.816 18.226 18.653 18.094 17.985 19.066 19.991 21.102 20.509 18.798 19.944 
0.218 17.257 17.491 18.113 17.827 18.623 17.487 17.978 17.967 18.106 19.218 19.338 20.954 20.181 18.931 
0.231 17.728 17.969 18.022 17.992 17.855 18.632 17.978 18.115 18.734 19.666 19.741 18.488 18.512 19.002 
0.244 17.495 17.673 18.032 18.597 18.345 18.525 18.086 18.487 18.186 19.729 19.660 18.018 17.577 18.606 
0.259 17.556 17.894 17.788 17.988 18.337 17.222 17.898 17.674 17.613 18.820 19.504 19.651 19.837 18.505 
0.274 17.642 17.698 18.329 18.440 18.960 18.253 18.192 18.629 18.371 19.269 19.183 20.786 19.608 18.989 
0.290 17.587 17.939 18.225 18.040 17.940 19.063 18.194 18.115 19.021 19.067 19.955 20.660 20.799 19.412 
0.308 17.734 17.990 18.052 18.102 18.950 18.718 18.009 18.699 19.178 19.609 19.845 20.782 19.756 19.655 
0.326 17.821 17.989 18.570 18.255 19.042 19.362 18.368 18.796 18.951 19.130 19.558 20.097 19.256 19.403 
0.345 17.822 18.122 18.438 18.759 19.434 19.744 18.499 19.207 19.527 19.238 19.049 19.021 19.833 19.110 
0.366 17.958 18.155 18.429 18.477 18.677 19.715 18.449 18.751 19.176 19.397 19.665 19.621 19.983 19.436 
0.387 17.868 18.278 18.330 18.472 18.586 19.243 18.381 18.708 19.351 19.502 19.773 20.029 19.948 19.627 
0.410 18.000 18.116 18.521 18.556 18.654 18.532 18.440 18.569 18.990 19.090 19.117 18.995 20.193 19.080 
0.435 17.934 18.312 18.626 18.535 19.227 18.974 18.518 19.000 19.177 19.487 19.247 19.536 20.490 19.274 
0.461 18.089 18.275 18.631 18.998 19.376 19.304 18.627 19.412 19.165 19.376 18.782 19.480 19.502 19.156 
0.488 18.193 18.209 18.546 18.781 18.971 18.947 18.461 19.011 18.931 19.096 19.412 19.350 19.779 19.127 
0.517 18.190 18.270 18.517 18.435 18.946 19.024 18.478 18.734 18.903 18.872 19.618 19.893 19.303 19.225 
0.547 18.288 18.348 18.529 18.723 19.010 18.527 18.538 18.719 18.764 19.222 19.446 19.855 19.572 19.244 
0.580 18.387 18.574 18.774 18.767 18.972 18.686 18.735 18.926 18.828 18.982 19.327 19.007 19.264 18.999 
0.614 18.394 18.423 18.695 19.049 18.983 19.089 18.710 19.097 18.900 19.280 19.004 19.105 19.519 19.060 
0.651 18.579 18.481 18.576 18.728 18.617 19.159 18.611 18.787 19.145 19.205 19.333 19.602 19.541 19.282 
0.689 18.537 18.458 18.632 18.568 18.824 19.011 18.563 18.814 19.073 18.921 19.288 19.004 19.579 19.060 
0.730 18.618 18.488 18.589 18.468 18.626 18.939 18.486 18.731 18.954 19.268 19.034 19.025 19.299 19.031 
0.773 18.800 18.602 18.535 18.643 18.519 18.495 18.543 18.573 18.748 18.861 18.926 18.976 19.166 18.860 
0.819 18.643 18.553 18.578 18.672 18.744 18.993 18.602 18.752 18.889 18.782 19.101 18.884 18.783 18.905 
0.868 18.784 18.674 18.671 18.619 18.753 18.947 18.670 18.756 18.973 18.820 19.122 19.151 19.195 18.988 
0.919 18.835 18.723 18.789 18.804 18.793 18.735 18.788 18.759 18.858 18.871 18.980 19.103 18.933 18.927 
0.974 19.038 18.699 18.736 18.675 18.685 18.891 18.709 18.725 18.885 18.908 18.987 19.098 19.124 18.968 
1.032 19.103 18.894 18.823 18.721 18.790 18.857 18.796 18.805 18.865 18.842 18.994 19.220 19.185 18.952 
1.093 19.357 18.966 18.868 18.764 18.848 18.919 18.840 18.840 18.883 18.850 18.952 18.934 19.014 18.910 
1.158 19.487 19.049 18.923 18.753 18.787 18.895 18.877 18.807 18.899 18.805 18.921 19.074 19.020 18.907 
1.226 19.707 19.139 18.968 18.802 18.768 18.919 18.955 18.808 18.879 18.716 18.885 18.940 19.177 18.847 
1.299 19.781 19.287 18.923 18.761 18.792 19.019 18.952 18.823 18.824 18.831 18.898 19.097 19.123 18.910 
1.376 19.848 19.237 18.996 18.797 18.804 18.943 18.958 18.845 18.854 18.767 18.967 18.862 19.110 18.870 
1.458 20.213 19.396 19.056 18.868 18.844 18.730 19.043 18.831 18.760 18.759 18.918 18.981 19.133 18.845 
1.544 20.416 19.442 19.084 18.928 18.719 18.851 19.065 18.832 18.761 18.726 18.862 18.927 19.149 18.814 
1.636 20.724 19.565 19.149 18.900 18.796 18.777 19.128 18.819 18.736 18.690 18.889 18.894 18.997 18.800 
1.733 20.908 19.698 19.193 18.868 18.817 18.849 19.150 18.848 18.822 18.774 18.808 18.764 19.104 18.798 
1.836 21.325 19.852 19.316 19.007 19.007 18.908 19.278 19.008 18.806 18.732 18.783 18.811 19.031 18.784 
1.944 21.596 20.063 19.450 19.110 18.964 18.770 19.432 18.959 18.779 18.761 18.887 18.865 19.108 18.823 
2.060 21.873 20.167 19.594 19.151 19.103 18.951 19.535 19.075 18.920 18.773 18.870 18.890 19.025 18.868 
2.182 22.289 20.329 19.650 19.252 19.133 19.021 19.625 19.139 18.962 18.798 18.901 18.967 19.008 18.896 
2.311 22.369 20.438 19.747 19.365 19.176 19.020 19.717 19.182 18.980 18.825 18.975 18.990 19.063 18.938 
2.448 22.877 20.603 19.893 19.422 19.337 19.060 19.839 19.280 19.045 18.843 19.041 18.969 19.070 18.975 
2.594 23.117 20.740 19.982 19.501 19.353 19.136 19.927 19.331 19.090 18.849 19.014 18.962 19.043 18.975 
2.747 23.319 20.879 20.018 19.502 19.381 19.063 19.964 19.326 19.041 18.882 18.976 18.980 19.091 18.971 
2.910 23.631 21.057 20.141 19.629 19.387 19.139 20.113 19.363 19.108 18.871 19.059 19.051 19.101 19.018 
3.083 23.928 21.217 20.268 19.738 19.455 19.135 20.240 19.417 19.131 18.910 19.029 18.965 19.079 19.008 
3.266 24.477 21.400 20.369 19.729 19.561 19.159 20.300 19.471 19.177 18.950 19.036 19.018 18.993 19.049 
3.459 24.985 21.730 20.439 19.868 19.625 19.175 20.436 19.529 19.209 18.955 19.047 19.011 19.035 19.052 
3.665 25.405 22.112 20.642 19.934 19.642 19.241 20.606 19.564 19.261 18.934 19.041 18.967 19.001 19.052 
3.882 25.811 22.526 20.863 20.085 19.700 19.235 20.806 19.607 19.308 18.957 19.038 19.006 19.020 19.080 
4.112 26.902 22.910 21.105 20.318 19.866 19.309 21.067 19.762 19.360 19.025 19.068 19.085 19.010 19.127 
4.356 26.953 23.034 21.277 20.409 19.904 19.348 21.212 19.797 19.403 19.041 19.027 19.054 19.019 19.127 
4.614 26.877 23.352 21.506 20.599 20.007 19.442 21.420 19.928 19.506 19.065 19.061 19.100 19.035 19.171 
4.888 27.812 23.514 21.638 20.672 20.090 19.534 21.503 20.012 19.597 19.132 19.060 19.079 19.022 19.209 
5.178 28.164 23.628 21.865 20.799 20.243 19.577 21.687 20.113 19.650 19.173 19.072 19.084 18.998 19.229 
5.485 29.274 23.892 22.019 20.940 20.340 19.662 21.821 20.216 19.765 19.239 19.091 19.085 19.014 19.272 
5.810 29.112 24.100 22.174 21.076 20.412 19.734 21.949 20.308 19.849 19.267 19.076 19.082 19.002 19.291 
6.155 29.389 24.342 22.393 21.177 20.606 19.835 22.124 20.448 19.963 19.325 19.068 19.096 19.009 19.330 
6.520 29.919 24.435 22.659 21.398 20.755 19.949 22.351 20.597 20.056 19.383 19.108 19.129 19.018 19.383 
6.906 29.714 24.729 22.990 21.581 20.923 20.135 22.571 20.798 20.208 19.503 19.129 19.106 19.023 19.438 
7.316 33.237 25.049 23.215 21.866 21.083 20.267 22.861 20.946 20.341 19.563 19.173 19.156 19.076 19.500 
7.750 32.965 25.451 23.636 22.164 21.271 20.433 23.202 21.169 20.416 19.653 19.167 19.145 19.067 19.534 
8.210 35.111 26.226 24.239 22.511 21.503 20.599 23.677 21.376 20.574 19.768 19.207 19.162 19.113 19.598 
8.696 36.906 26.732 24.708 22.970 21.779 20.835 24.148 21.653 20.778 19.892 19.239 19.146 19.127 19.654 
9.212 44.640 27.251 25.410 23.436 22.062 21.034 24.786 21.929 20.935 20.008 19.274 19.184 19.199 19.723 
