# t[days] lsstu lsstg lsstr lssti lsstz lssty f062 f087 f106 f129 f158 f184 f213 f146 
0.103 25.117 25.132 27.089 27.582 28.401 28.547 26.403 28.454 28.554 29.035 28.655 31.904 31.802 28.960 
0.109 21.260 21.911 23.031 24.851 26.343 27.483 23.242 26.213 26.675 29.546 26.682 26.451 30.436 27.064 
0.116 21.639 20.885 21.889 22.610 22.114 23.364 21.499 22.098 24.148 22.588 25.490 28.739 30.406 23.541 
0.122 20.507 20.967 20.702 21.618 25.414 23.136 20.931 22.658 23.211 22.191 25.255 28.180 27.386 23.168 
0.130 20.182 20.598 20.593 22.028 22.987 24.176 20.885 22.489 21.599 21.307 27.911 28.618 28.965 21.926 
0.137 20.331 20.632 20.680 22.562 21.240 23.012 20.805 21.834 22.239 24.698 25.782 24.322 28.288 23.277 
0.145 19.981 20.654 21.066 21.154 23.213 23.780 20.930 22.863 24.402 22.220 24.003 24.882 26.431 23.118 
0.154 19.968 20.641 20.895 22.247 22.814 23.818 21.081 22.742 23.950 22.321 24.654 27.623 26.334 23.314 
0.163 19.983 20.647 20.910 21.231 22.437 23.125 21.058 21.824 22.291 21.239 22.537 24.014 24.551 22.102 
0.173 20.034 20.758 21.263 21.985 22.886 22.359 21.297 22.847 22.887 23.578 24.651 24.064 22.132 23.553 
0.183 19.905 20.145 20.750 21.775 21.357 22.729 20.722 21.777 22.148 23.756 23.706 24.319 21.521 22.988 
0.194 20.194 20.658 20.993 21.297 22.047 22.211 21.061 21.772 22.131 22.382 22.970 23.264 27.296 22.467 
0.206 20.086 20.686 21.235 22.080 22.273 22.451 21.354 22.235 22.774 22.263 22.780 24.076 25.744 22.838 
0.218 20.285 20.683 21.531 21.510 21.668 21.662 21.214 21.579 22.466 23.021 22.171 24.353 23.961 22.547 
0.231 20.161 20.680 21.577 22.050 21.550 21.489 21.450 21.618 22.241 23.560 24.103 23.454 23.390 22.989 
0.244 20.222 20.694 21.272 21.679 22.030 22.640 21.310 22.013 22.849 22.642 22.901 25.800 26.893 22.962 
0.259 20.171 20.879 21.412 21.620 22.193 22.304 21.412 21.991 21.704 22.312 22.417 22.726 24.008 22.203 
0.274 20.199 20.924 21.483 21.492 21.453 22.554 21.425 21.660 22.585 22.063 22.435 23.776 23.823 22.634 
0.290 20.180 20.858 21.364 22.084 22.635 21.865 21.432 22.228 22.049 22.991 23.500 23.505 24.640 22.734 
0.308 20.197 20.860 21.418 21.817 21.791 22.025 21.372 21.904 21.985 22.275 22.749 24.415 23.275 22.556 
0.326 20.452 20.898 21.629 21.621 21.501 22.317 21.532 21.667 22.402 22.666 23.087 22.774 24.648 22.661 
0.345 20.454 20.865 21.497 21.730 21.924 22.081 21.397 21.907 21.789 22.500 22.925 23.167 23.104 22.449 
0.366 20.596 20.962 21.391 21.722 21.688 22.488 21.378 21.851 22.577 22.381 22.771 24.067 24.853 22.744 
0.387 20.618 21.071 21.302 21.645 21.601 21.867 21.359 21.681 22.164 22.291 22.195 22.739 23.564 22.267 
0.410 20.590 21.098 21.358 21.605 21.546 22.204 21.373 21.763 22.166 21.978 22.519 23.271 23.771 22.340 
0.435 20.660 21.040 21.439 21.652 21.801 21.951 21.415 21.854 22.036 21.927 21.921 22.503 23.397 22.134 
0.461 20.711 20.999 21.312 21.429 21.713 21.717 21.293 21.648 21.752 22.013 22.414 22.434 23.325 22.104 
0.488 20.733 20.959 21.219 21.461 21.724 21.967 21.218 21.689 22.014 21.854 22.425 23.011 22.686 22.206 
0.517 20.807 21.123 21.252 21.314 21.597 21.535 21.245 21.481 21.607 21.809 22.386 22.852 22.551 21.985 
0.547 20.872 21.074 21.148 21.371 21.421 21.534 21.183 21.446 21.641 21.789 22.027 22.734 22.809 21.925 
0.580 20.922 21.111 21.104 21.241 21.379 21.369 21.159 21.310 21.445 21.574 22.053 22.465 22.858 21.754 
0.614 21.091 21.130 21.182 21.221 21.279 21.297 21.148 21.297 21.410 21.595 21.919 22.275 22.774 21.728 
0.651 21.272 21.147 21.111 21.137 21.272 21.391 21.122 21.241 21.318 21.537 21.917 22.275 22.476 21.663 
0.689 21.474 21.283 21.141 21.149 21.224 21.247 21.136 21.232 21.337 21.513 21.872 22.102 22.397 21.621 
0.730 21.681 21.343 21.217 21.166 21.260 21.243 21.214 21.217 21.314 21.547 21.779 21.962 22.264 21.603 
0.773 21.930 21.564 21.316 21.211 21.282 21.389 21.325 21.298 21.348 21.393 21.705 22.064 22.249 21.561 
0.819 22.147 21.633 21.395 21.209 21.214 21.276 21.377 21.208 21.376 21.415 21.571 21.780 22.036 21.496 
0.868 22.340 21.792 21.513 21.416 21.346 21.317 21.528 21.340 21.404 21.480 21.648 21.735 21.936 21.535 
0.919 22.492 21.901 21.619 21.459 21.388 21.452 21.616 21.413 21.435 21.481 21.636 21.772 22.060 21.561 
0.974 22.653 22.124 21.735 21.562 21.493 21.431 21.736 21.477 21.540 21.475 21.626 21.775 22.204 21.584 
1.032 22.899 22.264 21.882 21.707 21.615 21.658 21.893 21.622 21.702 21.541 21.598 21.734 21.901 21.638 
1.093 23.196 22.466 22.024 21.814 21.661 21.621 22.037 21.651 21.695 21.623 21.656 21.877 22.031 21.700 
1.158 23.379 22.596 22.167 21.898 21.764 21.767 22.161 21.768 21.803 21.731 21.753 21.840 22.023 21.777 
1.226 23.597 22.704 22.327 21.984 21.939 21.880 22.297 21.904 21.896 21.800 21.804 21.927 22.151 21.859 
1.299 23.728 22.927 22.454 22.168 22.026 21.907 22.446 22.000 21.953 21.881 21.883 21.901 22.171 21.910 
1.376 24.095 23.072 22.504 22.241 22.104 21.974 22.526 22.067 22.056 21.942 21.894 21.994 22.135 21.975 
1.458 24.326 23.117 22.585 22.255 22.167 22.098 22.578 22.153 22.084 21.928 21.905 21.982 22.296 21.983 
1.544 24.534 23.277 22.655 22.305 22.192 22.109 22.658 22.156 22.118 21.950 21.961 22.082 22.226 22.029 
1.636 24.720 23.386 22.760 22.343 22.246 22.150 22.739 22.215 22.171 21.978 21.974 22.042 22.231 22.047 
1.733 25.202 23.543 22.841 22.504 22.401 22.253 22.874 22.347 22.221 22.031 22.046 22.157 22.224 22.119 
1.836 25.738 23.727 23.022 22.620 22.434 22.337 23.027 22.417 22.315 22.076 22.112 22.192 22.293 22.176 
1.944 26.166 24.006 23.186 22.714 22.544 22.381 23.172 22.517 22.356 22.159 22.176 22.299 22.334 22.244 
2.060 26.747 24.235 23.361 22.896 22.672 22.508 23.374 22.629 22.461 22.216 22.182 22.340 22.408 22.305 
2.182 27.537 24.554 23.523 23.068 22.726 22.537 23.539 22.714 22.504 22.264 22.264 22.396 22.466 22.361 
2.311 28.172 24.956 23.795 23.195 22.874 22.676 23.796 22.848 22.616 22.368 22.350 22.463 22.551 22.453 
2.448 28.822 25.379 24.012 23.349 22.933 22.724 23.999 22.927 22.648 22.443 22.417 22.566 22.530 22.513 
2.594 28.567 25.663 24.293 23.481 23.096 22.820 24.226 23.071 22.714 22.401 22.410 22.562 22.637 22.521 
2.747 30.619 26.005 24.511 23.626 23.173 22.849 24.418 23.144 22.781 22.517 22.447 22.657 22.591 22.588 
2.910 31.827 26.301 24.760 23.791 23.273 22.941 24.611 23.269 22.811 22.595 22.527 22.709 22.656 22.660 
3.083 31.978 26.403 24.864 23.830 23.306 22.958 24.664 23.313 22.823 22.628 22.467 22.673 22.658 22.644 
3.266 30.602 26.636 25.010 23.899 23.425 22.871 24.778 23.358 22.818 22.697 22.486 22.712 22.681 22.666 
3.459 31.632 26.704 25.164 23.810 23.359 22.891 24.769 23.330 22.810 22.705 22.441 22.624 22.614 22.640 
3.665 31.475 26.820 25.259 23.840 23.406 22.924 24.842 23.363 22.821 22.723 22.431 22.599 22.601 22.633 
3.882 32.363 26.865 25.310 23.924 23.469 22.937 24.909 23.403 22.855 22.753 22.405 22.592 22.625 22.644 
4.112 32.563 26.989 25.499 23.963 23.522 22.964 24.998 23.451 22.877 22.753 22.409 22.535 22.578 22.639 
4.356 32.780 27.130 25.496 23.971 23.530 22.984 25.000 23.470 22.893 22.770 22.403 22.502 22.575 22.635 
4.614 34.010 27.210 25.604 23.971 23.532 23.027 25.045 23.491 22.879 22.750 22.372 22.490 22.513 22.615 
4.888 33.795 27.461 25.805 24.105 23.640 23.128 25.215 23.608 22.923 22.785 22.356 22.462 22.510 22.627 
5.178 34.740 27.853 26.119 24.331 23.882 23.302 25.486 23.820 23.057 22.853 22.384 22.459 22.528 22.676 
5.485 35.742 28.206 26.447 24.635 24.077 23.491 25.801 24.025 23.210 22.954 22.441 22.478 22.520 22.750 
5.810 38.639 28.841 26.920 25.027 24.312 23.728 26.262 24.266 23.405 23.085 22.497 22.501 22.583 22.842 
6.155 40.795 29.356 27.522 25.437 24.634 24.016 26.755 24.593 23.600 23.263 22.583 22.536 22.624 22.951 
6.520 44.543 30.202 28.189 25.956 24.972 24.396 27.402 24.968 23.829 23.457 22.691 22.613 22.702 23.085 
6.906 44.979 31.035 28.824 26.466 25.401 24.784 27.975 25.375 24.052 23.658 22.782 22.680 22.821 23.208 
7.316 nan 31.899 29.422 26.901 25.808 25.078 28.545 25.753 24.239 23.819 22.902 22.744 22.859 23.327 
7.750 54.081 32.201 29.975 27.341 26.258 25.323 28.964 26.114 24.404 23.945 22.978 22.789 22.958 23.415 
8.210 nan 32.491 30.290 27.723 26.530 25.589 29.371 26.369 24.619 24.095 23.062 22.874 23.021 23.526 
8.696 49.715 32.646 30.570 27.888 26.775 25.696 29.484 26.553 24.734 24.165 23.132 22.926 23.108 23.592 
9.212 49.055 33.623 30.871 28.291 26.986 25.920 29.888 26.793 24.895 24.265 23.242 23.040 23.214 23.709 
9.759 49.328 33.951 31.258 28.446 27.339 26.066 30.047 27.026 25.062 24.449 23.393 23.141 23.348 23.850 
10.337 nan 34.059 31.607 28.950 27.633 26.301 30.628 27.297 25.284 24.623 23.566 23.316 23.527 24.027 
10.950 56.468 33.982 31.997 29.408 27.937 26.591 30.941 27.615 25.568 24.860 23.734 23.455 23.645 24.199 
11.600 62.772 34.289 33.145 29.912 28.410 27.033 31.659 28.079 25.967 25.153 23.945 23.650 23.831 24.428 
12.288 63.468 36.089 34.218 30.577 28.776 27.358 32.534 28.412 26.332 25.405 24.181 23.838 23.997 24.651 
13.016 68.298 38.908 33.848 30.868 28.982 27.847 32.837 28.760 26.695 25.625 24.406 24.037 24.131 24.868 
13.788 nan 35.600 34.530 30.990 29.137 27.981 33.159 28.941 26.932 25.781 24.650 24.231 24.256 25.069 
14.606 nan 41.914 34.934 31.433 29.356 28.349 33.457 29.250 27.175 25.938 24.859 24.479 24.399 25.286 
15.472 96.997 42.424 35.030 31.655 29.259 28.603 34.219 29.371 27.439 26.017 25.073 24.740 24.518 25.487 
16.390 100.075 39.506 35.327 32.003 29.558 28.765 34.158 29.571 27.667 26.118 25.267 25.097 24.640 25.720 
17.362 92.826 40.143 35.257 32.761 29.975 29.166 34.759 30.004 27.888 26.230 25.425 25.323 24.784 25.883 
18.392 nan 58.035 34.881 33.155 30.339 29.874 35.067 30.540 28.242 26.354 25.581 25.534 24.865 26.046 
19.482 nan 57.826 36.208 33.961 30.902 30.101 36.352 30.991 28.559 26.516 25.710 25.724 24.968 26.200 
20.638 105.255 nan 40.747 34.406 31.093 30.443 37.637 31.214 28.754 26.667 25.837 25.875 25.101 26.324 
21.862 105.634 73.987 39.406 35.337 31.792 31.151 37.847 32.037 29.109 26.892 25.970 26.103 25.236 26.497 
23.158 107.894 91.642 40.025 36.638 32.473 31.165 40.609 32.325 29.373 27.115 26.146 26.260 25.324 26.676 
24.532 108.878 87.960 38.375 36.245 33.294 31.989 38.742 33.068 29.759 27.375 26.316 26.412 25.485 26.855 
25.987 110.429 87.117 nan 37.389 34.017 32.520 38.824 33.970 30.189 27.669 26.505 26.598 25.670 27.068 
27.528 nan 88.863 nan 35.789 34.211 32.154 39.245 33.436 30.484 27.928 26.777 26.928 25.971 27.357 
29.160 nan 89.855 67.144 44.029 34.788 32.709 45.181 34.347 30.973 28.344 27.153 27.320 26.252 27.748 
30.890 inf inf inf inf inf inf inf inf inf inf inf inf inf inf 
