# t[days] lsstu lsstg lsstr lssti lsstz lssty f062 f087 f106 f129 f158 f184 f213 f146 
0.103 26.871 26.287 26.601 28.229 27.988 27.078 26.749 27.989 27.448 29.484 29.016 33.651 33.581 28.347 
0.109 23.282 23.302 23.726 25.188 26.889 25.769 23.690 25.807 25.996 24.197 27.531 28.550 27.244 25.258 
0.116 23.308 23.145 23.621 24.182 24.618 24.791 23.617 24.616 25.151 26.075 27.033 29.698 26.565 26.067 
0.122 22.690 22.758 22.917 22.926 23.447 24.046 22.897 23.491 23.786 24.091 24.076 24.761 26.556 24.212 
0.130 22.484 22.872 22.898 23.828 23.270 22.425 23.151 23.057 23.183 24.280 24.968 25.108 25.462 23.989 
0.137 22.089 22.481 22.719 23.557 23.387 23.035 22.855 23.112 23.752 23.324 24.375 23.956 23.246 23.754 
0.145 22.125 22.406 22.261 23.350 23.475 24.532 22.478 23.777 23.479 24.531 23.685 23.922 25.096 23.756 
0.154 22.401 22.351 22.543 22.797 23.446 24.526 22.471 23.702 23.638 23.510 24.474 24.174 26.068 23.977 
0.163 22.417 22.467 22.814 23.048 23.985 23.575 22.785 23.740 23.715 24.491 24.138 26.027 25.159 24.243 
0.173 22.366 22.637 22.909 22.944 23.168 23.715 22.819 23.330 23.835 24.572 24.655 24.258 25.928 24.300 
0.183 22.406 22.583 22.829 23.438 23.521 23.730 22.895 23.469 23.806 24.272 24.698 25.328 24.350 24.390 
0.194 22.534 22.670 22.984 22.981 23.353 23.690 22.987 23.233 23.346 23.758 24.176 25.686 26.132 23.941 
0.206 22.433 22.640 22.893 23.258 24.037 23.455 22.940 23.659 23.452 23.416 24.369 25.260 25.299 23.841 
0.218 22.419 22.631 22.996 23.518 23.784 24.125 23.051 23.778 24.236 24.047 24.264 23.950 24.105 24.148 
0.231 22.445 22.821 23.151 23.571 23.019 24.093 23.185 23.364 23.971 24.481 24.805 24.873 25.913 24.396 
0.244 22.564 22.955 23.108 23.366 23.577 23.821 23.121 23.630 23.606 24.079 24.556 24.277 25.205 24.082 
0.259 22.637 22.895 23.025 23.390 23.424 23.449 23.109 23.411 23.480 23.845 24.372 25.137 24.652 23.973 
0.274 22.678 22.990 23.255 23.451 23.502 23.669 23.278 23.569 23.739 24.162 24.092 24.221 24.200 23.999 
0.290 22.724 22.988 23.247 23.390 23.360 23.401 23.252 23.333 23.475 23.467 23.863 24.107 24.833 23.659 
0.308 22.821 23.113 23.044 23.283 23.437 23.778 23.146 23.442 23.603 23.823 24.119 24.240 24.590 23.912 
0.326 22.896 22.977 23.153 23.227 23.253 23.408 23.179 23.205 23.343 23.533 23.825 24.247 25.131 23.655 
0.345 22.994 23.107 22.994 23.246 23.396 23.329 23.095 23.338 23.360 23.789 24.020 24.163 24.228 23.733 
0.366 23.150 23.129 22.938 23.181 23.097 23.365 23.054 23.148 23.277 23.244 23.484 23.800 24.156 23.442 
0.387 23.335 23.283 23.037 23.136 23.203 23.166 23.109 23.173 23.165 23.415 23.867 23.758 23.943 23.501 
0.410 23.476 23.441 23.140 23.072 23.189 23.182 23.197 23.145 23.219 23.297 23.650 23.715 24.230 23.409 
0.435 23.759 23.551 23.178 23.128 23.176 23.133 23.224 23.152 23.180 23.243 23.390 23.503 23.754 23.325 
0.461 23.904 23.600 23.362 23.250 23.241 23.105 23.374 23.220 23.257 23.312 23.350 23.422 23.655 23.327 
0.488 24.020 23.757 23.464 23.388 23.389 23.168 23.476 23.349 23.237 23.423 23.529 23.541 23.655 23.406 
0.517 24.319 23.969 23.542 23.472 23.407 23.375 23.590 23.398 23.351 23.466 23.536 23.596 23.752 23.474 
0.547 24.492 24.162 23.725 23.536 23.546 23.417 23.735 23.492 23.525 23.435 23.489 23.429 23.723 23.481 
0.580 24.790 24.267 23.840 23.655 23.532 23.508 23.857 23.561 23.570 23.551 23.575 23.516 23.775 23.555 
0.614 25.044 24.445 23.935 23.718 23.648 23.586 23.921 23.693 23.663 23.674 23.606 23.637 23.870 23.640 
0.651 25.313 24.534 24.000 23.856 23.727 23.742 24.011 23.759 23.750 23.788 23.693 23.789 23.827 23.758 
0.689 25.548 24.730 24.177 23.978 23.748 23.725 24.195 23.773 23.807 23.731 23.735 23.790 23.837 23.758 
0.730 25.864 24.996 24.244 23.971 23.834 23.715 24.263 23.824 23.745 23.746 23.684 23.709 23.782 23.718 
0.773 26.021 25.132 24.432 24.162 23.964 23.846 24.430 23.974 23.876 23.800 23.664 23.722 23.878 23.777 
0.819 26.345 25.223 24.544 24.159 24.016 23.920 24.495 24.041 24.011 23.893 23.700 23.762 23.912 23.829 
0.868 26.684 25.362 24.603 24.296 24.138 24.001 24.590 24.154 24.026 23.899 23.820 23.833 23.942 23.886 
0.919 26.976 25.478 24.649 24.204 24.024 24.028 24.632 24.036 24.055 23.943 23.798 23.872 23.894 23.912 
0.974 27.385 25.650 24.726 24.418 24.155 24.167 24.737 24.209 24.172 23.933 23.844 23.828 23.891 23.951 
1.032 27.801 25.798 24.902 24.545 24.201 24.200 24.898 24.276 24.241 23.960 23.901 24.012 23.963 24.022 
1.093 27.844 25.940 24.912 24.591 24.235 24.216 24.925 24.297 24.259 23.952 23.821 23.963 24.114 23.996 
1.158 28.291 26.080 25.068 24.586 24.264 24.186 25.029 24.303 24.256 23.994 23.939 24.075 24.099 24.062 
1.226 28.875 26.293 25.145 24.549 24.269 24.280 25.086 24.331 24.336 24.052 23.938 24.043 24.121 24.081 
1.299 29.121 26.452 25.215 24.621 24.331 24.265 25.169 24.370 24.342 24.044 23.987 24.157 24.237 24.127 
1.376 29.681 26.606 25.323 24.696 24.386 24.307 25.264 24.434 24.360 24.080 23.966 24.119 24.291 24.130 
1.458 29.767 26.667 25.426 24.713 24.357 24.254 25.330 24.398 24.334 24.151 24.041 24.228 24.233 24.181 
1.544 30.210 26.903 25.417 24.652 24.354 24.231 25.340 24.362 24.277 24.117 24.061 24.203 24.270 24.154 
1.636 30.797 27.109 25.520 24.684 24.409 24.271 25.427 24.410 24.303 24.141 24.071 24.192 24.315 24.175 
1.733 30.972 27.161 25.598 24.760 24.398 24.316 25.512 24.430 24.328 24.145 24.081 24.285 24.364 24.203 
1.836 31.358 27.332 25.643 24.727 24.413 24.296 25.530 24.423 24.344 24.216 24.116 24.278 24.431 24.231 
