# t[days] lsstu lsstg lsstr lssti lsstz lssty f062 f087 f106 f129 f158 f184 f213 f146 
0.103 26.544 26.012 26.371 27.901 27.549 26.612 26.500 27.478 27.202 29.183 28.743 33.267 33.776 28.090 
0.109 23.048 23.052 23.460 24.934 26.736 25.407 23.439 25.787 25.407 23.910 27.575 28.276 26.854 24.968 
0.116 22.880 22.816 23.552 23.688 24.622 25.579 23.398 24.394 24.996 25.784 26.789 30.674 26.279 25.960 
0.122 22.416 22.483 22.631 22.760 23.236 23.824 22.599 23.343 23.568 23.985 23.747 25.333 26.217 23.956 
0.130 22.190 22.655 22.565 23.615 22.777 22.267 22.933 22.614 23.031 24.027 24.830 25.643 25.122 23.794 
0.137 21.817 22.216 22.475 23.056 23.097 23.163 22.615 22.834 23.638 23.028 24.089 23.752 22.982 23.552 
0.145 21.806 22.171 21.992 23.092 23.533 23.833 22.214 23.617 23.185 24.528 23.239 23.610 25.394 23.466 
0.154 22.167 22.066 22.249 22.672 23.259 23.988 22.208 23.498 23.312 23.292 24.191 23.900 25.724 23.692 
0.163 22.093 22.193 22.558 22.855 23.556 23.328 22.511 23.480 23.479 24.213 23.868 26.640 24.782 23.995 
0.173 22.081 22.326 22.674 22.730 22.841 23.675 22.534 23.109 23.646 24.351 24.365 24.293 25.704 24.068 
0.183 22.096 22.315 22.569 23.204 23.055 23.555 22.624 23.222 23.582 24.065 24.428 24.326 24.049 24.057 
0.194 22.228 22.401 22.753 22.609 23.267 23.235 22.695 23.030 23.012 23.517 23.992 25.391 25.609 23.671 
0.206 22.191 22.359 22.616 23.062 23.688 23.251 22.672 23.410 23.091 23.173 24.193 25.050 25.147 23.578 
0.218 22.143 22.365 22.735 23.272 23.565 23.734 22.794 23.502 23.919 23.750 24.131 23.512 24.105 23.786 
0.231 22.175 22.539 22.923 23.230 22.847 23.608 22.918 23.137 23.663 24.255 24.388 24.545 25.288 24.123 
0.244 22.306 22.685 22.794 23.198 23.289 23.571 22.858 23.356 23.262 23.925 24.118 24.001 24.964 23.815 
0.259 22.386 22.641 22.739 23.056 23.180 23.183 22.838 23.148 23.228 23.631 24.178 25.096 24.276 23.733 
0.274 22.406 22.716 22.993 23.100 23.328 23.304 22.990 23.283 23.460 23.868 23.826 23.754 24.144 23.686 
0.290 22.451 22.707 22.997 23.125 23.051 23.131 22.976 23.058 23.158 23.175 23.565 23.862 24.446 23.391 
0.308 22.545 22.840 22.736 23.057 23.179 23.528 22.858 23.206 23.307 23.581 23.918 24.030 24.348 23.641 
0.326 22.614 22.714 22.870 22.890 22.977 23.283 22.887 22.966 23.094 23.270 23.574 24.088 24.790 23.409 
0.345 22.688 22.817 22.725 22.976 23.105 23.008 22.808 23.056 23.110 23.550 23.732 23.893 24.020 23.466 
0.366 22.829 22.845 22.657 22.867 22.827 23.098 22.762 22.888 22.990 23.005 23.249 23.618 23.838 23.168 
0.387 23.051 22.975 22.749 22.865 22.893 22.883 22.809 22.887 22.898 23.194 23.595 23.509 23.616 23.231 
0.410 23.168 23.136 22.835 22.797 22.924 22.887 22.897 22.853 22.921 23.039 23.343 23.415 24.094 23.132 
