# t[days] lsstu lsstg lsstr lssti lsstz lssty f062 f087 f106 f129 f158 f184 f213 f146 
0.103 23.322 23.444 24.981 25.996 23.635 25.794 24.573 24.359 26.280 24.805 26.486 26.866 26.284 25.620 
0.109 20.660 20.702 21.729 21.479 20.567 23.589 21.213 21.348 22.889 24.971 21.138 20.465 28.093 21.822 
0.116 20.653 20.487 21.599 20.767 22.262 22.133 21.090 21.634 21.442 22.512 23.702 27.594 27.210 22.514 
0.122 20.442 20.461 20.359 20.460 20.701 23.093 20.368 20.976 21.289 22.029 23.280 24.892 27.465 22.264 
0.130 20.386 20.738 20.628 20.946 21.515 22.508 20.586 21.931 21.694 22.428 23.279 24.899 31.024 22.583 
0.137 20.486 20.482 21.139 21.743 20.661 20.536 21.058 20.755 21.300 21.828 23.813 24.084 24.433 22.002 
0.145 20.705 20.702 20.968 20.708 21.605 22.112 20.884 21.344 21.729 21.629 22.637 23.296 21.747 22.054 
0.154 20.570 20.812 20.950 20.756 21.024 20.833 20.925 20.761 21.203 21.617 22.106 23.606 25.653 21.743 
0.163 20.438 20.882 20.916 20.966 20.896 22.049 20.951 21.025 21.626 21.273 22.145 23.148 22.465 21.838 
0.173 20.868 20.780 20.912 21.319 21.491 22.068 21.001 21.445 22.080 21.160 22.455 23.201 24.471 21.855 
0.183 20.745 20.890 20.987 20.959 20.802 21.580 21.063 20.967 22.126 21.380 21.327 22.588 22.371 21.746 
0.194 20.789 21.016 21.023 20.922 21.371 21.175 21.065 21.015 21.433 21.718 21.463 20.785 23.255 21.359 
0.206 20.976 20.893 20.920 21.120 20.900 21.783 20.965 21.067 21.976 21.479 22.307 23.459 22.685 21.983 
0.218 20.819 21.216 21.511 21.687 21.219 21.726 21.591 21.439 21.370 21.771 21.443 22.340 22.622 21.655 
0.231 20.909 21.014 21.217 21.207 21.680 21.838 21.097 21.745 21.891 22.150 22.155 23.588 22.375 22.196 
0.244 21.173 21.332 21.317 21.329 22.034 22.065 21.280 21.934 21.997 21.376 22.174 21.993 23.114 21.779 
0.259 21.096 21.277 21.351 22.037 21.414 21.918 21.443 21.700 21.834 22.124 21.257 22.490 23.194 21.757 
0.274 20.910 21.461 21.568 21.477 21.885 21.860 21.479 21.863 22.103 22.061 22.215 21.881 22.557 22.118 
0.290 21.276 21.424 21.541 21.536 21.769 21.682 21.548 21.614 22.043 22.092 22.266 21.698 21.504 21.987 
0.308 21.291 21.711 21.662 21.741 21.669 22.236 21.707 21.800 22.244 22.278 22.389 22.168 21.978 22.329 
0.326 21.409 21.506 21.515 21.625 21.601 21.248 21.504 21.538 21.659 22.567 22.433 22.078 22.085 22.044 
0.345 21.436 21.647 21.620 21.944 21.609 21.923 21.651 21.811 22.000 22.247 22.661 22.012 22.816 22.180 
0.366 21.511 21.392 21.676 21.812 21.453 21.618 21.606 21.630 21.902 22.291 22.563 22.407 22.627 22.245 
0.387 21.638 21.635 21.843 21.721 21.724 21.510 21.710 21.695 21.363 22.040 22.315 22.787 22.615 21.957 
0.410 21.614 21.794 21.927 21.815 21.708 21.641 21.862 21.807 21.681 22.068 22.479 22.200 21.831 22.038 
0.435 21.708 21.669 21.742 21.647 21.880 21.759 21.715 21.750 21.849 22.059 22.263 22.498 22.581 22.112 
0.461 21.879 21.684 21.618 21.555 21.737 21.992 21.551 21.793 22.029 21.922 22.240 22.139 22.573 22.096 
0.488 21.997 21.862 21.740 21.830 21.767 21.661 21.759 21.699 21.949 22.026 22.286 22.160 22.511 22.103 
0.517 22.032 21.867 21.794 21.689 21.994 21.922 21.753 21.890 21.997 22.082 22.232 22.135 22.244 22.106 
0.547 22.079 21.963 21.899 21.865 21.821 21.969 21.892 21.876 21.993 22.015 22.136 22.313 22.433 22.106 
0.580 22.064 21.930 21.867 21.806 21.989 21.925 21.884 21.870 21.979 21.932 22.210 22.606 22.565 22.139 
0.614 22.255 22.026 21.906 21.816 21.962 21.762 21.876 21.848 21.893 22.045 22.197 22.017 22.491 22.018 
0.651 22.252 22.065 21.833 21.819 22.024 21.844 21.857 21.894 22.034 22.108 22.352 22.259 22.376 22.156 
0.689 22.392 22.001 21.839 21.896 21.879 22.036 21.863 21.912 21.998 22.008 22.191 22.117 22.435 22.067 
0.730 22.431 22.040 21.890 21.708 21.765 21.700 21.824 21.748 21.794 21.916 22.240 22.177 22.286 21.989 
0.773 22.559 22.059 21.905 21.856 21.834 21.882 21.912 21.848 21.910 21.958 22.026 22.037 22.499 21.982 
0.819 22.639 22.168 21.918 21.775 21.868 21.825 21.889 21.845 21.887 22.010 22.010 22.159 22.331 22.013 
0.868 22.890 22.243 21.899 21.838 21.945 21.837 21.932 21.875 21.928 21.935 22.043 22.106 22.316 21.987 
0.919 22.989 22.361 22.032 21.817 21.881 21.951 22.019 21.860 21.900 21.843 22.039 22.124 22.381 21.960 
0.974 23.229 22.448 22.017 21.857 21.790 21.853 22.044 21.801 21.872 21.921 22.077 22.170 22.306 21.990 
1.032 23.408 22.504 22.185 21.962 21.853 21.727 22.174 21.811 21.802 21.937 22.056 22.137 22.358 21.960 
1.093 23.502 22.623 22.227 21.905 21.850 21.808 22.199 21.825 21.851 21.822 21.986 22.080 22.335 21.921 
1.158 23.716 22.749 22.297 21.938 21.909 21.850 22.265 21.877 21.838 21.818 21.975 21.995 22.310 21.900 
1.226 23.892 22.822 22.395 22.092 21.998 21.857 22.369 21.978 21.899 21.911 22.076 22.102 22.317 21.993 
1.299 24.159 22.925 22.422 22.127 21.984 21.889 22.410 21.977 21.854 21.823 21.998 22.098 22.213 21.924 
1.376 24.406 23.056 22.485 22.123 22.000 21.851 22.472 21.972 21.848 21.819 21.960 22.106 22.168 21.914 
1.458 24.483 23.052 22.520 22.110 22.038 21.811 22.473 21.976 21.808 21.820 21.965 22.092 22.143 21.902 
1.544 24.900 23.150 22.523 22.147 21.982 21.815 22.512 21.954 21.769 21.709 21.905 22.019 22.124 21.841 
1.636 25.026 23.292 22.554 22.131 21.983 21.797 22.536 21.957 21.793 21.759 21.898 22.008 22.072 21.854 
1.733 25.522 23.383 22.641 22.189 22.019 21.810 22.615 21.980 21.811 21.796 21.922 22.012 22.132 21.881 
1.836 25.939 23.575 22.642 22.200 22.017 21.833 22.661 21.985 21.794 21.804 21.930 21.980 22.073 21.869 
1.944 26.257 23.711 22.716 22.297 22.034 21.819 22.739 22.017 21.797 21.776 21.911 22.003 22.077 21.863 
2.060 26.593 23.936 22.852 22.328 22.144 21.857 22.859 22.082 21.825 21.785 21.916 21.997 22.021 21.874 
2.182 26.901 24.159 22.972 22.422 22.133 21.844 22.981 22.087 21.841 21.827 21.974 22.033 22.023 21.912 
2.311 27.409 24.351 23.124 22.540 22.208 21.932 23.132 22.173 21.895 21.842 21.968 22.035 22.010 21.928 
