# t[days] lsstu lsstg lsstr lssti lsstz lssty f062 f087 f106 f129 f158 f184 f213 f146 
0.103 25.439 24.420 23.273 27.057 30.170 27.291 23.848 29.275 27.508 29.811 29.449 35.913 34.988 28.576 
0.109 21.624 22.868 22.838 24.862 21.643 25.781 22.926 22.436 25.800 29.539 29.966 28.387 28.672 26.933 
0.116 20.655 21.741 21.698 23.010 23.843 24.885 21.830 24.408 24.784 22.366 26.236 29.516 36.666 23.466 
0.122 21.144 21.445 22.448 24.184 22.161 25.204 22.334 22.941 22.493 25.054 28.232 28.777 32.633 23.644 
0.130 20.695 21.145 21.571 22.302 24.286 22.114 21.575 23.121 22.161 24.991 25.500 29.470 31.309 23.316 
0.137 20.396 20.723 21.378 21.209 22.908 22.519 21.261 21.786 23.112 24.848 22.467 22.266 25.612 23.101 
0.145 20.044 20.892 21.410 21.262 22.146 23.078 21.382 21.778 22.718 25.802 23.211 22.117 27.997 23.044 
0.154 20.158 20.554 20.958 21.673 21.947 21.391 20.971 21.947 22.049 24.370 24.846 23.409 24.199 22.946 
0.163 20.133 20.657 21.602 21.439 22.011 21.819 21.274 22.117 21.579 21.976 25.101 26.196 28.379 22.240 
0.173 20.128 20.255 20.972 21.534 21.743 21.789 20.898 21.504 21.908 22.278 22.451 23.523 23.820 22.390 
0.183 20.107 20.549 20.962 20.912 21.487 22.923 21.005 21.442 23.195 23.559 23.876 26.277 23.800 23.782 
0.194 20.394 20.658 21.240 22.071 21.965 21.020 21.267 21.729 21.663 23.407 22.227 22.255 24.002 22.120 
0.206 20.126 20.585 21.558 21.821 21.143 21.546 21.399 21.320 22.048 22.384 22.428 24.104 24.786 22.382 
0.218 20.140 20.675 21.431 21.137 21.816 21.351 21.116 21.568 21.724 22.559 22.729 23.627 25.001 22.344 
0.231 20.351 20.799 21.264 21.595 21.959 22.578 21.277 21.839 22.634 22.687 23.854 23.398 23.077 22.966 
0.244 20.281 20.777 21.173 21.548 22.374 21.403 21.187 21.699 21.839 22.149 22.906 22.835 24.367 22.292 
0.259 20.380 20.745 21.445 21.379 22.578 21.689 21.230 22.106 22.033 23.137 23.929 22.745 24.777 22.699 
0.274 20.556 20.811 21.474 21.935 22.279 22.536 21.483 22.232 22.453 22.664 22.769 22.780 23.774 22.820 
0.290 20.674 20.958 21.465 21.758 22.335 21.737 21.511 21.862 22.175 22.358 23.320 23.734 23.132 22.653 
0.308 20.696 21.065 21.734 21.712 21.902 22.386 21.531 22.019 22.331 22.763 22.749 23.717 23.942 22.700 
0.326 20.565 20.990 21.151 21.882 21.970 22.205 21.245 22.050 22.140 22.396 23.236 23.348 22.748 22.613 
