# t[days] lsstu lsstg lsstr lssti lsstz lssty f062 f087 f106 f129 f158 f184 f213 f146 
0.103 26.053 25.796 27.001 28.537 28.882 26.785 26.836 27.783 27.581 29.298 28.707 28.818 37.508 28.423 
0.109 22.062 22.617 22.903 23.948 26.472 24.807 22.981 24.531 25.520 26.726 30.631 29.063 27.921 26.573 
0.116 22.092 22.434 23.725 23.612 24.202 24.567 23.328 24.186 23.243 23.287 24.777 27.955 26.252 24.014 
0.122 21.803 22.289 23.035 22.549 24.379 24.328 22.682 23.796 23.136 24.022 24.553 25.892 25.525 23.862 
0.130 21.830 22.119 22.118 23.237 22.878 22.191 22.400 22.513 22.720 23.374 24.725 26.008 30.868 23.474 
0.137 21.688 21.942 22.118 23.038 23.034 22.688 22.243 22.881 22.875 23.778 24.094 23.369 23.749 23.506 
0.145 21.672 21.835 22.213 22.653 22.891 22.388 22.203 22.564 23.100 23.673 23.707 23.509 23.435 23.385 
0.154 21.501 21.781 22.113 22.651 24.001 22.648 22.104 23.443 23.051 23.872 24.060 25.941 25.017 23.683 
0.163 21.730 22.122 22.200 22.266 23.036 22.822 22.170 22.790 22.994 23.642 23.307 25.615 25.733 23.417 
0.173 21.798 22.051 22.176 22.196 22.670 23.718 22.116 22.729 23.133 23.152 23.651 23.072 22.676 23.218 
0.183 21.909 22.083 22.546 22.539 23.076 22.774 22.385 23.022 22.960 23.807 24.860 24.077 23.700 23.625 
0.194 21.971 22.034 22.270 22.524 22.774 23.531 22.216 22.898 22.998 23.094 23.112 23.392 25.217 23.231 
0.206 21.922 22.127 22.230 22.476 23.328 24.128 22.298 23.074 23.497 23.537 23.668 23.926 23.161 23.605 
0.218 21.985 22.239 22.492 22.637 22.885 22.737 22.489 22.774 23.034 22.947 24.019 24.266 24.939 23.357 
0.231 22.296 22.263 22.552 22.763 23.287 23.088 22.537 23.060 23.016 23.578 23.930 23.936 24.351 23.575 
0.244 22.012 22.302 22.442 22.878 23.033 23.025 22.490 23.018 22.995 23.497 23.735 23.959 24.625 23.446 
0.259 22.432 22.515 22.769 22.711 22.968 23.258 22.695 23.029 23.204 23.095 23.653 24.043 24.189 23.436 
0.274 22.530 22.642 22.635 22.782 22.745 23.280 22.685 22.827 23.079 23.340 23.616 23.971 24.319 23.421 
0.290 22.382 22.526 22.680 22.875 22.560 23.016 22.715 22.696 22.964 22.839 23.343 24.125 24.289 23.187 
0.308 22.507 22.573 22.591 22.712 22.620 22.954 22.583 22.800 22.885 22.984 23.350 23.516 23.537 23.151 
0.326 22.580 22.552 22.585 22.590 22.830 22.848 22.582 22.733 22.962 23.076 23.139 23.188 23.456 23.080 
0.345 22.685 22.494 22.454 22.574 22.543 22.648 22.470 22.602 22.675 22.712 22.984 23.697 23.933 22.905 
0.366 22.950 22.723 22.481 22.618 22.534 22.708 22.561 22.584 22.730 22.897 23.044 23.534 23.618 22.954 
0.387 23.112 22.745 22.454 22.582 22.450 22.803 22.532 22.533 22.626 22.586 23.127 23.396 23.531 22.887 
0.410 23.190 22.887 22.677 22.538 22.600 22.492 22.686 22.547 22.518 22.695 22.906 22.832 23.265 22.699 
0.435 23.535 23.008 22.688 22.646 22.580 22.691 22.717 22.595 22.641 22.652 22.841 22.876 23.163 22.744 
0.461 23.684 23.171 22.824 22.668 22.698 22.579 22.814 22.639 22.669 22.748 22.675 22.677 22.906 22.696 
0.488 23.908 23.271 22.975 22.767 22.750 22.700 22.935 22.751 22.719 22.797 22.810 23.060 22.952 22.817 
0.517 24.239 23.650 23.163 22.851 23.038 22.749 23.127 22.949 22.766 22.912 22.843 22.862 23.161 22.856 
0.547 24.294 23.659 23.330 23.040 23.044 22.865 23.268 23.014 22.924 22.831 22.824 22.739 22.956 22.838 
0.580 24.732 23.978 23.431 23.283 23.105 22.976 23.481 23.064 23.004 22.835 22.952 22.882 22.974 22.929 
0.614 24.941 24.018 23.533 23.274 23.260 23.117 23.544 23.199 23.141 22.998 22.945 22.872 22.937 22.997 
0.651 25.353 24.187 23.713 23.336 23.187 23.112 23.638 23.215 23.170 23.111 23.059 23.043 23.163 23.086 
0.689 25.592 24.421 23.813 23.493 23.308 23.241 23.775 23.323 23.244 23.137 23.139 23.103 23.214 23.153 
0.730 26.001 24.715 23.955 23.596 23.429 23.225 23.940 23.368 23.251 23.151 23.099 23.111 23.277 23.166 
0.773 26.527 24.935 24.190 23.743 23.503 23.439 24.133 23.532 23.411 23.196 23.048 23.045 23.209 23.189 
0.819 26.651 25.081 24.268 23.834 23.681 23.351 24.250 23.577 23.442 23.262 23.077 23.159 23.301 23.233 
0.868 26.849 25.181 24.433 23.917 23.767 23.658 24.349 23.775 23.610 23.328 23.141 23.249 23.265 23.322 
0.919 27.373 25.427 24.490 23.948 23.810 23.592 24.432 23.764 23.577 23.364 23.171 23.139 23.282 23.323 
0.974 27.712 25.616 24.727 24.067 23.816 23.742 24.655 23.813 23.662 23.414 23.224 23.198 23.317 23.382 
1.032 28.074 25.757 24.688 24.220 23.995 23.729 24.667 23.967 23.772 23.450 23.263 23.350 23.233 23.464 
1.093 28.768 26.106 24.842 24.397 24.145 23.876 24.858 24.091 23.883 23.497 23.379 23.422 23.412 23.552 
1.158 29.096 26.269 25.084 24.471 24.155 24.029 25.030 24.165 24.004 23.573 23.410 23.465 23.479 23.612 
1.226 29.392 26.494 25.170 24.568 24.169 24.048 25.137 24.190 24.085 23.606 23.357 23.469 23.495 23.623 
1.299 29.838 26.829 25.304 24.552 24.286 24.148 25.223 24.282 24.122 23.685 23.523 23.616 23.581 23.730 
1.376 30.384 27.133 25.484 24.765 24.390 24.239 25.442 24.390 24.218 23.708 23.535 23.660 23.680 23.772 
