# t[days] lsstu lsstg lsstr lssti lsstz lssty f062 f087 f106 f129 f158 f184 f213 f146 
0.103 25.994 25.891 26.873 26.871 29.225 29.146 26.904 28.359 28.796 31.954 29.056 31.727 32.101 29.378 
0.109 22.424 22.517 23.672 24.908 22.502 26.535 23.394 23.321 27.155 28.348 30.432 27.023 27.573 27.641 
0.116 22.463 22.268 22.036 24.630 25.665 24.752 22.388 24.913 25.341 24.267 26.232 28.413 31.932 25.048 
0.122 21.173 22.152 21.697 23.083 23.519 23.830 22.072 23.677 23.308 23.498 27.324 27.368 28.095 24.277 
0.130 21.114 21.690 21.424 23.920 22.675 23.529 21.730 23.015 22.828 21.765 22.876 29.654 28.740 22.915 
0.137 21.391 21.646 21.652 22.781 23.103 22.638 21.832 22.753 23.380 23.160 25.883 25.354 27.219 23.679 
0.145 20.946 21.672 21.573 22.264 23.969 24.308 21.826 23.004 23.504 23.754 25.552 25.534 26.880 24.487 
0.154 20.903 21.380 22.238 22.324 23.404 24.784 21.939 23.821 25.081 23.443 25.609 28.225 26.834 24.389 
0.163 21.149 21.433 22.112 21.889 23.364 24.123 21.915 22.893 23.312 22.903 22.712 25.409 25.420 23.109 
0.173 20.855 21.535 22.131 22.777 22.934 23.661 22.024 23.323 23.753 24.430 25.198 26.097 22.801 24.381 
0.183 21.092 21.212 22.044 22.548 22.849 24.552 21.918 23.088 23.695 24.297 25.003 25.467 26.878 24.338 
0.194 20.968 21.554 22.025 22.190 22.482 23.008 21.938 22.470 22.954 22.956 23.674 24.507 24.356 23.379 
0.206 21.109 21.685 22.083 23.566 23.355 22.566 22.263 22.970 23.120 23.721 23.568 24.542 26.242 23.511 
0.218 21.073 21.774 22.544 22.379 22.984 22.933 22.336 22.602 23.551 24.031 23.989 24.845 25.031 23.961 
0.231 21.124 21.595 22.337 22.896 23.145 23.191 22.294 23.066 23.145 23.808 24.146 23.763 24.513 23.637 
0.244 21.145 21.593 22.229 22.632 22.817 23.270 22.244 22.873 23.188 24.452 23.899 24.298 25.174 23.840 
0.259 21.052 21.814 22.419 22.799 22.742 23.083 22.367 22.872 22.751 22.750 23.153 23.675 25.611 23.012 
0.274 21.160 21.927 22.268 22.947 22.627 23.547 22.380 22.907 23.750 23.796 23.776 24.557 24.793 23.813 
0.290 21.160 21.817 22.499 22.627 23.442 22.745 22.449 22.909 22.778 23.231 23.874 24.937 24.684 23.433 
0.308 21.186 21.796 22.385 22.838 23.099 22.885 22.387 23.080 23.233 23.657 24.167 24.409 24.198 23.687 
0.326 21.343 21.705 22.496 22.553 22.724 22.758 22.338 22.654 23.289 23.378 24.119 24.367 24.042 23.615 
0.345 21.473 21.945 22.376 22.730 22.981 23.159 22.349 22.993 23.136 23.588 23.980 24.350 25.287 23.596 
0.366 21.444 21.987 22.488 22.779 22.594 23.326 22.414 22.813 23.387 23.325 24.029 24.396 25.659 23.601 
0.387 21.545 21.948 22.243 22.548 22.636 23.023 22.260 22.616 23.141 23.541 23.467 23.834 24.879 23.438 
0.410 21.564 22.041 22.388 22.759 22.833 22.933 22.421 22.806 23.107 23.266 23.224 23.413 24.168 23.212 
0.435 21.576 21.978 22.427 22.599 23.001 22.717 22.392 22.771 22.830 22.960 23.277 23.382 23.944 23.066 
0.461 21.646 21.978 22.187 22.529 22.747 23.062 22.196 22.806 23.010 22.931 23.402 23.924 24.035 23.208 
0.488 21.782 22.089 22.287 22.453 22.677 22.836 22.301 22.655 22.989 23.002 23.357 23.585 23.530 23.156 
0.517 21.756 22.095 22.233 22.530 22.627 22.640 22.283 22.584 22.804 22.843 23.061 23.585 23.857 22.982 
0.547 21.827 22.151 22.169 22.393 22.435 22.357 22.221 22.418 22.475 22.844 23.163 23.775 23.995 22.902 
0.580 21.953 22.137 22.160 22.424 22.473 22.454 22.219 22.471 22.602 22.623 22.989 23.417 23.849 22.820 
0.614 22.170 22.195 22.212 22.312 22.396 22.497 22.239 22.386 22.443 22.590 22.898 23.152 23.910 22.710 
0.651 22.318 22.218 22.159 22.231 22.161 22.370 22.189 22.217 22.397 22.646 22.917 22.933 23.529 22.695 
0.689 22.522 22.390 22.241 22.223 22.301 22.455 22.265 22.324 22.428 22.456 22.833 23.128 23.382 22.643 
0.730 22.685 22.504 22.254 22.236 22.163 22.474 22.301 22.251 22.366 22.543 22.810 22.945 23.181 22.623 
0.773 22.947 22.652 22.364 22.308 22.356 22.422 22.407 22.327 22.423 22.498 22.717 23.068 23.356 22.619 
0.819 23.166 22.806 22.463 22.393 22.276 22.415 22.515 22.311 22.480 22.477 22.571 22.822 22.958 22.562 
0.868 23.288 22.933 22.595 22.501 22.441 22.320 22.622 22.421 22.373 22.524 22.651 22.859 22.950 22.558 
0.919 23.487 23.046 22.698 22.586 22.470 22.474 22.720 22.475 22.507 22.576 22.642 22.900 23.005 22.624 
0.974 23.706 23.289 22.849 22.671 22.495 22.588 22.881 22.566 22.579 22.553 22.657 22.715 23.023 22.619 
1.032 23.902 23.394 23.007 22.832 22.637 22.651 23.020 22.674 22.736 22.673 22.628 22.692 23.057 22.689 
1.093 24.159 23.538 23.101 22.943 22.739 22.676 23.118 22.769 22.746 22.771 22.728 22.887 22.957 22.772 
1.158 24.330 23.706 23.227 23.015 22.860 22.873 23.251 22.887 22.866 22.824 22.791 22.905 23.073 22.854 
1.226 24.574 23.870 23.394 23.132 22.938 22.976 23.406 22.974 22.967 22.892 22.900 22.946 23.026 22.919 
1.299 24.753 24.023 23.515 23.271 23.110 22.978 23.528 23.117 23.043 23.024 22.952 22.968 23.183 22.985 
1.376 24.991 24.112 23.585 23.343 23.145 23.138 23.609 23.177 23.136 23.051 22.953 23.007 23.104 23.032 
1.458 25.183 24.203 23.649 23.377 23.153 23.137 23.652 23.195 23.107 23.066 22.986 23.074 23.270 23.053 
1.544 25.428 24.305 23.690 23.367 23.180 23.216 23.688 23.230 23.192 23.030 22.983 23.084 23.184 23.071 
1.636 25.749 24.489 23.778 23.473 23.232 23.169 23.815 23.247 23.167 23.060 23.039 23.116 23.226 23.091 
1.733 26.151 24.560 23.872 23.585 23.348 23.333 23.891 23.385 23.290 23.100 23.044 23.192 23.243 23.158 
1.836 26.656 24.837 24.036 23.754 23.382 23.404 24.085 23.449 23.366 23.162 23.125 23.275 23.265 23.226 
1.944 27.137 25.080 24.271 23.815 23.549 23.491 24.260 23.582 23.399 23.222 23.164 23.328 23.363 23.279 
2.060 27.697 25.329 24.382 23.974 23.672 23.554 24.409 23.679 23.493 23.293 23.225 23.329 23.445 23.332 
2.182 28.505 25.701 24.613 24.176 23.781 23.611 24.639 23.799 23.549 23.339 23.264 23.450 23.545 23.399 
2.311 29.324 26.118 24.841 24.307 23.851 23.752 24.839 23.917 23.646 23.423 23.372 23.487 23.613 23.484 
2.448 30.005 26.450 25.067 24.369 23.932 23.793 25.010 23.984 23.678 23.476 23.408 23.602 23.606 23.541 
2.594 29.540 26.782 25.334 24.478 24.000 23.837 25.223 24.053 23.735 23.456 23.424 23.595 23.655 23.547 
2.747 32.098 27.123 25.572 24.679 24.128 23.899 25.443 24.175 23.769 23.533 23.453 23.630 23.657 23.595 
2.910 32.449 27.376 25.726 24.701 24.182 23.924 25.555 24.215 23.772 23.586 23.522 23.711 23.707 23.651 
3.083 32.531 27.497 25.833 24.700 24.213 23.900 25.615 24.214 23.764 23.580 23.493 23.656 23.741 23.626 
3.266 32.112 27.674 25.949 24.710 24.221 23.895 25.681 24.227 23.738 23.625 23.514 23.699 23.751 23.647 
