# t[days] lsstu lsstg lsstr lssti lsstz lssty f062 f087 f106 f129 f158 f184 f213 f146 
0.103 23.681 23.898 25.857 26.352 24.052 26.503 25.029 24.791 27.245 26.007 30.183 28.525 26.672 26.870 
0.109 20.832 20.950 21.588 22.335 22.067 21.682 21.777 21.707 21.580 24.367 22.941 22.528 24.336 22.459 
0.116 21.035 20.679 21.232 21.258 23.163 21.593 21.042 22.569 21.217 23.227 23.843 21.506 30.868 21.881 
0.122 20.626 20.610 20.825 21.038 21.254 21.057 20.957 20.757 21.338 22.401 23.009 26.698 28.224 22.284 
0.130 20.327 20.769 20.457 21.268 20.509 23.099 20.615 21.104 22.197 22.161 23.398 24.104 27.593 22.640 
0.137 21.063 20.551 20.943 20.705 20.781 21.270 20.911 20.652 21.740 21.855 23.424 24.697 24.827 22.195 
0.145 20.602 20.712 21.182 21.150 21.359 20.967 21.054 21.234 21.100 22.830 23.832 24.909 21.678 22.110 
0.154 21.517 21.123 20.848 21.085 21.018 21.291 21.025 21.076 21.948 22.116 23.123 23.254 24.633 22.301 
0.163 20.834 20.868 21.260 21.600 21.099 21.970 21.243 21.274 22.595 22.163 21.864 23.150 22.842 22.183 
0.173 21.118 21.018 21.408 20.847 21.256 20.988 21.220 20.798 21.637 21.251 21.900 21.929 22.395 21.644 
0.183 21.122 21.061 21.129 20.925 21.943 22.752 21.148 21.452 22.376 21.452 21.835 21.761 22.093 21.904 
0.194 21.136 21.374 21.253 21.410 20.969 21.984 21.429 21.143 22.193 21.631 21.351 22.041 23.087 21.835 
0.206 21.523 21.461 21.972 21.314 21.642 21.863 21.693 21.575 21.884 21.369 21.445 21.532 22.765 21.521 
0.218 21.337 21.221 21.245 21.770 21.203 22.422 21.357 21.543 22.551 22.067 22.349 22.500 21.958 22.258 
0.231 21.492 21.376 21.439 22.379 21.598 22.367 21.553 21.974 21.936 21.909 21.996 22.175 23.226 22.020 
0.244 21.382 21.434 21.902 21.793 22.148 22.073 21.798 21.865 22.409 22.242 22.761 22.233 23.020 22.354 
0.259 21.570 21.723 21.788 21.825 21.941 22.349 21.859 21.867 22.625 21.606 21.650 21.850 23.091 21.818 
0.274 21.419 21.893 21.811 21.766 22.338 22.478 21.906 22.134 22.159 22.041 22.129 22.088 22.042 22.148 
0.290 21.586 21.806 21.902 22.044 22.063 22.652 21.937 22.145 22.608 22.245 22.405 22.378 22.912 22.427 
0.308 21.709 21.991 22.228 22.030 22.212 22.608 22.087 22.296 22.455 22.701 22.764 21.948 21.399 22.437 
0.326 21.814 22.121 22.234 22.327 22.289 22.239 22.295 22.236 22.321 22.412 22.473 22.433 22.225 22.362 
0.345 21.775 21.806 21.941 21.997 22.022 21.885 21.949 21.992 22.059 22.464 22.457 22.365 22.894 22.305 
0.366 21.981 22.096 22.122 22.063 21.794 22.039 22.043 21.951 22.153 22.398 22.875 22.452 22.652 22.416 
0.387 21.923 21.720 21.865 22.088 21.964 21.825 21.835 22.006 21.636 22.093 22.602 22.463 22.672 22.099 
0.410 22.093 22.113 22.210 22.303 22.302 21.783 22.210 22.129 21.852 22.257 22.531 22.272 22.560 22.183 
0.435 22.282 22.039 22.327 22.147 22.001 22.349 22.219 22.051 22.246 22.594 22.955 23.254 22.726 22.655 
0.461 22.266 22.192 22.106 22.179 22.141 22.393 22.129 22.202 22.296 22.284 22.268 22.406 22.817 22.334 
0.488 22.417 22.157 22.277 21.999 22.395 22.062 22.193 22.163 22.264 22.301 22.467 22.296 22.346 22.338 
0.517 22.543 22.353 22.178 22.017 22.150 22.274 22.161 22.150 22.475 22.419 22.486 22.303 22.694 22.441 
0.547 22.572 22.462 22.283 22.241 22.231 22.313 22.294 22.317 22.340 22.162 22.457 22.500 22.755 22.350 
0.580 22.527 22.424 22.262 22.207 22.226 22.107 22.277 22.134 22.205 22.432 22.573 22.796 22.754 22.454 
0.614 22.783 22.341 22.384 22.118 22.281 22.475 22.304 22.275 22.423 22.204 22.288 22.459 22.686 22.333 
0.651 22.940 22.616 22.330 22.130 22.181 22.254 22.319 22.194 22.258 22.235 22.363 22.319 22.572 22.279 
0.689 23.107 22.580 22.317 22.221 22.235 22.427 22.305 22.310 22.404 22.309 22.525 22.469 22.408 22.402 
0.730 23.209 22.580 22.402 22.172 22.325 22.262 22.347 22.271 22.319 22.336 22.625 22.549 22.792 22.432 
0.773 23.297 22.663 22.378 22.100 22.206 22.208 22.370 22.130 22.289 22.236 22.318 22.418 22.583 22.301 
0.819 23.615 22.771 22.416 22.247 22.222 22.228 22.423 22.235 22.197 22.191 22.179 22.467 22.418 22.240 
0.868 23.902 22.888 22.454 22.194 22.199 22.234 22.472 22.162 22.200 22.270 22.269 22.180 22.538 22.230 
0.919 24.173 23.000 22.494 22.225 22.248 22.328 22.478 22.282 22.319 22.168 22.192 22.285 22.588 22.230 
0.974 24.311 23.138 22.704 22.403 22.216 22.224 22.683 22.239 22.249 22.212 22.248 22.293 22.531 22.240 
1.032 24.567 23.309 22.728 22.370 22.320 22.270 22.720 22.283 22.253 22.121 22.227 22.319 22.488 22.230 
1.093 24.946 23.408 22.810 22.476 22.364 22.214 22.803 22.326 22.206 22.198 22.261 22.356 22.508 22.259 
1.158 25.143 23.569 22.887 22.517 22.405 22.290 22.905 22.356 22.326 22.194 22.227 22.330 22.458 22.271 
1.226 25.414 23.764 22.998 22.643 22.475 22.424 23.017 22.479 22.396 22.258 22.352 22.290 22.456 22.314 
1.299 25.730 23.817 23.151 22.672 22.508 22.502 23.077 22.549 22.423 22.213 22.276 22.360 22.292 22.316 
1.376 25.992 24.011 23.201 22.687 22.601 22.332 23.160 22.518 22.340 22.246 22.326 22.246 22.417 22.287 
1.458 26.256 24.211 23.337 22.874 22.670 22.424 23.344 22.619 22.328 22.195 22.245 22.291 22.335 22.264 
1.544 26.427 24.164 23.292 22.878 22.800 22.498 23.335 22.674 22.397 22.225 22.265 22.351 22.359 22.322 
1.636 26.847 24.358 23.349 22.959 22.698 22.508 23.378 22.683 22.425 22.234 22.244 22.257 22.288 22.286 
1.733 26.883 24.507 23.485 22.965 22.755 22.460 23.507 22.679 22.390 22.238 22.261 22.263 22.312 22.294 
1.836 27.730 24.651 23.501 23.043 22.867 22.551 23.562 22.768 22.461 22.253 22.258 22.268 22.344 22.309 
1.944 27.940 24.943 23.641 23.150 22.841 22.585 23.689 22.808 22.515 22.287 22.246 22.244 22.287 22.324 
2.060 28.088 25.121 23.778 23.222 22.854 22.640 23.811 22.843 22.513 22.287 22.298 22.355 22.333 22.364 
2.182 28.705 25.402 23.955 23.319 23.051 22.666 23.967 22.977 22.571 22.296 22.269 22.268 22.221 22.353 
2.311 28.553 25.543 24.115 23.471 23.039 22.665 24.136 23.007 22.572 22.363 22.268 22.300 22.235 22.372 
2.448 29.453 25.789 24.277 23.580 23.139 22.743 24.261 23.116 22.647 22.376 22.267 22.341 22.250 22.409 
2.594 29.554 26.100 24.476 23.690 23.331 22.828 24.443 23.238 22.721 22.388 22.238 22.314 22.221 22.412 
2.747 30.182 26.471 24.717 23.872 23.365 22.835 24.658 23.301 22.753 22.451 22.242 22.364 22.231 22.444 
2.910 31.428 26.954 25.103 24.071 23.558 22.907 24.959 23.458 22.824 22.455 22.240 22.369 22.260 22.456 
3.083 31.814 27.223 25.325 24.260 23.603 23.036 25.135 23.579 22.913 22.514 22.246 22.352 22.255 22.496 
3.266 32.183 27.705 25.781 24.449 23.821 23.130 25.432 23.743 23.036 22.599 22.280 22.419 22.287 22.560 
3.459 32.439 27.886 25.969 24.573 24.036 23.286 25.576 23.941 23.136 22.646 22.260 22.342 22.281 22.573 
3.665 33.784 28.341 26.328 24.813 24.220 23.423 25.815 24.141 23.273 22.741 22.313 22.364 22.297 22.640 
3.882 33.104 28.630 26.748 25.031 24.411 23.600 26.077 24.340 23.411 22.876 22.371 22.408 22.310 22.721 
4.112 37.746 28.888 27.107 25.202 24.593 23.758 26.323 24.504 23.555 22.934 22.381 22.417 22.344 22.764 
4.356 36.609 29.418 27.450 25.541 24.850 23.960 26.691 24.739 23.722 23.047 22.429 22.409 22.370 22.827 
4.614 41.257 29.876 27.731 25.755 25.117 24.102 26.940 24.954 23.848 23.149 22.470 22.425 22.383 22.887 
4.888 41.333 30.370 28.397 26.122 25.274 24.259 27.418 25.129 23.996 23.271 22.526 22.423 22.404 22.946 
5.178 nan 31.013 28.755 26.555 25.551 24.510 27.793 25.437 24.182 23.420 22.569 22.423 22.425 23.005 
5.485 50.202 31.376 29.284 27.076 25.926 24.803 28.322 25.779 24.411 23.567 22.655 22.462 22.477 23.099 
5.810 57.129 32.011 30.028 27.624 26.289 25.094 29.005 26.116 24.614 23.713 22.736 22.512 22.559 23.188 
6.155 nan 33.510 30.411 27.999 26.708 25.361 29.371 26.460 24.791 23.846 22.831 22.581 22.641 23.285 
6.520 50.874 33.783 31.349 28.619 27.027 25.685 30.159 26.788 25.044 23.993 22.932 22.619 22.713 23.382 
6.906 71.515 33.138 31.908 29.122 27.448 25.879 30.661 27.088 25.197 24.136 23.038 22.705 22.817 23.492 
7.316 nan 34.107 33.218 29.614 27.761 26.196 31.112 27.450 25.451 24.261 23.135 22.825 22.885 23.609 
7.750 87.404 37.788 32.621 29.688 28.001 26.556 31.330 27.806 25.639 24.390 23.245 22.929 23.013 23.720 
8.210 nan 34.231 33.912 30.096 28.696 26.840 31.588 28.288 25.859 24.546 23.396 23.056 23.134 23.865 
8.696 91.711 35.739 32.783 30.614 28.936 27.042 32.259 28.428 26.118 24.696 23.568 23.226 23.283 24.037 
9.212 91.519 40.904 34.350 31.149 29.203 27.309 32.928 28.756 26.367 24.820 23.723 23.414 23.491 24.203 
