# t[days] lsstu lsstg lsstr lssti lsstz lssty f062 f087 f106 f129 f158 f184 f213 f146 
0.103 24.633 23.811 22.749 26.785 30.122 26.343 23.331 27.633 26.927 29.193 29.244 39.056 32.635 27.996 
0.109 21.053 22.354 22.242 25.011 21.049 24.591 22.381 21.883 25.214 28.705 29.131 27.689 28.102 26.348 
0.116 20.088 21.140 20.971 24.819 23.420 23.810 21.294 23.882 23.521 21.791 25.670 29.430 36.444 22.892 
0.122 20.567 20.936 21.932 23.567 21.643 24.442 21.881 22.375 21.934 24.590 27.830 28.202 32.066 23.084 
0.130 20.130 20.586 21.138 21.522 23.402 21.082 20.997 22.827 21.584 24.398 24.925 28.889 30.802 22.772 
0.137 19.831 20.142 20.961 20.941 22.177 21.875 20.657 21.549 22.807 24.286 21.860 22.706 25.003 22.603 
0.145 19.494 20.380 20.901 20.700 21.534 22.215 20.748 21.551 22.161 25.350 21.951 21.537 27.495 22.483 
0.154 19.608 19.960 20.458 21.251 21.146 20.830 20.447 21.362 21.725 23.751 24.143 22.758 24.347 22.546 
0.163 19.568 20.196 20.908 21.011 21.551 21.025 20.765 21.294 20.934 21.405 24.716 26.491 27.763 21.666 
0.173 19.647 19.704 20.497 20.900 21.238 21.115 20.348 21.108 21.494 21.589 21.935 22.994 24.713 21.884 
0.183 19.503 20.026 20.387 20.430 20.877 22.124 20.404 21.066 22.627 22.996 23.797 25.708 21.943 23.243 
0.194 19.877 20.107 20.766 21.563 20.898 20.697 20.800 21.046 21.349 22.810 21.693 21.983 23.824 21.674 
0.206 19.602 20.038 21.103 21.312 20.449 21.357 20.856 20.802 21.597 21.781 21.892 24.684 23.855 21.872 
0.218 19.606 20.152 20.802 20.604 21.259 20.813 20.571 20.936 21.174 22.057 22.152 23.644 24.064 21.800 
0.231 19.822 20.268 20.749 20.804 21.844 22.033 20.733 21.381 22.037 22.094 23.125 22.669 22.380 22.381 
0.244 19.770 20.233 20.608 21.000 21.651 20.782 20.623 21.193 21.377 21.615 22.705 22.571 24.008 21.783 
0.259 19.833 20.198 20.909 20.829 22.153 20.977 20.632 21.503 21.462 22.729 23.325 22.239 24.242 22.145 
0.274 20.065 20.270 20.914 21.400 22.113 21.857 20.966 21.645 21.819 22.168 22.251 22.735 23.228 22.231 
0.290 20.095 20.426 20.969 21.141 21.669 21.202 20.953 21.354 21.596 21.742 22.633 22.759 22.535 22.104 
0.308 20.188 20.508 21.157 21.187 21.474 21.724 20.989 21.467 21.778 22.183 22.218 23.523 23.483 22.149 
0.326 20.036 20.438 20.598 21.375 21.326 21.742 20.699 21.496 21.613 21.876 22.727 22.254 22.301 22.003 
0.345 20.061 20.512 20.768 20.985 21.158 21.538 20.791 21.158 21.673 21.905 22.722 23.420 23.238 22.114 
0.366 20.067 20.528 20.893 21.126 21.488 21.598 20.893 21.443 21.534 21.998 22.278 22.874 23.412 22.014 
0.387 20.255 20.583 20.807 20.942 21.035 21.328 20.831 21.038 21.449 21.551 22.396 23.142 23.124 21.875 
0.410 20.281 20.500 20.921 20.804 21.092 21.017 20.822 20.974 21.214 21.819 22.259 22.213 22.981 21.750 
0.435 20.378 20.585 20.843 20.918 21.308 21.293 20.820 21.239 21.395 21.766 22.048 22.631 23.003 21.774 
0.461 20.448 20.530 20.821 20.965 21.126 21.189 20.803 21.166 21.269 21.379 21.678 22.452 22.457 21.564 
0.488 20.424 20.550 20.777 20.920 21.279 21.194 20.767 21.149 21.315 21.334 21.545 21.761 22.401 21.471 
0.517 20.491 20.504 20.464 20.748 20.670 20.964 20.522 20.800 20.992 21.071 21.621 21.902 21.817 21.288 
0.547 20.523 20.550 20.563 20.609 20.842 20.866 20.596 20.787 20.967 21.253 21.756 22.218 22.193 21.372 
0.580 20.707 20.517 20.541 20.599 20.753 20.691 20.516 20.732 20.697 21.000 21.296 21.913 21.898 21.089 
0.614 20.903 20.596 20.483 20.580 20.555 20.813 20.501 20.634 20.710 20.799 21.011 21.454 21.755 20.936 
0.651 21.070 20.649 20.512 20.571 20.728 20.570 20.523 20.656 20.652 20.813 21.119 21.343 21.709 20.927 
0.689 21.423 20.769 20.552 20.538 20.633 20.589 20.548 20.622 20.623 20.724 21.088 21.365 21.585 20.893 
0.730 21.644 20.890 20.632 20.548 20.567 20.748 20.649 20.574 20.634 20.788 20.946 21.249 21.642 20.864 
0.773 21.997 21.133 20.818 20.677 20.524 20.658 20.815 20.588 20.660 20.713 20.972 21.416 21.314 20.860 
0.819 22.347 21.323 20.871 20.693 20.681 20.788 20.866 20.719 20.745 20.711 20.871 21.334 21.448 20.866 
0.868 22.641 21.506 21.120 20.755 20.706 20.771 21.023 20.742 20.825 20.761 20.977 21.201 21.469 20.900 
0.919 22.944 21.778 21.270 20.994 20.820 20.830 21.240 20.846 20.868 20.832 20.999 21.305 21.342 20.962 
0.974 23.412 22.068 21.480 21.144 20.914 21.004 21.451 20.960 21.002 20.809 20.966 21.188 21.431 20.971 
1.032 23.562 22.274 21.694 21.280 21.120 21.179 21.652 21.147 21.133 20.924 20.962 21.236 21.568 21.058 
1.093 23.871 22.536 21.863 21.390 21.292 21.230 21.811 21.258 21.238 21.059 21.054 21.264 21.556 21.150 
1.158 24.391 22.900 22.080 21.673 21.508 21.559 22.077 21.504 21.559 21.254 21.149 21.288 21.518 21.311 
1.226 24.655 23.086 22.281 21.808 21.618 21.551 22.243 21.605 21.580 21.297 21.153 21.346 21.498 21.343 
1.299 25.147 23.343 22.483 21.968 21.686 21.745 22.427 21.743 21.727 21.394 21.274 21.363 21.535 21.446 
1.376 25.650 23.725 22.680 22.056 21.877 21.845 22.632 21.850 21.833 21.457 21.283 21.418 21.632 21.502 
1.458 25.907 23.796 22.820 22.258 21.953 21.942 22.794 21.977 21.925 21.510 21.415 21.556 21.715 21.599 
1.544 26.318 24.081 23.019 22.383 22.168 22.076 22.972 22.152 22.008 21.581 21.430 21.492 21.732 21.623 
1.636 26.783 24.290 23.175 22.550 22.326 22.232 23.106 22.327 22.114 21.633 21.507 21.571 21.741 21.707 
1.733 27.350 24.697 23.411 22.682 22.354 22.361 23.367 22.378 22.212 21.694 21.554 21.721 21.783 21.787 
1.836 27.516 25.052 23.595 22.960 22.550 22.568 23.573 22.610 22.337 21.799 21.617 21.751 21.820 21.874 
1.944 27.771 25.326 23.825 23.062 22.807 22.704 23.751 22.791 22.513 21.913 21.723 21.786 21.930 21.985 
2.060 28.122 25.601 24.079 23.330 22.939 22.890 24.042 22.957 22.667 21.985 21.876 21.917 21.969 22.098 
2.182 27.937 26.012 24.338 23.540 23.066 22.910 24.279 23.071 22.694 22.068 21.888 22.026 22.087 22.157 
2.311 28.692 26.487 24.699 23.759 23.256 23.052 24.594 23.283 22.857 22.149 21.972 22.087 22.083 22.244 
2.448 29.992 26.700 24.896 24.031 23.436 23.248 24.835 23.462 22.932 22.237 22.062 22.169 22.172 22.331 
2.594 29.899 27.295 25.223 24.161 23.630 23.385 25.074 23.663 23.048 22.308 22.101 22.219 22.261 22.390 
2.747 32.446 27.840 25.547 24.356 23.828 23.431 25.370 23.813 23.122 22.388 22.127 22.223 22.244 22.439 
2.910 32.111 28.016 25.967 24.612 24.062 23.703 25.707 24.067 23.290 22.493 22.169 22.242 22.244 22.510 
3.083 31.963 28.636 26.365 24.944 24.300 23.751 26.038 24.286 23.382 22.590 22.212 22.295 22.310 22.572 
3.266 34.305 28.710 26.664 25.165 24.362 23.863 26.302 24.363 23.494 22.642 22.249 22.313 22.315 22.617 
3.459 35.833 29.092 27.050 25.280 24.557 24.035 26.533 24.537 23.566 22.703 22.254 22.285 22.329 22.637 
3.665 34.443 29.271 27.016 25.424 24.715 24.078 26.592 24.690 23.635 22.724 22.207 22.241 22.254 22.621 
3.882 38.839 29.627 27.316 25.479 24.742 24.140 26.718 24.735 23.638 22.733 22.185 22.198 22.217 22.606 
4.112 38.236 29.661 27.675 25.614 24.828 24.212 26.973 24.812 23.674 22.756 22.156 22.147 22.216 22.584 
4.356 36.820 29.793 27.693 25.660 24.992 24.201 26.993 24.890 23.691 22.768 22.128 22.121 22.178 22.575 
4.614 37.263 30.015 27.845 25.822 25.054 24.254 27.119 24.967 23.707 22.784 22.135 22.062 22.178 22.562 
4.888 37.175 30.366 28.009 25.897 25.119 24.382 27.264 25.083 23.742 22.777 22.120 22.064 22.160 22.558 
5.178 38.229 30.288 28.250 26.163 25.309 24.494 27.413 25.265 23.859 22.819 22.111 22.060 22.171 22.574 
5.485 47.761 30.924 28.395 26.297 25.322 24.541 27.634 25.300 23.869 22.849 22.143 22.083 22.215 22.598 
5.810 44.575 31.116 28.870 26.504 25.644 24.706 27.892 25.524 24.005 22.928 22.153 22.108 22.217 22.642 
6.155 53.830 31.585 29.377 26.838 25.943 24.924 28.339 25.809 24.140 23.022 22.230 22.165 22.291 22.718 
6.520 57.958 32.730 29.767 27.257 26.249 25.080 28.715 26.058 24.311 23.157 22.294 22.169 22.380 22.786 
6.906 53.813 33.714 30.656 27.743 26.620 25.475 29.364 26.459 24.578 23.324 22.405 22.282 22.460 22.920 
7.316 46.146 34.170 31.431 28.534 27.033 25.750 30.064 26.890 24.803 23.498 22.506 22.337 22.533 23.026 
7.750 nan 34.947 31.636 29.111 27.360 26.160 30.772 27.257 25.018 23.693 22.584 22.383 22.645 23.121 
8.210 nan 38.846 32.335 29.645 27.923 26.532 31.336 27.714 25.333 23.857 22.702 22.455 22.754 23.238 
8.696 nan 39.612 33.442 30.256 28.722 26.946 32.310 28.374 25.633 24.026 22.792 22.482 22.833 23.321 
9.212 66.865 38.535 33.340 30.537 28.779 27.165 31.896 28.445 25.836 24.195 22.903 22.570 22.961 23.434 
9.759 nan 47.713 34.724 31.171 29.298 27.606 32.989 29.050 26.058 24.306 23.032 22.671 23.101 23.543 
10.337 nan 40.550 33.362 31.237 29.806 27.862 33.546 29.316 26.243 24.478 23.188 22.808 23.204 23.691 
10.950 nan 49.648 37.961 31.857 29.975 28.337 33.856 29.836 26.426 24.654 23.339 22.983 23.358 23.858 
11.600 nan 52.583 33.642 32.582 30.653 28.760 33.871 30.235 26.612 24.782 23.522 23.156 23.451 24.022 
12.288 97.820 51.475 38.537 33.671 30.421 29.348 37.464 30.651 26.871 24.996 23.683 23.321 23.568 24.188 
13.016 97.025 55.689 35.872 33.509 31.446 29.971 35.160 31.574 27.134 25.177 23.918 23.496 23.718 24.389 
13.788 96.933 56.318 39.040 33.437 31.286 29.572 36.588 31.001 27.272 25.342 24.098 23.673 23.817 24.559 
14.606 96.478 52.149 39.491 33.536 30.855 29.596 36.014 30.766 27.379 25.470 24.340 23.884 23.925 24.767 
15.472 97.804 43.977 36.056 32.363 30.123 29.177 34.891 30.163 27.221 25.410 24.500 24.096 23.985 24.899 
16.390 97.511 46.325 36.754 32.002 29.567 28.732 35.469 29.648 27.185 25.468 24.639 24.405 24.094 25.082 
17.362 103.655 45.661 33.599 31.936 29.389 28.651 33.169 29.545 27.158 25.531 24.781 24.581 24.164 25.209 
18.392 nan 42.070 34.935 32.022 29.827 28.945 34.590 29.850 27.372 25.695 24.984 24.785 24.261 25.392 
19.482 106.301 48.468 37.132 32.441 30.033 29.161 35.123 30.115 27.585 25.796 25.079 24.922 24.407 25.513 
20.638 108.950 48.332 38.634 32.950 30.564 29.685 35.842 30.667 27.892 25.907 25.231 25.096 24.454 25.665 
21.862 nan 70.322 39.256 33.857 31.044 30.089 35.660 31.086 28.055 26.127 25.340 25.293 24.592 25.816 
23.158 nan nan 41.201 33.561 31.810 30.479 37.505 31.607 28.426 26.320 25.473 25.408 24.700 25.962 
24.532 nan nan 43.755 34.758 31.916 30.835 40.365 31.782 28.831 26.656 25.673 25.611 24.859 26.184 
25.987 nan 74.261 39.062 36.896 32.532 31.671 39.666 32.762 29.250 26.902 25.882 25.781 25.024 26.397 
27.528 nan nan 43.949 35.584 33.684 32.197 36.702 33.644 29.708 27.187 26.142 26.111 25.255 26.680 
29.160 nan nan 62.605 38.853 34.200 31.962 46.332 33.532 29.950 27.429 26.479 26.490 25.635 27.023 
30.890 inf inf inf inf inf inf inf inf inf inf inf inf inf inf 
