# t[days] lsstu lsstg lsstr lssti lsstz lssty f062 f087 f106 f129 f158 f184 f213 f146 
0.103 24.413 24.545 26.139 26.656 24.565 27.116 25.768 25.260 27.562 26.712 30.310 31.474 28.507 27.521 
0.109 21.627 21.771 22.056 23.286 22.783 22.069 22.323 22.644 21.868 24.689 24.601 23.682 24.200 22.893 
0.116 21.637 21.207 21.413 21.872 25.427 22.373 21.482 22.792 21.925 23.164 24.183 22.180 22.914 22.547 
0.122 21.112 21.226 21.398 23.294 22.017 21.919 21.660 22.367 22.018 22.192 23.487 25.784 29.263 22.597 
0.130 21.232 21.478 21.175 21.741 20.741 24.212 21.268 21.395 22.623 23.026 23.577 24.325 27.211 23.263 
0.137 21.410 21.345 21.506 21.838 21.465 21.050 21.461 21.314 22.242 22.467 24.405 25.133 25.433 22.785 
0.145 21.353 21.389 21.723 21.246 22.414 21.900 21.795 21.609 21.728 23.471 24.141 25.288 22.316 22.741 
0.154 21.980 21.517 21.813 21.633 21.518 22.010 21.697 21.736 22.502 22.848 22.983 22.995 25.363 22.799 
0.163 21.765 21.356 21.912 22.106 21.564 22.345 21.861 21.755 22.963 23.191 22.249 22.922 23.888 22.673 
0.173 21.647 21.781 22.235 21.425 22.134 21.282 22.092 21.423 21.844 22.283 22.291 22.029 22.425 22.144 
0.183 21.975 21.812 21.685 21.512 21.723 22.441 21.673 21.606 22.926 22.027 22.432 22.345 22.944 22.302 
0.194 21.748 21.981 22.079 21.971 22.081 21.781 21.978 22.006 22.311 22.807 22.311 22.940 23.583 22.470 
0.206 22.086 22.073 22.479 22.258 21.830 23.134 22.324 22.132 23.078 22.467 21.740 21.992 23.074 22.205 
0.218 22.068 21.977 21.983 22.479 22.010 23.169 21.990 22.483 22.822 22.599 22.730 23.734 22.561 22.944 
0.231 22.215 22.120 22.088 22.694 22.082 22.518 22.131 22.328 22.542 22.676 23.141 22.568 23.919 22.675 
0.244 22.073 22.114 22.701 22.689 23.281 22.755 22.486 22.909 22.909 22.773 23.311 22.818 23.743 22.892 
0.259 22.274 22.251 22.402 22.842 21.988 23.063 22.491 22.383 23.178 22.566 22.486 22.141 22.813 22.622 
0.274 22.326 22.469 22.875 22.554 22.985 23.275 22.837 22.722 22.964 22.632 22.369 22.859 22.815 22.697 
0.290 22.129 22.467 22.714 22.671 22.825 23.216 22.621 22.945 23.085 23.074 23.168 22.920 23.635 23.052 
0.308 22.557 22.806 22.698 22.835 23.019 23.356 22.789 22.976 23.343 23.232 23.319 22.710 22.278 23.153 
0.326 22.632 22.625 22.872 23.024 23.048 22.860 22.898 22.940 22.785 23.098 23.259 23.153 22.969 22.993 
0.345 22.582 22.714 22.681 22.764 22.828 22.723 22.733 22.803 22.902 23.233 22.967 23.026 23.239 22.980 
0.366 22.791 22.692 22.744 22.668 22.815 22.353 22.712 22.624 22.630 23.115 23.581 23.169 23.611 23.022 
0.387 22.701 22.628 22.469 22.582 22.733 22.679 22.478 22.722 22.336 22.531 23.133 23.470 23.174 22.790 
0.410 22.791 22.649 22.869 22.993 22.854 22.710 22.862 22.876 22.685 22.945 23.073 23.640 23.495 22.994 
0.435 22.999 22.909 22.992 22.949 22.854 22.746 22.975 22.801 22.655 23.077 23.698 23.453 23.311 23.114 
0.461 23.055 22.840 22.849 22.771 22.772 22.979 22.788 22.844 23.076 23.094 22.935 22.873 23.447 23.011 
0.488 23.212 22.891 23.006 22.837 23.119 23.189 22.942 23.060 22.992 23.054 23.123 23.098 23.198 23.062 
0.517 23.483 23.118 22.993 22.715 22.742 22.925 22.942 22.785 23.070 23.131 23.272 23.232 23.296 23.155 
0.547 23.287 23.254 22.966 22.904 23.067 23.038 23.030 22.978 23.054 22.862 23.022 22.959 23.247 22.963 
0.580 23.547 23.278 23.090 22.912 22.856 22.805 23.113 22.832 22.852 23.111 23.331 23.354 23.466 23.122 
0.614 23.701 23.224 23.031 22.843 22.895 23.079 23.015 22.897 23.022 22.922 22.866 23.172 23.375 22.968 
0.651 23.825 23.386 23.026 22.912 22.696 22.973 23.057 22.839 22.854 22.882 22.967 22.982 23.058 22.910 
0.689 24.038 23.353 23.165 22.899 23.009 23.010 23.106 22.971 23.082 22.996 23.154 23.093 23.044 23.081 
0.730 24.241 23.457 23.114 22.995 23.025 23.036 23.139 22.983 23.075 23.047 23.085 23.122 23.211 23.087 
0.773 24.449 23.538 23.252 22.943 22.850 22.878 23.192 22.869 22.967 22.918 23.028 23.118 23.079 22.987 
0.819 24.484 23.682 23.174 23.018 22.957 22.865 23.206 22.916 22.795 22.884 22.832 23.049 23.133 22.878 
