# t[days] lsstu lsstg lsstr lssti lsstz lssty f062 f087 f106 f129 f158 f184 f213 f146 
0.103 26.488 26.328 27.314 28.867 29.527 27.584 27.161 29.175 28.056 29.851 29.458 29.691 34.536 28.876 
0.109 22.742 23.335 23.356 25.222 27.813 25.169 23.544 25.937 25.965 27.005 29.189 32.647 28.499 26.986 
0.116 22.659 23.026 23.740 24.678 23.607 25.233 23.771 24.271 25.662 23.866 24.880 28.797 26.781 24.909 
0.122 22.482 22.855 23.017 23.358 24.884 26.069 23.047 24.361 23.805 24.214 24.721 24.921 26.022 24.414 
0.130 22.377 22.704 22.988 23.854 23.143 22.645 23.165 23.370 22.931 23.834 24.917 24.914 33.795 23.784 
0.137 22.190 22.608 22.462 23.763 24.142 23.586 22.724 23.873 23.763 23.895 25.670 24.308 23.334 24.149 
0.145 22.337 22.406 22.537 23.173 22.980 23.025 22.678 23.043 23.505 24.722 24.541 24.193 26.784 23.998 
0.154 22.231 22.337 22.766 23.237 24.524 24.322 22.668 24.338 23.691 23.859 23.473 24.100 26.397 23.953 
0.163 22.285 22.518 22.681 22.708 23.716 23.710 22.664 23.280 23.617 24.116 24.469 24.821 23.536 24.094 
0.173 22.502 22.701 22.909 22.876 23.418 24.241 22.849 23.564 23.908 23.942 24.879 26.020 24.736 24.393 
0.183 22.524 22.643 23.103 22.971 23.741 23.762 22.949 23.517 23.436 24.069 24.889 24.664 24.267 24.128 
0.194 22.571 22.559 22.740 22.846 23.533 24.246 22.692 23.514 23.977 23.683 24.206 25.643 24.646 24.187 
0.206 22.562 22.694 22.897 23.259 23.418 24.591 22.970 23.559 23.734 24.021 24.332 23.722 24.314 23.915 
0.218 22.609 22.831 23.180 23.157 23.335 23.834 23.081 23.489 23.832 23.604 24.452 24.551 24.840 23.963 
0.231 22.695 22.940 23.100 23.635 23.857 23.979 23.181 23.872 23.624 23.823 24.277 25.157 25.786 24.011 
0.244 22.765 22.978 23.013 23.424 23.283 23.681 23.108 23.496 23.674 24.282 24.780 24.612 24.752 24.226 
0.259 22.928 23.170 23.242 23.449 23.366 23.727 23.316 23.423 23.888 23.807 24.318 24.759 24.600 24.099 
0.274 22.961 23.147 23.224 23.495 23.482 23.466 23.288 23.410 23.594 23.652 24.187 24.590 24.772 23.884 
0.290 22.935 23.126 23.366 23.410 23.520 23.595 23.345 23.461 23.671 23.641 23.884 24.749 25.035 23.892 
0.308 23.043 23.152 23.225 23.290 23.221 23.579 23.245 23.280 23.629 23.501 23.739 23.852 23.928 23.698 
0.326 23.134 23.183 23.209 23.251 23.184 23.282 23.199 23.293 23.373 23.741 23.883 23.876 24.144 23.664 
0.345 23.253 23.108 23.124 23.195 23.197 23.439 23.110 23.272 23.421 23.372 23.549 24.352 24.441 23.551 
0.366 23.534 23.401 23.015 23.378 23.160 23.364 23.167 23.298 23.324 23.354 23.642 23.984 24.593 23.523 
0.387 23.613 23.310 23.070 23.208 23.159 23.167 23.132 23.162 23.160 23.322 23.720 23.755 24.236 23.439 
0.410 23.786 23.579 23.315 23.087 23.157 23.221 23.299 23.142 23.257 23.230 23.595 23.698 23.720 23.402 
0.435 24.067 23.696 23.314 23.230 23.177 23.150 23.337 23.191 23.208 23.286 23.421 23.633 23.477 23.346 
0.461 24.193 23.790 23.511 23.325 23.278 23.194 23.486 23.291 23.215 23.323 23.368 23.328 23.623 23.312 
0.488 24.427 23.972 23.570 23.350 23.317 23.370 23.538 23.365 23.333 23.415 23.412 23.555 23.526 23.424 
0.517 24.752 24.306 23.834 23.551 23.515 23.513 23.854 23.519 23.461 23.527 23.524 23.469 23.673 23.484 
0.547 24.932 24.391 23.880 23.756 23.666 23.564 23.925 23.661 23.523 23.486 23.471 23.472 23.613 23.494 
0.580 25.236 24.577 24.022 23.787 23.785 23.620 24.041 23.724 23.648 23.467 23.544 23.481 23.552 23.547 
0.614 25.520 24.610 24.152 23.926 23.786 23.786 24.139 23.853 23.752 23.679 23.541 23.579 23.534 23.641 
0.651 25.850 24.856 24.254 23.973 23.840 23.715 24.250 23.827 23.717 23.787 23.662 23.729 23.832 23.737 
0.689 26.133 25.095 24.473 24.148 23.968 23.794 24.445 23.951 23.858 23.700 23.780 23.669 23.791 23.763 
0.730 26.447 25.299 24.638 24.211 24.068 23.852 24.586 24.049 23.890 23.840 23.751 23.693 23.797 23.807 
0.773 26.797 25.572 24.760 24.339 24.150 24.035 24.721 24.166 24.033 23.858 23.709 23.638 23.774 23.822 
0.819 27.084 25.642 24.911 24.464 24.209 24.055 24.852 24.236 24.099 23.987 23.681 23.792 23.875 23.881 
0.868 27.401 25.740 24.971 24.515 24.363 24.211 24.925 24.336 24.195 23.989 23.783 23.782 23.855 23.940 
0.919 27.667 26.011 25.082 24.560 24.393 24.180 25.038 24.364 24.156 24.013 23.821 23.777 23.912 23.946 
0.974 28.023 26.196 25.200 24.670 24.402 24.293 25.163 24.411 24.269 24.027 23.862 23.828 23.830 24.005 
1.032 28.629 26.274 25.207 24.806 24.578 24.400 25.192 24.595 24.385 24.150 23.916 23.982 23.822 24.102 
1.093 29.086 26.539 25.419 24.892 24.618 24.485 25.391 24.631 24.521 24.144 23.967 24.077 24.049 24.171 
1.158 29.719 26.760 25.596 24.982 24.632 24.569 25.546 24.683 24.559 24.217 24.001 24.036 24.059 24.190 
1.226 29.938 27.042 25.642 25.057 24.710 24.600 25.596 24.763 24.640 24.286 24.028 24.089 24.124 24.248 
1.299 30.598 27.306 25.779 25.076 24.774 24.630 25.739 24.774 24.632 24.304 24.056 24.143 24.158 24.281 
1.376 30.862 27.534 25.975 25.208 24.856 24.699 25.901 24.883 24.709 24.331 24.080 24.217 24.310 24.330 
1.458 31.741 27.860 26.204 25.355 24.865 24.686 26.100 24.916 24.713 24.360 24.157 24.252 24.245 24.361 
1.544 31.423 28.066 26.298 25.426 24.944 24.800 26.192 24.997 24.749 24.425 24.228 24.334 24.271 24.428 
1.636 32.076 28.419 26.374 25.507 24.959 24.817 26.305 25.020 24.813 24.459 24.254 24.337 24.346 24.457 
1.733 32.697 28.716 26.703 25.637 25.113 24.987 26.549 25.175 24.888 24.507 24.301 24.392 24.389 24.511 
1.836 32.456 29.072 26.889 25.787 25.185 25.024 26.719 25.262 24.941 24.640 24.325 24.415 24.456 24.568 
1.944 33.649 29.484 27.117 25.997 25.310 25.142 26.937 25.396 24.998 24.647 24.334 24.397 24.392 24.578 
2.060 34.436 29.734 27.409 26.059 25.364 25.095 27.132 25.413 25.009 24.704 24.350 24.440 24.441 24.613 
2.182 36.464 30.222 27.664 26.218 25.516 25.218 27.333 25.567 25.092 24.757 24.379 24.424 24.478 24.647 
2.311 35.498 30.368 27.903 26.401 25.613 25.310 27.551 25.671 25.163 24.838 24.422 24.435 24.465 24.694 
2.448 38.534 30.619 28.228 26.552 25.782 25.403 27.794 25.811 25.226 24.903 24.438 24.420 24.458 24.726 
2.594 35.048 31.287 28.572 26.783 25.934 25.493 28.083 25.943 25.287 24.936 24.438 24.394 24.448 24.736 
2.747 36.584 31.646 28.934 26.954 26.089 25.616 28.350 26.095 25.373 25.045 24.509 24.419 24.461 24.811 
2.910 40.711 31.792 29.129 27.137 26.268 25.707 28.531 26.238 25.453 25.103 24.520 24.444 24.467 24.843 
3.083 42.235 32.244 29.557 27.393 26.502 25.918 28.893 26.459 25.601 25.165 24.573 24.432 24.489 24.895 
3.266 40.589 32.741 29.886 27.768 26.741 26.145 29.325 26.714 25.771 25.313 24.638 24.448 24.517 24.976 
3.459 47.830 33.165 30.308 27.952 27.130 26.370 29.651 27.004 25.934 25.405 24.718 24.486 24.564 25.056 
3.665 54.352 33.999 30.738 28.333 27.415 26.600 30.141 27.273 26.106 25.543 24.783 24.491 24.538 25.125 
3.882 58.154 34.085 31.073 28.773 27.664 26.815 30.617 27.526 26.295 25.672 24.903 24.531 24.591 25.220 
4.112 61.077 34.760 31.644 29.200 28.048 27.144 31.216 27.903 26.514 25.822 24.985 24.589 24.625 25.317 
