# t[days] lsstu lsstg lsstr lssti lsstz lssty f062 f087 f106 f129 f158 f184 f213 f146 
0.103 22.610 23.283 25.029 24.409 22.390 26.439 24.925 23.084 27.382 28.128 27.223 26.863 34.911 27.569 
0.109 19.481 20.180 20.430 22.629 22.580 24.385 20.702 22.649 22.862 21.808 28.878 29.744 31.024 22.808 
0.116 19.721 20.117 20.007 20.768 22.589 24.993 20.152 21.743 23.934 23.968 22.453 23.148 25.432 23.059 
0.122 19.784 19.638 20.500 19.548 22.016 20.558 20.038 20.413 21.067 21.209 23.566 25.031 34.261 21.720 
0.130 19.951 19.333 20.218 21.331 21.165 20.091 20.262 20.584 20.962 23.121 21.886 23.641 24.195 21.689 
0.137 19.311 20.456 20.504 20.575 20.740 19.533 20.441 20.067 20.442 21.080 21.056 23.133 22.488 21.038 
0.145 19.503 20.007 20.488 19.950 20.788 20.001 20.503 20.236 20.336 23.852 20.941 21.523 22.048 20.998 
0.154 19.243 19.388 19.666 20.377 20.072 21.369 19.754 20.324 20.269 20.436 24.480 26.774 20.911 20.851 
0.163 19.233 19.986 20.069 20.026 21.467 20.237 20.047 20.532 20.104 20.241 21.458 21.993 23.280 20.803 
0.173 19.128 19.704 19.913 19.859 20.750 21.687 19.758 20.780 21.847 20.049 19.791 24.330 23.868 20.716 
0.183 19.240 19.761 19.555 19.680 20.634 20.808 19.767 20.222 20.751 22.041 20.833 21.970 21.714 21.178 
0.194 19.382 19.749 20.286 19.935 20.639 21.380 20.171 20.490 21.977 21.740 22.285 20.520 21.921 21.443 
0.206 19.563 19.793 20.132 20.341 20.126 21.080 20.098 20.382 21.347 21.544 21.964 23.954 23.034 21.804 
0.218 19.541 19.549 20.211 19.966 19.633 20.857 19.887 20.016 20.962 21.980 22.231 23.332 23.806 21.706 
0.231 19.439 19.706 20.207 20.571 19.127 20.664 20.144 19.745 20.225 21.437 21.986 22.743 23.909 21.126 
0.244 19.523 19.627 20.085 20.647 20.286 20.325 20.062 20.328 20.766 21.929 22.515 23.202 23.290 21.581 
0.259 19.640 19.765 20.035 19.951 20.673 20.434 19.862 20.632 20.665 20.733 21.800 22.136 22.846 21.064 
0.274 19.659 19.830 20.332 20.197 20.543 20.848 20.213 20.515 20.645 20.734 22.408 23.248 21.268 21.189 
0.290 19.534 19.861 20.195 20.234 20.255 21.005 20.098 20.496 20.861 20.757 21.872 22.080 22.380 21.215 
0.308 19.474 19.851 20.262 20.512 20.960 20.673 20.272 20.596 21.113 21.625 21.873 22.305 22.302 21.620 
0.326 19.584 19.815 20.188 20.302 21.059 21.432 20.161 20.787 21.798 21.730 22.021 21.409 22.239 21.666 
0.345 19.647 19.973 20.397 20.729 21.355 21.416 20.395 21.161 21.343 21.377 21.829 21.950 22.536 21.486 
0.366 19.640 19.943 20.077 20.786 20.332 21.221 20.217 20.576 21.178 21.504 21.934 22.382 22.636 21.634 
