# t[days] lsstu lsstg lsstr lssti lsstz lssty f062 f087 f106 f129 f158 f184 f213 f146 
0.103 24.986 25.553 26.608 27.277 26.656 25.277 26.666 25.882 26.332 29.731 30.528 30.978 29.743 27.527 
0.109 22.259 22.757 22.884 24.631 25.381 23.403 23.103 24.623 22.438 23.889 24.229 24.583 32.242 23.436 
0.116 22.186 22.631 22.230 24.184 22.992 25.389 22.569 23.430 23.875 22.327 23.956 25.336 25.653 23.307 
0.122 22.691 22.631 22.507 23.006 23.862 25.600 22.567 23.972 23.622 23.737 24.621 26.145 29.221 24.338 
0.130 22.274 22.390 22.623 23.100 25.310 24.338 22.662 24.540 23.907 24.292 24.769 24.962 23.522 24.429 
0.137 22.448 22.614 22.604 22.921 23.538 22.196 22.625 22.806 23.004 24.401 24.985 25.297 26.221 23.855 
0.145 22.676 22.643 22.502 23.248 23.581 23.356 22.637 23.554 23.017 23.749 23.557 25.345 25.625 23.560 
0.154 22.984 22.439 22.629 23.217 21.946 22.144 22.725 22.061 22.833 23.892 23.727 23.908 25.506 23.455 
0.163 23.106 22.855 22.951 22.131 23.000 22.835 22.557 22.771 23.414 24.218 24.006 25.074 23.753 23.944 
0.173 23.625 22.891 23.034 23.658 22.545 22.916 23.010 22.848 23.727 24.746 24.044 23.644 23.308 23.887 
0.183 23.564 23.518 22.996 23.666 23.034 22.633 23.243 23.143 23.378 23.879 23.530 22.872 24.009 23.371 
0.194 23.161 23.256 23.797 23.111 23.049 23.571 23.380 23.342 23.358 23.897 23.594 23.988 24.695 23.655 
0.206 23.491 23.297 23.384 23.327 23.931 23.895 23.475 23.471 24.065 23.737 23.670 23.837 23.611 23.915 
0.218 23.670 23.541 23.550 24.126 23.443 23.414 23.663 23.528 23.801 24.365 23.454 22.994 24.089 23.503 
0.231 23.659 23.457 23.584 23.736 24.103 23.281 23.571 23.799 23.642 24.095 23.684 23.758 25.044 23.735 
0.244 23.601 23.818 23.661 24.000 24.290 23.421 23.763 23.984 23.680 24.249 24.229 23.593 23.552 23.838 
0.259 23.718 23.681 23.898 23.968 24.141 23.982 23.922 23.905 24.297 24.159 24.520 24.389 23.831 24.311 
0.274 24.281 23.754 23.802 24.587 24.416 23.960 23.904 24.430 23.710 23.858 24.097 24.780 24.434 23.944 
0.290 23.600 23.671 24.227 24.037 23.944 24.305 23.966 24.003 24.563 24.162 24.266 24.515 24.628 24.302 
0.308 24.340 23.863 24.123 24.058 24.488 23.643 24.169 23.933 24.120 24.543 24.255 23.879 24.306 24.222 
0.326 24.258 24.322 23.986 24.425 24.212 24.263 24.132 24.323 24.405 24.482 24.665 24.722 24.102 24.526 
