# t[days] lsstu lsstg lsstr lssti lsstz lssty f062 f087 f106 f129 f158 f184 f213 f146 
0.103 24.932 24.354 27.527 24.879 23.950 26.217 25.178 24.687 26.943 31.207 39.730 34.938 43.802 28.168 
0.109 21.339 21.732 22.124 21.869 22.971 22.539 21.886 22.803 23.652 24.695 23.314 29.969 40.643 23.932 
0.116 21.642 21.647 22.267 23.887 24.743 22.098 22.267 22.890 22.219 22.283 30.198 27.946 28.239 23.105 
0.122 20.636 21.142 21.110 20.996 22.242 20.800 21.484 20.989 21.797 23.798 24.988 24.914 26.709 22.813 
0.130 20.636 21.465 21.830 22.917 21.407 22.202 21.919 21.955 22.652 24.180 25.875 22.137 22.259 22.971 
0.137 20.603 21.966 21.335 22.790 23.245 21.394 21.674 23.130 21.340 22.039 23.139 23.655 21.929 21.952 
0.145 21.102 21.614 21.634 21.367 21.621 22.837 21.478 21.819 22.588 22.307 24.470 26.417 25.583 22.924 
0.154 20.476 20.690 21.087 21.872 21.259 22.824 21.223 21.499 22.750 21.496 21.110 22.321 25.399 21.720 
0.163 20.733 21.160 20.477 20.403 22.678 23.078 20.478 22.179 23.163 22.553 22.967 26.504 25.038 23.000 
0.173 20.744 20.865 21.732 21.740 22.607 23.097 21.483 22.531 22.586 22.393 21.256 24.845 24.360 21.964 
0.183 21.016 21.334 21.372 22.423 22.516 23.385 21.538 22.780 22.479 22.417 23.609 23.826 24.645 23.138 
0.194 21.417 21.579 21.172 21.689 21.913 21.389 21.345 21.650 21.911 23.192 22.996 23.333 24.734 22.656 
0.206 21.109 21.147 21.894 22.173 21.632 21.956 21.776 21.849 22.385 23.124 25.111 24.214 22.810 23.131 
0.218 20.959 20.974 21.574 21.815 21.513 22.346 21.429 21.739 21.913 22.846 24.198 24.520 24.284 22.809 
0.231 21.363 21.432 21.446 21.580 21.391 21.436 21.611 21.322 21.656 22.829 23.286 23.506 22.046 22.454 
0.244 21.322 21.499 21.790 21.755 21.788 22.021 21.727 21.756 22.144 22.654 22.871 23.130 21.095 22.548 
0.259 21.264 21.352 21.688 21.510 21.755 22.496 21.621 21.864 21.852 22.147 22.984 23.797 22.828 22.385 
0.274 21.178 21.489 21.760 22.085 22.113 22.004 21.824 22.102 21.723 22.508 23.077 23.929 23.835 22.447 
0.290 21.271 21.435 21.706 22.193 21.688 21.908 21.673 21.911 22.330 22.471 22.775 23.962 25.636 22.666 
0.308 21.396 21.526 21.867 21.519 22.130 22.599 21.875 21.777 22.546 23.058 23.261 23.725 24.834 23.086 
0.326 21.431 21.651 22.010 21.973 22.069 22.980 21.972 22.149 23.134 23.312 23.147 23.824 23.854 23.257 
0.345 21.520 21.686 21.995 22.450 22.392 23.077 21.991 22.568 23.267 22.767 22.735 23.201 23.891 22.940 
0.366 21.788 21.739 22.292 22.608 22.356 22.696 22.256 22.429 22.965 23.141 23.249 23.304 22.297 23.206 
0.387 21.565 21.921 22.316 21.758 22.396 21.938 21.972 22.286 22.447 22.976 23.461 23.727 23.552 22.938 
0.410 21.854 21.861 22.287 22.237 22.226 22.120 22.251 22.098 22.360 23.063 23.264 22.681 23.641 22.748 
0.435 21.837 21.917 22.082 22.493 22.138 23.087 22.144 22.465 22.838 22.720 22.646 22.244 23.405 22.681 
0.461 21.952 22.008 22.148 22.486 22.864 23.104 22.223 22.740 22.780 22.786 23.107 23.373 22.887 22.956 
0.488 21.961 21.991 22.163 22.417 22.626 22.709 22.219 22.622 22.808 23.208 22.801 23.033 23.092 22.887 
0.517 22.059 21.940 22.292 22.416 22.392 22.454 22.242 22.434 22.542 22.488 23.076 23.344 23.628 22.794 
