# t[days] lsstu lsstg lsstr lssti lsstz lssty f062 f087 f106 f129 f158 f184 f213 f146 
0.103 24.195 24.315 25.980 26.273 24.292 26.746 25.510 25.029 27.334 26.445 30.077 30.107 28.242 27.255 
0.109 21.312 21.503 21.853 22.786 22.510 21.884 22.092 22.230 21.635 24.634 24.133 23.414 23.875 22.654 
0.116 21.423 20.889 21.226 21.700 24.277 21.858 21.200 22.777 21.683 23.295 23.909 21.899 23.692 22.290 
0.122 20.913 20.928 21.212 22.805 21.793 21.499 21.461 21.998 21.706 21.928 23.305 26.019 29.010 22.339 
0.130 20.908 21.252 20.904 21.556 20.471 23.895 20.999 21.186 22.379 23.068 23.355 24.131 27.754 23.014 
0.137 21.137 21.072 21.241 21.547 20.991 21.320 21.237 21.042 22.285 22.205 24.310 24.877 25.143 22.686 
0.145 21.069 21.133 21.493 20.964 22.380 21.466 21.510 21.392 21.462 23.230 24.104 25.091 22.052 22.481 
0.154 21.744 21.269 21.431 21.487 21.224 21.817 21.447 21.475 22.313 22.620 22.733 23.056 25.255 22.571 
0.163 21.471 21.124 21.654 21.890 21.297 22.096 21.617 21.484 22.745 22.886 21.957 22.707 23.517 22.421 
0.173 21.355 21.512 22.017 21.223 21.803 21.110 21.756 21.181 21.654 21.971 21.994 21.787 22.308 21.894 
0.183 21.765 21.530 21.409 21.220 21.469 22.268 21.385 21.399 22.641 21.727 22.216 22.099 22.698 22.062 
0.194 21.472 21.737 21.774 21.714 21.738 21.622 21.745 21.685 22.160 22.549 22.048 22.680 23.311 22.245 
0.206 21.825 21.808 22.248 21.836 21.738 22.849 22.082 21.873 22.817 22.084 21.526 21.651 22.949 21.919 
0.218 21.819 21.705 21.724 22.261 21.742 22.910 21.740 22.225 22.541 22.350 22.529 23.447 22.293 22.673 
0.231 21.954 21.816 21.889 22.414 21.758 22.297 21.884 22.055 22.342 22.425 22.906 22.332 23.610 22.435 
0.244 21.802 21.854 22.456 22.399 23.117 22.508 22.245 22.639 22.625 22.507 23.031 22.588 23.581 22.640 
0.259 22.002 22.000 22.127 22.546 21.782 22.695 22.236 22.120 22.897 22.292 22.272 21.916 22.737 22.327 
0.274 22.046 22.240 22.581 22.265 22.790 23.018 22.595 22.472 22.662 22.286 22.096 22.625 22.544 22.435 
0.290 21.833 22.226 22.408 22.478 22.575 22.931 22.371 22.656 22.801 22.815 22.900 22.650 23.340 22.787 
0.308 22.289 22.541 22.450 22.551 22.786 23.175 22.525 22.731 23.086 22.985 23.077 22.415 21.949 22.875 
0.326 22.351 22.357 22.649 22.767 22.743 22.569 22.641 22.640 22.534 22.884 22.981 22.801 22.605 22.714 
0.345 22.303 22.453 22.407 22.432 22.612 22.428 22.458 22.546 22.650 22.942 22.712 22.742 22.986 22.723 
0.366 22.515 22.423 22.498 22.388 22.506 22.103 22.452 22.361 22.409 22.857 23.361 22.862 23.479 22.770 
0.387 22.431 22.334 22.216 22.356 22.427 22.454 22.210 22.467 22.056 22.279 22.914 23.175 22.895 22.533 
0.410 22.534 22.382 22.588 22.768 22.588 22.378 22.600 22.584 22.398 22.692 22.829 23.355 23.252 22.732 
0.435 22.730 22.638 22.745 22.626 22.586 22.514 22.699 22.534 22.409 22.870 23.451 23.152 23.113 22.856 
0.461 22.781 22.569 22.560 22.510 22.508 22.863 22.515 22.600 22.845 22.802 22.644 22.626 23.205 22.758 
0.488 22.926 22.619 22.754 22.543 22.918 22.878 22.681 22.799 22.705 22.765 22.859 22.792 22.957 22.784 
0.517 23.198 22.842 22.721 22.437 22.463 22.630 22.657 22.533 22.826 22.837 23.002 22.968 23.024 22.896 
0.547 23.024 22.977 22.694 22.674 22.799 22.734 22.751 22.725 22.787 22.567 22.748 22.660 23.029 22.691 
0.580 23.261 23.000 22.830 22.645 22.572 22.523 22.840 22.546 22.598 22.861 23.079 23.091 23.199 22.862 
0.614 23.417 22.944 22.766 22.572 22.656 22.855 22.739 22.647 22.764 22.634 22.597 22.925 23.109 22.705 
0.651 23.515 23.105 22.757 22.648 22.448 22.676 22.778 22.576 22.591 22.619 22.709 22.757 22.827 22.647 
0.689 23.738 23.075 22.893 22.626 22.722 22.770 22.828 22.716 22.833 22.731 22.917 22.825 22.826 22.818 
