# t[days] lsstu lsstg lsstr lssti lsstz lssty f062 f087 f106 f129 f158 f184 f213 f146 
0.103 20.243 21.148 21.356 20.376 22.485 23.631 21.212 21.136 25.221 25.540 27.357 35.952 40.524 25.879 
0.109 17.803 18.597 19.278 19.335 18.854 27.420 19.482 19.043 26.033 19.633 23.319 36.409 38.629 20.845 
0.116 18.785 18.367 17.817 19.543 17.773 20.790 18.128 18.595 18.878 23.393 24.552 23.472 32.696 20.110 
0.122 17.446 17.368 18.614 17.282 17.097 19.185 17.758 17.766 20.060 20.364 21.195 23.637 24.291 20.566 
0.130 17.305 18.069 18.021 18.189 18.975 19.156 18.348 18.407 19.629 21.497 18.676 18.112 19.569 19.330 
0.137 17.383 18.219 18.141 19.781 18.095 18.303 18.246 18.180 18.506 17.546 19.557 18.127 20.750 18.261 
0.145 17.485 17.872 18.060 17.558 19.592 17.299 17.955 17.811 18.294 21.206 22.764 23.024 21.060 19.458 
0.154 17.480 17.383 17.612 17.757 19.010 19.645 17.653 18.604 19.340 17.216 19.382 19.532 21.115 18.234 
0.163 16.993 17.319 16.833 18.953 19.059 19.610 17.149 19.333 18.538 18.919 19.259 25.159 22.716 19.211 
0.173 17.326 17.442 18.067 18.729 19.649 20.517 17.942 19.677 20.286 17.740 18.501 20.423 21.914 18.818 
0.183 17.278 17.726 17.950 18.865 19.501 19.384 18.168 19.216 18.311 18.496 19.368 20.534 23.406 18.835 
0.194 17.796 18.062 17.437 18.272 18.046 18.884 17.665 18.391 19.069 19.973 19.360 19.410 19.306 19.382 
0.206 17.370 18.089 18.587 18.041 18.203 19.598 18.536 18.134 19.104 19.610 20.513 20.312 19.239 19.893 
0.218 17.427 17.444 18.244 18.618 18.745 18.041 18.156 18.651 18.359 19.727 20.826 18.471 21.538 18.873 
0.231 17.572 17.750 17.983 17.646 17.943 18.078 17.915 17.819 18.195 19.986 19.615 17.948 18.977 18.564 
0.244 18.084 18.274 18.530 18.323 18.395 17.588 18.373 18.243 17.891 19.207 19.482 18.211 19.466 18.443 
0.259 17.536 17.861 18.020 17.996 18.904 18.602 18.025 18.601 18.243 18.684 19.599 19.729 19.696 18.958 
0.274 17.749 17.815 18.180 18.520 18.555 17.901 18.199 18.433 18.239 19.533 20.312 20.362 19.977 19.094 
0.290 17.858 17.886 18.206 18.245 18.118 18.973 18.301 18.252 18.921 19.176 19.657 21.479 20.844 19.353 
0.308 17.730 18.099 18.405 18.059 18.483 18.855 18.108 18.754 19.127 19.400 19.805 20.964 19.175 19.525 
0.326 18.038 18.077 18.419 18.202 19.323 19.519 18.236 19.008 19.570 19.742 20.005 20.690 20.602 19.904 
0.345 18.151 18.231 18.622 18.677 19.432 19.463 18.640 19.037 19.357 19.218 19.208 20.220 20.541 19.360 
0.366 18.153 18.398 19.025 18.764 19.054 19.960 18.990 19.008 19.802 19.710 19.720 19.420 18.822 19.595 
0.387 18.154 18.421 18.350 18.631 18.522 19.199 18.479 18.689 19.610 19.423 19.642 19.665 20.272 19.586 
0.410 18.357 18.522 18.948 18.773 18.562 18.708 18.758 18.717 19.122 19.488 19.418 19.584 20.056 19.418 
0.435 18.292 18.372 18.723 18.415 18.901 19.196 18.646 18.715 19.202 19.281 19.001 19.429 20.578 19.164 
0.461 18.481 18.522 18.872 19.078 19.425 19.245 18.812 19.436 19.098 19.410 19.606 19.354 19.740 19.342 
0.488 18.323 18.457 18.939 18.878 19.174 19.086 18.740 19.124 19.287 19.173 19.355 19.210 19.735 19.215 
0.517 18.516 18.382 18.692 18.889 19.058 19.171 18.652 19.036 19.170 19.072 19.714 19.801 19.810 19.357 
0.547 18.466 18.630 18.694 18.646 19.018 19.137 18.709 18.907 19.285 19.201 19.353 19.762 19.443 19.373 
0.580 18.751 18.799 18.866 18.859 19.135 18.955 18.828 19.118 18.936 19.188 19.305 19.318 19.636 19.157 
0.614 18.681 18.650 18.805 19.170 18.990 19.173 18.853 19.118 18.909 19.149 19.372 19.219 19.829 19.117 
0.651 18.833 18.724 18.844 19.030 18.676 19.372 18.869 18.898 19.206 19.138 19.430 19.489 19.505 19.303 
0.689 18.855 18.726 18.946 18.705 19.027 19.110 18.851 18.931 19.137 19.094 19.228 19.196 19.425 19.202 
0.730 18.927 18.728 18.844 18.747 18.818 18.966 18.766 18.857 18.998 19.136 19.155 19.054 19.077 19.071 
0.773 18.998 18.839 18.839 18.722 18.616 18.901 18.777 18.742 19.002 19.212 19.151 19.244 19.214 19.102 
0.819 19.186 18.797 18.745 18.752 18.782 18.971 18.753 18.814 18.971 18.772 18.942 18.784 19.009 18.889 
0.868 19.160 18.872 18.943 18.905 18.967 19.114 18.887 19.009 19.176 18.989 19.258 19.206 19.059 19.148 
0.919 19.301 18.981 18.973 18.947 18.923 18.965 18.940 18.965 19.043 19.057 19.104 19.338 19.308 19.120 
