# t[days] lsstu lsstg lsstr lssti lsstz lssty f062 f087 f106 f129 f158 f184 f213 f146 
0.103 24.159 24.035 25.189 24.619 23.460 26.029 24.576 24.151 26.943 25.905 25.862 36.383 40.626 26.703 
0.109 20.956 22.018 21.489 25.288 21.934 22.093 22.017 22.251 23.711 26.478 25.664 27.632 39.663 24.780 
0.116 21.459 21.754 21.535 20.524 21.446 23.107 21.354 20.982 22.372 22.511 27.674 28.420 28.794 23.505 
0.122 20.147 20.313 22.319 22.603 21.760 20.658 21.706 21.125 21.677 24.500 24.527 25.320 30.531 22.774 
0.130 20.556 21.010 21.271 22.735 21.005 23.502 21.399 21.626 22.891 23.939 24.712 21.383 25.350 22.576 
0.137 20.641 22.077 21.730 22.896 22.889 21.469 22.025 22.751 22.004 20.962 22.528 25.662 21.622 21.671 
0.145 20.444 20.959 21.003 21.721 20.794 21.994 21.102 21.303 21.419 24.308 25.635 27.467 26.995 22.603 
0.154 20.530 20.913 20.678 21.448 21.314 22.320 20.826 21.446 22.992 20.531 20.851 23.641 24.276 21.553 
0.163 20.263 20.846 20.399 20.661 22.701 23.043 20.459 22.451 22.318 21.946 22.168 23.361 24.405 22.285 
0.173 20.406 20.844 21.051 21.389 22.736 23.315 21.036 22.490 23.876 23.064 21.196 24.787 25.873 22.200 
0.183 20.976 20.762 21.064 21.729 21.832 23.076 21.092 22.238 21.611 21.331 22.587 23.967 23.426 22.104 
0.194 20.910 21.455 21.280 21.741 21.814 21.217 21.441 21.400 21.755 22.742 22.460 22.985 22.114 22.319 
0.206 20.937 20.982 21.422 21.531 21.388 21.986 21.376 21.583 22.359 22.709 24.109 23.750 24.769 22.922 
0.218 21.099 20.881 21.503 21.903 21.328 22.329 21.388 21.675 22.593 22.872 23.452 21.894 22.257 22.567 
0.231 20.749 20.886 20.952 21.542 20.808 21.888 21.088 21.105 21.061 21.993 22.961 22.787 20.808 21.918 
0.244 21.155 21.480 21.708 21.751 21.962 21.792 21.780 21.927 21.333 21.743 22.846 22.985 22.809 21.947 
0.259 21.091 21.136 21.355 21.882 21.747 22.338 21.408 21.877 21.978 22.615 22.719 23.314 22.544 22.437 
0.274 21.189 21.212 21.542 21.469 21.337 21.944 21.498 21.528 21.691 21.906 23.366 23.648 23.614 22.221 
0.290 21.266 21.243 21.501 22.319 22.093 21.999 21.555 22.179 21.908 22.364 22.600 23.919 24.178 22.403 
0.308 21.116 21.345 21.691 21.563 21.577 22.328 21.694 21.526 22.714 23.123 22.695 23.581 24.053 22.923 
0.326 21.327 21.390 21.663 21.719 21.514 23.078 21.708 21.764 22.828 22.665 22.878 23.798 23.873 22.949 
0.345 21.484 21.544 21.955 22.080 21.784 22.919 21.906 22.029 22.835 22.831 22.811 23.217 23.719 22.841 
0.366 21.631 21.764 22.197 22.448 21.771 22.721 22.166 22.093 22.749 22.907 22.614 22.926 21.947 22.827 
0.387 21.415 21.598 22.139 21.684 22.082 22.281 21.824 22.135 22.587 22.694 22.977 22.863 23.195 22.702 
0.410 21.600 21.894 22.151 22.380 22.402 21.610 22.177 22.071 22.127 22.846 23.143 22.721 23.744 22.586 
0.435 21.872 21.699 21.923 22.002 22.055 22.326 21.901 22.074 22.388 22.617 22.730 22.793 23.213 22.658 
0.461 21.836 21.968 22.016 22.412 22.093 22.799 22.107 22.328 22.788 22.790 22.695 22.098 22.812 22.601 
0.488 21.987 21.754 22.097 22.231 22.657 22.983 22.038 22.601 22.597 22.791 22.305 22.631 22.329 22.552 
0.517 21.885 21.815 22.034 22.179 22.111 22.339 22.004 22.297 22.449 22.512 22.892 23.094 23.369 22.682 
0.547 22.129 21.863 22.196 21.960 22.138 22.402 22.074 22.154 22.510 22.478 22.708 22.555 23.225 22.559 
0.580 22.269 22.284 22.194 22.336 22.231 22.447 22.277 22.287 22.373 22.578 22.847 22.651 23.068 22.601 
0.614 22.337 22.059 22.135 22.132 22.596 22.288 22.096 22.378 22.232 22.112 22.479 22.808 22.692 22.397 
0.651 22.411 22.240 22.217 22.403 22.444 21.971 22.247 22.387 22.228 22.271 22.604 22.771 22.910 22.428 
0.689 22.383 22.160 22.246 22.207 22.246 22.518 22.172 22.328 22.590 22.485 22.740 22.705 22.733 22.602 
0.730 22.393 22.184 22.070 22.360 22.086 22.208 22.141 22.167 22.303 22.560 22.408 22.695 22.448 22.437 
0.773 22.613 22.295 22.302 22.142 22.240 22.098 22.292 22.097 22.247 22.482 22.489 22.356 22.417 22.402 
0.819 22.876 22.373 22.156 22.159 22.132 22.138 22.185 22.114 22.296 22.280 22.256 22.376 22.405 22.308 
0.868 22.953 22.552 22.301 22.234 22.147 22.434 22.311 22.199 22.387 22.320 22.500 22.419 22.411 22.415 
0.919 23.046 22.545 22.430 22.336 22.208 22.255 22.408 22.232 22.368 22.451 22.469 22.505 22.551 22.424 
0.974 23.338 22.627 22.464 22.462 22.344 22.377 22.485 22.378 22.268 22.425 22.431 22.754 22.768 22.452 
1.032 23.337 22.829 22.469 22.434 22.223 22.390 22.536 22.267 22.411 22.447 22.411 22.360 22.522 22.409 
1.093 23.600 22.846 22.550 22.523 22.423 22.519 22.575 22.467 22.396 22.414 22.440 22.437 22.528 22.428 
1.158 23.961 23.159 22.691 22.623 22.376 22.449 22.755 22.431 22.479 22.456 22.353 22.434 22.421 22.426 
1.226 24.151 23.303 22.788 22.634 22.338 22.333 22.846 22.352 22.403 22.428 22.318 22.437 22.540 22.411 
1.299 24.420 23.392 22.850 22.547 22.449 22.323 22.837 22.406 22.370 22.233 22.300 22.393 22.350 22.318 
1.376 24.468 23.596 22.907 22.556 22.356 22.511 22.908 22.421 22.503 22.397 22.405 22.459 22.524 22.435 
1.458 24.851 23.591 22.987 22.795 22.493 22.440 23.038 22.518 22.461 22.352 22.331 22.385 22.409 22.379 
1.544 25.331 23.861 23.225 22.842 22.574 22.523 23.206 22.610 22.446 22.262 22.322 22.408 22.392 22.361 
1.636 25.575 24.153 23.201 22.857 22.702 22.468 23.249 22.635 22.403 22.356 22.347 22.353 22.301 22.369 
1.733 25.863 24.347 23.420 22.990 22.718 22.555 23.423 22.701 22.534 22.344 22.341 22.434 22.258 22.411 
1.836 26.459 24.642 23.538 23.115 22.769 22.670 23.594 22.779 22.602 22.377 22.325 22.315 22.279 22.410 
1.944 26.372 24.788 23.640 23.225 22.810 22.796 23.689 22.856 22.653 22.457 22.362 22.335 22.300 22.461 
2.060 26.573 25.036 23.796 23.455 22.869 22.859 23.878 22.955 22.658 22.385 22.386 22.519 22.413 22.489 
2.182 27.180 25.285 24.064 23.674 23.014 22.936 24.144 23.098 22.793 22.633 22.458 22.508 22.412 22.606 
2.311 27.974 25.556 24.189 23.731 23.186 23.084 24.258 23.251 22.918 22.576 22.426 22.619 22.433 22.630 
2.448 28.230 25.600 24.244 23.909 23.345 23.158 24.350 23.376 22.973 22.640 22.511 22.594 22.410 22.679 
2.594 28.427 25.801 24.397 24.106 23.472 23.338 24.521 23.518 23.056 22.733 22.539 22.675 22.456 22.745 
2.747 28.918 26.111 24.606 24.211 23.563 23.382 24.697 23.617 23.125 22.776 22.574 22.739 22.524 22.798 
2.910 28.959 26.356 24.689 24.338 23.603 23.425 24.806 23.693 23.152 22.822 22.622 22.695 22.510 22.821 
3.083 29.403 26.391 24.855 24.506 23.706 23.464 24.980 23.784 23.182 22.860 22.616 22.775 22.496 22.853 
3.266 29.097 26.659 24.991 24.581 23.847 23.638 25.087 23.941 23.277 22.925 22.592 22.680 22.535 22.861 
3.459 30.487 26.785 25.109 24.716 23.917 23.731 25.213 24.007 23.317 22.969 22.625 22.724 22.506 22.900 
3.665 31.224 27.405 25.401 24.795 24.028 23.888 25.434 24.141 23.438 23.050 22.623 22.775 22.582 22.954 
3.882 31.609 27.856 25.798 25.120 24.280 23.977 25.817 24.366 23.542 23.137 22.626 22.765 22.549 22.985 
4.112 31.838 28.181 26.112 25.239 24.425 24.082 26.043 24.497 23.600 23.181 22.618 22.750 22.603 23.000 
4.356 33.141 28.680 26.538 25.522 24.671 24.274 26.398 24.768 23.697 23.282 22.655 22.727 22.681 23.049 
4.614 34.042 29.092 26.740 25.602 24.955 24.457 26.613 24.981 23.798 23.334 22.646 22.718 22.691 23.065 
4.888 34.982 29.259 27.144 25.783 25.265 24.574 26.872 25.219 23.908 23.408 22.667 22.710 22.696 23.100 
5.178 32.989 29.814 27.407 25.982 25.476 24.697 27.202 25.349 24.011 23.495 22.646 22.709 22.709 23.125 
5.485 39.536 30.124 27.489 26.174 25.523 24.869 27.360 25.485 24.130 23.594 22.721 22.726 22.723 23.192 
5.810 43.324 30.641 27.873 26.443 25.847 24.967 27.722 25.708 24.215 23.697 22.755 22.705 22.732 23.233 
6.155 35.599 30.888 28.185 26.400 25.997 25.154 27.916 25.793 24.352 23.783 22.744 22.701 22.769 23.248 
6.520 40.028 31.091 28.525 26.608 26.099 25.432 28.100 26.031 24.482 23.867 22.795 22.702 22.764 23.299 
6.906 52.337 31.675 28.596 26.807 26.373 25.565 28.299 26.227 24.573 23.948 22.842 22.691 22.777 23.334 
7.316 46.038 32.132 28.956 26.983 26.490 25.700 28.665 26.356 24.701 24.053 22.863 22.700 22.810 23.370 
7.750 nan 32.497 29.379 27.298 26.926 25.743 29.097 26.551 24.780 24.144 22.927 22.721 22.834 23.422 
8.210 65.936 32.654 30.037 27.557 27.165 25.935 29.486 26.806 24.993 24.283 22.990 22.699 22.809 23.469 
8.696 74.085 34.805 30.439 28.143 27.523 26.171 30.064 27.173 25.182 24.457 23.054 22.711 22.867 23.533 
9.212 75.116 34.129 31.333 28.587 27.658 26.477 30.625 27.407 25.384 24.556 23.145 22.754 22.910 23.616 
9.759 74.983 35.853 32.044 29.245 28.472 26.796 31.548 27.982 25.595 24.671 23.268 22.785 22.949 23.697 
10.337 nan 37.293 33.170 29.507 28.715 26.957 31.565 28.149 25.865 24.859 23.357 22.828 23.019 23.780 
10.950 nan 37.933 34.100 29.803 28.958 27.308 31.850 28.597 26.154 25.012 23.459 22.865 23.083 23.858 
11.600 89.011 44.805 35.029 30.664 29.529 27.600 32.857 28.969 26.343 25.173 23.583 22.949 23.165 23.971 
12.288 89.903 49.078 33.591 31.262 29.669 28.002 33.641 29.250 26.640 25.284 23.670 23.032 23.264 24.065 
13.016 93.353 49.135 38.301 31.015 30.222 28.426 34.194 29.703 26.823 25.461 23.824 23.133 23.356 24.188 
13.788 95.054 40.756 36.411 32.901 30.472 28.523 35.417 29.972 27.111 25.609 23.950 23.258 23.483 24.319 
14.606 95.059 56.230 35.489 32.336 31.331 29.128 34.516 30.746 27.471 25.832 24.067 23.352 23.605 24.436 
15.472 97.544 42.903 37.829 34.296 31.845 29.524 36.256 31.094 27.932 26.037 24.254 23.519 23.740 24.611 
16.390 nan 69.898 50.767 34.055 33.346 29.888 35.939 31.617 28.203 26.276 24.373 23.669 23.912 24.757 
17.362 nan nan 45.993 33.915 31.999 30.254 37.173 31.513 28.728 26.448 24.580 23.867 24.043 24.954 
18.392 100.188 76.903 51.833 36.848 32.778 30.634 40.264 32.204 29.002 26.655 24.760 24.039 24.236 25.133 
19.482 104.368 68.519 39.423 37.051 33.377 31.017 37.839 32.508 29.273 26.873 24.974 24.315 24.377 25.376 
20.638 102.199 83.137 52.785 38.428 36.209 31.745 40.712 34.068 29.688 27.062 25.255 24.645 24.588 25.674 
21.862 103.857 67.860 44.273 37.745 34.246 31.964 41.765 33.463 29.810 27.067 25.457 24.942 24.783 25.910 
23.158 nan 46.803 43.494 35.090 32.142 31.069 36.557 32.013 29.398 26.910 25.597 25.205 24.895 26.052 
24.532 nan nan 36.615 34.726 31.786 30.814 35.872 31.821 29.282 26.904 25.796 25.602 25.158 26.292 
25.987 nan 81.201 39.641 35.204 32.512 31.228 37.769 32.275 29.485 27.070 25.989 25.994 25.333 26.554 
27.528 nan nan 53.062 37.490 32.963 31.598 40.760 32.902 29.866 27.320 26.115 26.215 25.446 26.725 
29.160 nan 89.049 55.884 37.518 33.971 32.179 44.148 33.660 30.320 27.622 26.332 26.406 25.626 26.942 
30.890 inf inf inf inf inf inf inf inf inf inf inf inf inf inf 
