# t[days] lsstu lsstg lsstr lssti lsstz lssty f062 f087 f106 f129 f158 f184 f213 f146 
0.103 22.226 22.601 23.479 24.874 23.314 24.480 23.754 23.724 25.225 24.985 25.425 30.192 22.066 25.480 
0.109 19.600 19.143 20.338 22.805 21.144 23.440 20.078 21.902 22.348 20.716 28.351 24.742 25.024 21.786 
0.116 18.727 19.371 20.270 20.845 21.713 21.132 20.128 20.963 21.813 23.236 23.655 22.864 26.464 22.531 
0.122 18.620 18.836 18.873 19.526 22.051 19.430 19.004 20.473 19.312 20.155 20.902 22.056 23.629 20.153 
0.130 18.508 19.163 19.626 19.533 18.852 19.663 19.583 19.246 19.690 21.413 20.554 32.025 25.650 20.432 
0.137 18.446 18.502 19.306 19.602 18.611 20.813 19.032 19.226 19.919 20.926 21.380 19.275 20.061 20.139 
0.145 18.293 18.489 18.605 19.368 19.502 20.478 18.701 19.906 20.396 20.283 20.936 22.075 23.966 20.635 
0.154 18.550 18.662 18.833 20.294 20.645 19.566 19.030 20.355 19.916 20.002 19.988 21.191 20.197 20.179 
0.163 18.154 18.624 18.680 19.434 19.754 19.462 18.840 19.587 19.635 20.432 19.457 19.635 20.635 19.880 
0.173 18.464 18.867 19.272 19.647 19.308 20.409 19.265 19.622 20.381 20.764 21.799 22.242 20.801 21.048 
0.183 18.574 18.628 18.724 19.570 20.239 19.200 18.857 19.787 19.713 20.467 20.936 21.855 20.940 20.287 
0.194 18.537 18.804 19.004 19.460 20.015 20.697 19.047 19.920 20.131 20.370 20.918 19.710 20.645 20.282 
0.206 18.500 18.772 19.277 19.407 19.971 19.314 19.132 19.896 19.192 20.334 19.693 20.410 20.750 19.752 
0.218 18.592 18.932 19.269 19.573 19.800 19.868 19.193 19.881 19.833 20.322 20.575 20.783 21.445 20.267 
0.231 18.891 18.953 19.421 19.663 20.073 19.620 19.350 19.846 20.033 20.360 21.359 21.655 22.440 20.512 
0.244 18.800 19.116 19.399 19.579 19.832 19.827 19.389 19.678 19.968 20.649 20.769 21.152 21.399 20.471 
0.259 19.026 19.224 19.447 19.801 19.780 19.553 19.450 19.781 19.746 20.107 20.647 20.931 21.027 20.231 
0.274 19.009 19.210 19.332 19.201 19.676 19.353 19.328 19.362 19.551 19.864 20.665 21.024 21.023 20.056 
0.290 19.085 19.337 19.545 19.548 19.482 19.863 19.514 19.596 19.687 19.807 20.215 21.099 20.452 20.021 
0.308 19.117 19.223 19.267 19.269 19.593 19.646 19.289 19.461 19.686 19.870 20.193 20.056 20.645 19.907 
0.326 18.928 19.256 19.163 19.257 19.579 19.666 19.208 19.500 19.619 19.887 20.187 20.255 20.429 19.928 
0.345 19.220 19.147 19.138 19.221 19.485 19.468 19.154 19.383 19.467 19.486 19.915 20.237 20.600 19.700 
0.366 19.231 19.209 19.127 19.175 19.409 19.224 19.150 19.280 19.385 19.637 19.872 20.604 20.678 19.736 
0.387 19.263 19.250 19.161 19.172 19.153 19.130 19.174 19.147 19.236 19.643 19.829 20.136 20.375 19.630 
0.410 19.592 19.392 19.167 19.124 19.324 19.346 19.169 19.301 19.275 19.491 19.697 19.639 19.966 19.517 
0.435 19.781 19.520 19.155 19.209 19.222 19.219 19.214 19.229 19.245 19.435 19.499 19.689 20.246 19.457 
0.461 19.967 19.625 19.387 19.315 19.136 19.406 19.401 19.254 19.369 19.392 19.435 19.536 19.866 19.411 
0.488 20.167 19.803 19.368 19.421 19.276 19.286 19.449 19.295 19.377 19.523 19.610 19.562 19.601 19.487 
0.517 20.323 19.913 19.539 19.523 19.397 19.447 19.576 19.445 19.523 19.562 19.515 19.663 19.882 19.559 
0.547 20.553 20.058 19.695 19.633 19.526 19.589 19.720 19.597 19.514 19.526 19.594 19.794 20.060 19.595 
0.580 20.933 20.240 19.818 19.692 19.557 19.570 19.818 19.609 19.633 19.501 19.495 19.494 19.826 19.540 
0.614 20.997 20.295 19.853 19.724 19.597 19.813 19.877 19.686 19.814 19.575 19.613 19.691 19.896 19.674 
0.651 21.201 20.349 20.096 19.839 19.905 19.860 20.062 19.845 19.811 19.809 19.826 19.868 20.139 19.827 
0.689 21.507 20.574 20.179 19.956 19.814 19.892 20.166 19.882 19.829 19.706 19.766 19.859 20.143 19.772 
0.730 21.868 20.859 20.270 20.037 19.890 19.914 20.291 19.916 19.910 19.840 19.747 19.718 20.005 19.820 
0.773 22.126 21.000 20.359 20.086 20.038 20.105 20.392 20.057 19.980 19.736 19.683 19.855 19.983 19.814 
0.819 22.255 21.104 20.513 20.226 20.006 20.179 20.506 20.103 20.048 19.740 19.755 19.884 20.047 19.865 
0.868 22.316 21.188 20.526 20.319 20.132 20.159 20.551 20.171 20.068 19.832 19.893 19.943 20.244 19.941 
0.919 22.589 21.348 20.635 20.276 20.120 20.196 20.623 20.191 20.065 19.901 19.761 19.870 20.146 19.908 
0.974 22.756 21.408 20.672 20.352 20.225 20.357 20.686 20.266 20.171 19.931 19.917 19.938 20.028 19.993 
1.032 23.117 21.508 20.838 20.473 20.346 20.427 20.828 20.386 20.244 19.964 19.991 19.896 20.160 20.024 
1.093 23.419 21.720 20.841 20.522 20.344 20.478 20.864 20.429 20.248 19.978 20.026 20.033 20.180 20.077 
1.158 23.544 21.805 20.979 20.516 20.397 20.600 20.958 20.464 20.319 19.970 20.013 20.080 20.294 20.099 
1.226 24.189 21.965 21.021 20.633 20.491 20.646 21.019 20.562 20.395 20.074 20.144 20.173 20.295 20.203 
1.299 24.461 22.119 21.064 20.627 20.420 20.647 21.070 20.504 20.405 20.038 20.110 20.137 20.317 20.182 
1.376 24.869 22.323 21.244 20.716 20.539 20.694 21.228 20.595 20.441 20.091 20.145 20.310 20.528 20.244 
1.458 25.369 22.541 21.271 20.707 20.472 20.695 21.255 20.557 20.474 20.161 20.201 20.271 20.515 20.277 
1.544 25.611 22.702 21.405 20.728 20.498 20.588 21.364 20.536 20.435 20.158 20.251 20.266 20.399 20.284 
1.636 26.078 22.898 21.436 20.743 20.532 20.693 21.381 20.603 20.468 20.202 20.267 20.358 20.459 20.324 
1.733 26.392 23.226 21.629 20.846 20.656 20.694 21.550 20.673 20.495 20.242 20.310 20.380 20.471 20.369 
1.836 26.779 23.402 21.740 20.879 20.620 20.730 21.642 20.659 20.606 20.287 20.308 20.442 20.488 20.404 
1.944 27.533 23.683 21.857 20.957 20.684 20.691 21.774 20.687 20.564 20.325 20.296 20.386 20.528 20.400 
2.060 28.203 23.989 21.995 21.021 20.683 20.705 21.880 20.708 20.624 20.332 20.336 20.393 20.509 20.420 
2.182 28.434 24.335 22.202 21.183 20.740 20.773 22.096 20.782 20.674 20.376 20.344 20.465 20.570 20.466 
2.311 28.513 24.467 22.401 21.269 20.825 20.829 22.263 20.859 20.739 20.408 20.356 20.435 20.542 20.485 
2.448 29.150 24.942 22.592 21.439 20.902 20.899 22.440 20.968 20.777 20.462 20.359 20.445 20.522 20.514 
2.594 30.119 25.094 22.740 21.506 20.979 20.860 22.576 20.992 20.808 20.471 20.317 20.384 20.533 20.497 
2.747 30.126 25.429 22.941 21.697 21.078 20.918 22.779 21.107 20.875 20.554 20.370 20.454 20.490 20.560 
2.910 29.637 25.734 23.222 21.868 21.217 21.009 23.003 21.242 20.962 20.570 20.383 20.432 20.505 20.582 
3.083 30.136 25.870 23.483 22.110 21.397 21.133 23.264 21.420 21.036 20.624 20.399 20.436 20.510 20.615 
3.266 32.579 26.265 23.895 22.406 21.596 21.322 23.586 21.645 21.180 20.711 20.399 20.473 20.489 20.677 
3.459 31.782 26.653 24.216 22.703 21.800 21.487 23.915 21.858 21.292 20.803 20.471 20.499 20.527 20.748 
3.665 34.688 26.943 24.578 22.914 22.002 21.590 24.179 22.034 21.409 20.907 20.472 20.497 20.554 20.794 
3.882 36.965 27.405 25.041 23.162 22.231 21.797 24.523 22.267 21.548 21.026 20.525 20.517 20.612 20.869 
4.112 35.289 28.102 25.538 23.509 22.516 22.002 24.959 22.536 21.704 21.154 20.594 20.570 20.675 20.959 
4.356 35.095 28.878 26.135 23.916 22.910 22.224 25.376 22.890 21.883 21.305 20.657 20.614 20.690 21.053 
4.614 40.692 29.453 26.765 24.335 23.246 22.459 25.849 23.220 22.029 21.448 20.709 20.676 20.738 21.137 
4.888 40.530 30.533 27.725 24.909 23.753 22.812 26.536 23.692 22.254 21.623 20.769 20.729 20.800 21.233 
5.178 46.338 31.086 28.208 25.533 24.235 23.104 27.095 24.120 22.458 21.787 20.860 20.811 20.908 21.348 
5.485 46.291 31.687 28.745 25.980 24.697 23.412 27.528 24.500 22.674 21.948 21.006 20.945 21.030 21.500 
5.810 45.118 31.684 29.418 26.677 25.281 23.776 28.183 24.971 22.954 22.146 21.144 21.084 21.161 21.661 
6.155 53.319 32.743 30.173 27.350 25.877 24.142 28.922 25.442 23.267 22.386 21.319 21.244 21.309 21.854 
6.520 48.168 33.560 30.257 27.758 26.419 24.447 29.195 25.845 23.562 22.592 21.501 21.405 21.511 22.042 
6.906 57.777 33.718 31.024 28.472 26.923 24.974 29.856 26.439 23.945 22.858 21.713 21.578 21.719 22.262 
7.316 62.953 36.240 32.410 29.105 27.426 25.388 30.626 26.976 24.236 23.090 21.941 21.787 21.921 22.486 
7.750 nan 33.452 32.225 29.491 27.654 25.756 30.908 27.315 24.480 23.297 22.151 21.993 22.098 22.696 
8.210 77.415 37.381 32.283 29.731 27.681 25.982 31.064 27.558 24.748 23.511 22.434 22.254 22.321 22.961 
8.696 78.933 35.686 32.767 29.732 27.742 26.394 31.542 27.774 24.923 23.623 22.671 22.475 22.480 23.169 
9.212 nan 35.796 32.045 29.302 27.628 26.378 31.307 27.602 25.078 23.771 22.941 22.722 22.692 23.400 
9.759 92.347 38.317 31.961 29.148 27.623 26.633 31.325 27.620 25.273 23.889 23.175 22.927 22.816 23.604 
10.337 67.588 34.531 32.256 29.251 27.702 26.672 31.738 27.642 25.324 23.976 23.426 23.152 22.912 23.797 
10.950 nan 40.190 33.871 29.379 28.067 26.979 31.986 27.886 25.560 24.110 23.540 23.327 23.036 23.946 
11.600 96.287 40.096 33.926 30.246 28.424 27.258 33.079 28.297 25.779 24.260 23.717 23.463 23.207 24.117 
12.288 98.051 38.629 34.001 30.586 28.627 27.378 33.089 28.518 25.967 24.370 23.835 23.595 23.264 24.240 
13.016 90.423 44.849 36.787 31.412 29.211 27.733 35.268 28.948 26.212 24.475 23.912 23.724 23.344 24.360 
13.788 103.762 54.263 39.498 31.218 29.489 28.074 36.312 29.215 26.553 24.604 24.049 23.822 23.457 24.494 
14.606 101.434 82.303 36.668 33.080 30.162 28.415 34.592 29.824 26.940 24.797 24.184 24.011 23.586 24.672 
15.472 102.891 82.732 41.669 33.059 30.552 28.983 36.616 30.234 27.287 25.004 24.333 24.146 23.718 24.836 
16.390 103.851 83.863 45.998 32.332 30.994 29.242 37.488 30.651 27.629 25.215 24.566 24.368 23.933 25.059 
17.362 105.423 90.242 45.544 36.223 31.360 29.511 37.594 30.849 28.091 25.492 24.893 24.686 24.254 25.378 
18.392 nan nan nan 40.005 31.701 30.070 41.047 31.514 28.710 25.836 25.282 25.158 24.708 25.804 
19.482 nan nan 84.039 39.611 32.531 31.080 nan 32.574 30.042 26.824 26.242 26.022 25.601 26.742 
20.638 nan 89.031 83.954 nan 36.456 32.532 80.225 34.336 31.626 28.488 27.897 27.694 27.048 28.403 
21.862 111.813 90.284 nan nan 74.995 nan 82.587 nan 67.766 31.931 30.531 29.083 27.977 30.430 
23.158 nan nan nan 79.907 77.363 nan 82.675 78.757 nan 40.149 31.646 29.932 28.459 31.449 
24.532 114.685 nan nan nan 77.210 nan 85.284 81.263 nan 37.525 32.281 30.688 28.762 32.078 
25.987 114.432 nan nan nan 78.113 nan 86.792 nan nan 52.266 32.786 30.203 29.552 31.698 
27.528 115.289 nan nan nan 78.704 nan 88.287 nan nan 66.803 32.868 31.218 29.462 32.641 
29.160 nan nan nan 85.201 82.103 nan 86.991 nan 78.851 78.001 45.395 31.927 30.650 33.504 
30.890 inf inf inf inf inf inf inf inf inf inf inf inf inf inf 
