# t[days] lsstu lsstg lsstr lssti lsstz lssty f062 f087 f106 f129 f158 f184 f213 f146 
0.103 24.145 24.689 25.960 26.445 26.726 31.694 25.888 26.547 27.979 27.151 30.885 37.912 35.563 28.316 
0.109 22.117 20.377 23.269 23.488 24.812 25.820 21.730 24.385 24.585 23.503 25.384 26.228 33.632 24.248 
0.116 20.354 20.498 22.334 20.941 21.854 23.906 20.882 22.434 24.346 25.233 22.909 33.482 30.715 23.835 
0.122 20.356 20.030 20.746 20.891 25.775 22.789 20.442 22.581 20.699 20.101 26.324 26.124 26.877 21.216 
0.130 20.120 20.605 20.288 21.182 22.044 20.841 20.494 21.664 20.884 24.068 24.781 27.334 28.276 22.082 
0.137 19.716 19.888 20.670 21.892 21.182 23.745 20.826 21.461 23.668 23.929 25.928 26.225 27.667 24.234 
0.145 19.572 20.246 19.752 21.396 22.447 23.608 20.112 22.092 23.802 21.544 22.855 23.753 24.225 22.375 
0.154 19.456 20.353 20.769 20.991 21.240 21.742 20.842 21.172 22.209 21.650 24.208 24.603 25.816 22.337 
0.163 19.422 19.962 20.702 21.079 21.316 22.970 20.702 21.826 23.561 23.841 23.252 23.510 23.961 23.498 
0.173 19.441 19.906 20.540 21.465 22.401 21.170 20.589 21.610 21.394 22.667 24.190 26.999 21.980 22.412 
0.183 19.368 20.205 20.641 20.797 21.451 23.036 20.554 21.510 22.137 21.031 21.672 23.562 20.667 21.809 
0.194 19.524 19.906 21.043 20.599 21.403 22.505 20.586 21.421 22.466 21.852 21.989 23.576 23.149 22.474 
0.206 19.509 20.032 20.651 20.650 21.491 22.792 20.700 21.094 22.752 22.129 23.164 23.972 24.291 22.701 
0.218 19.439 20.142 20.765 21.390 20.908 22.484 20.735 21.357 22.684 21.750 22.067 22.863 23.934 22.295 
0.231 19.631 20.362 21.047 21.313 21.817 21.692 20.905 21.785 22.068 21.979 23.823 24.119 24.160 22.490 
0.244 19.709 20.588 20.791 21.232 21.346 21.313 20.811 21.468 21.182 21.929 22.249 23.908 23.197 21.797 
0.259 19.829 20.251 20.942 21.053 21.375 21.861 20.791 21.500 22.295 22.928 22.106 22.314 25.178 22.470 
0.274 19.722 20.510 20.839 21.629 21.687 21.265 20.915 21.643 21.640 22.421 23.161 23.424 23.367 22.361 
0.290 19.880 20.458 20.854 21.610 21.096 21.658 20.914 21.438 21.420 22.290 22.467 24.105 23.927 22.065 
0.308 19.777 20.356 20.719 21.186 21.353 21.409 20.720 21.382 22.069 22.244 22.702 22.861 24.029 22.367 
0.326 19.820 20.342 20.866 21.308 21.183 21.605 20.890 21.367 21.553 21.263 22.183 22.405 22.626 21.716 
0.345 20.057 20.449 20.950 21.396 21.427 21.517 20.952 21.594 21.480 22.142 22.038 21.990 23.106 21.812 
0.366 19.936 20.389 20.997 20.988 21.083 21.767 20.904 21.103 21.534 21.594 21.939 22.813 23.306 21.822 
0.387 20.085 20.519 20.915 21.221 21.385 21.833 20.914 21.394 21.950 21.687 22.190 23.103 23.222 22.091 
0.410 20.130 20.487 20.714 21.351 21.321 21.071 20.804 21.306 21.355 21.957 22.421 22.597 22.253 21.896 
0.435 20.193 20.519 20.764 21.216 21.227 21.215 20.804 21.266 21.387 21.516 21.806 22.701 23.476 21.687 
0.461 20.148 20.495 20.768 20.900 21.152 21.157 20.744 21.148 21.364 21.452 21.946 21.843 22.424 21.579 
0.488 20.250 20.499 20.673 20.847 20.883 21.185 20.680 20.927 21.361 21.448 21.697 22.241 22.196 21.570 
0.517 20.312 20.473 20.658 20.934 21.045 20.961 20.656 20.968 21.194 21.205 21.791 22.170 22.077 21.502 
0.547 20.425 20.510 20.524 20.796 20.875 20.979 20.564 20.903 20.997 21.157 21.593 22.064 22.158 21.322 
0.580 20.562 20.547 20.566 20.750 20.821 20.965 20.611 20.830 21.021 21.203 21.502 22.311 22.104 21.357 
0.614 20.884 20.638 20.668 20.806 20.781 20.726 20.680 20.768 20.823 21.007 21.088 21.610 21.930 21.084 
0.651 21.034 20.699 20.624 20.750 20.770 20.832 20.649 20.755 20.800 21.117 21.320 21.801 21.996 21.159 
0.689 21.420 20.812 20.702 20.717 20.798 20.786 20.698 20.790 20.933 21.076 21.240 21.528 21.751 21.167 
0.730 21.745 20.990 20.742 20.685 20.650 20.812 20.751 20.668 20.872 20.923 21.287 21.711 21.630 21.122 
0.773 22.126 21.179 20.926 20.812 20.762 20.884 20.913 20.788 20.883 20.944 21.333 21.584 21.779 21.107 
0.819 22.491 21.488 21.093 20.933 20.737 20.871 21.098 20.778 20.966 20.949 21.069 21.690 21.576 21.097 
0.868 22.910 21.724 21.266 21.086 20.956 20.948 21.256 20.946 21.024 21.010 21.107 21.234 21.596 21.078 
0.919 22.922 21.916 21.479 21.187 21.015 21.105 21.453 21.041 21.143 21.062 21.100 21.417 21.530 21.150 
0.974 23.377 22.313 21.736 21.409 21.237 21.263 21.717 21.250 21.323 21.148 21.160 21.367 21.518 21.242 
1.032 23.893 22.645 21.951 21.595 21.346 21.442 21.941 21.384 21.496 21.227 21.225 21.469 21.645 21.350 
1.093 24.372 22.774 22.173 21.733 21.511 21.513 22.119 21.503 21.585 21.334 21.302 21.343 21.694 21.402 
1.158 24.646 23.246 22.407 21.984 21.826 21.682 22.375 21.797 21.833 21.493 21.322 21.450 21.666 21.517 
1.226 25.115 23.525 22.638 22.122 21.793 21.819 22.633 21.804 21.968 21.598 21.339 21.476 21.687 21.588 
1.299 25.344 23.752 22.683 22.292 22.089 22.015 22.696 22.090 22.108 21.612 21.467 21.605 21.808 21.687 
1.376 25.865 24.020 22.997 22.393 22.154 22.035 22.946 22.152 22.142 21.760 21.511 21.638 21.862 21.745 
1.458 25.996 24.392 23.170 22.629 22.251 22.284 23.159 22.298 22.284 21.836 21.665 21.772 21.901 21.895 
1.544 26.601 24.618 23.356 22.776 22.395 22.407 23.355 22.429 22.409 21.919 21.710 21.739 21.861 21.940 
1.636 27.100 24.982 23.554 23.021 22.709 22.549 23.555 22.691 22.556 21.988 21.691 21.793 21.960 21.985 
1.733 27.265 25.157 23.741 23.178 22.866 22.833 23.721 22.907 22.759 22.092 21.803 21.874 22.034 22.101 
1.836 27.787 25.669 23.979 23.383 23.051 22.901 24.006 23.026 22.833 22.162 21.896 22.073 22.017 22.211 
1.944 27.943 25.833 24.125 23.607 23.210 23.076 24.134 23.254 22.959 22.281 22.057 22.132 22.158 22.330 
2.060 28.842 26.286 24.526 23.933 23.325 23.267 24.534 23.413 23.168 22.421 22.111 22.318 22.179 22.452 
2.182 29.170 26.375 24.725 24.150 23.526 23.247 24.724 23.532 23.185 22.477 22.174 22.367 22.292 22.513 
2.311 29.987 26.722 25.008 24.350 23.580 23.452 25.005 23.655 23.336 22.614 22.250 22.359 22.320 22.593 
2.448 30.728 27.382 25.388 24.631 23.974 23.647 25.335 24.002 23.426 22.658 22.304 22.536 22.435 22.684 
2.594 30.883 27.717 25.850 24.886 24.179 23.932 25.721 24.240 23.591 22.801 22.395 22.547 22.445 22.782 
2.747 32.187 28.100 26.180 25.354 24.471 24.127 26.102 24.544 23.786 22.846 22.452 22.664 22.585 22.862 
2.910 33.755 28.704 26.612 25.471 24.748 24.305 26.422 24.777 23.963 22.961 22.473 22.742 22.656 22.941 
3.083 32.898 29.343 27.009 25.652 25.037 24.486 26.695 25.004 24.028 23.069 22.493 22.709 22.662 22.973 
3.266 32.962 29.643 27.462 25.932 25.305 24.725 26.994 25.319 24.179 23.172 22.485 22.733 22.619 23.022 
3.459 33.965 29.912 27.888 26.190 25.473 24.807 27.498 25.445 24.292 23.199 22.518 22.663 22.672 23.029 
3.665 32.345 30.300 28.563 26.392 25.545 24.819 27.775 25.489 24.304 23.291 22.473 22.571 22.609 23.005 
3.882 32.318 30.796 28.188 26.503 25.788 24.927 27.734 25.677 24.356 23.298 22.456 22.577 22.585 23.006 
4.112 37.515 31.226 28.778 26.483 25.904 25.118 27.946 25.798 24.486 23.298 22.418 22.498 22.613 22.974 
4.356 38.576 31.038 28.879 26.628 25.891 25.130 28.078 25.812 24.515 23.296 22.370 22.469 22.563 22.948 
4.614 34.962 31.052 28.982 26.789 25.934 25.117 28.267 25.845 24.532 23.297 22.327 22.362 22.501 22.892 
