# t[days] lsstu lsstg lsstr lssti lsstz lssty f062 f087 f106 f129 f158 f184 f213 f146 
0.103 25.910 26.154 28.017 29.118 29.940 27.814 27.421 29.585 28.110 29.409 28.864 28.915 36.153 28.867 
0.109 22.538 22.886 23.364 23.509 26.194 25.698 23.343 24.144 23.938 24.042 30.160 30.841 28.170 25.093 
0.116 22.233 22.726 23.907 24.277 25.820 24.198 23.544 26.032 23.734 25.019 26.634 28.142 26.712 24.669 
0.122 22.324 22.650 23.637 23.209 23.165 24.392 23.212 23.594 23.764 24.369 24.485 25.515 26.194 24.489 
0.130 22.041 22.468 22.336 23.498 23.398 22.310 22.561 23.035 22.896 23.458 24.247 25.258 27.557 23.683 
0.137 22.174 22.200 22.512 23.934 23.597 23.480 22.649 23.803 23.399 24.794 24.292 23.683 24.465 24.001 
0.145 22.136 22.293 22.534 23.202 23.604 23.184 22.575 23.640 23.430 23.901 23.837 25.680 24.242 23.772 
0.154 21.961 22.037 22.398 23.026 23.054 23.473 22.382 23.326 23.330 23.688 24.433 24.908 24.568 23.954 
0.163 21.994 22.407 22.689 22.670 23.537 23.886 22.642 23.303 23.699 24.050 23.686 23.799 25.928 23.947 
0.173 22.336 22.515 22.491 22.477 23.423 23.335 22.466 23.212 23.391 23.440 24.394 24.145 22.706 23.748 
0.183 22.306 22.294 22.632 22.853 23.446 23.368 22.569 23.347 23.260 23.650 24.247 25.520 25.411 23.767 
0.194 22.198 22.359 23.068 22.890 23.474 23.743 22.857 23.276 23.695 23.925 23.586 23.284 25.648 23.747 
0.206 22.329 22.543 22.582 22.881 22.893 23.605 22.682 22.980 23.770 23.572 24.077 25.001 24.091 23.952 
0.218 22.404 22.379 22.803 23.051 23.370 23.716 22.763 23.390 23.536 23.720 24.581 24.784 24.217 24.009 
0.231 22.605 22.708 23.052 23.226 23.137 23.130 23.052 23.098 23.348 23.325 24.341 24.534 24.437 23.640 
0.244 22.591 22.751 23.117 23.088 23.157 23.569 22.997 23.210 23.336 23.395 24.258 24.510 24.114 23.716 
0.259 22.566 22.899 22.991 23.253 23.156 23.504 23.006 23.350 23.629 23.654 23.822 24.431 24.655 23.802 
0.274 22.961 22.924 23.004 23.124 23.064 23.275 23.041 23.019 23.481 23.558 24.207 24.656 24.440 23.809 
0.290 22.893 22.958 22.897 23.073 23.118 23.003 22.930 23.093 23.189 23.402 23.749 24.349 24.298 23.532 
0.308 22.919 22.948 22.995 23.065 22.948 23.123 22.971 23.033 23.259 23.319 23.490 24.099 24.466 23.504 
0.326 23.133 22.958 22.905 22.980 23.064 23.075 22.914 23.042 23.257 23.237 23.443 23.671 23.800 23.361 
0.345 23.240 22.988 22.987 23.055 22.959 23.193 22.976 23.073 23.122 23.271 23.353 24.051 24.073 23.366 
0.366 23.442 23.093 22.891 22.978 22.852 22.998 22.927 22.915 22.914 22.991 23.345 23.875 24.185 23.162 
0.387 23.820 23.263 22.852 23.022 23.047 22.813 22.948 22.962 23.005 23.101 23.459 23.485 23.924 23.202 
0.410 23.807 23.405 23.057 22.897 22.768 22.713 23.059 22.787 22.852 23.015 23.138 23.015 23.547 22.992 
0.435 24.142 23.564 23.159 23.031 23.049 22.895 23.189 22.980 22.961 23.067 23.111 23.366 23.957 23.098 
0.461 24.348 23.762 23.379 23.056 23.063 23.021 23.328 23.051 23.052 22.988 23.026 23.062 23.039 23.030 
0.488 24.636 23.833 23.413 23.264 23.305 23.120 23.395 23.286 23.124 23.141 23.122 23.282 23.575 23.155 
0.517 24.781 24.174 23.658 23.263 23.197 23.231 23.585 23.238 23.222 23.177 23.149 23.372 23.480 23.230 
0.547 25.164 24.317 23.818 23.554 23.505 23.363 23.802 23.465 23.340 23.249 23.309 23.277 23.247 23.300 
0.580 25.448 24.407 23.943 23.659 23.525 23.349 23.912 23.502 23.418 23.248 23.214 23.277 23.425 23.293 
0.614 25.628 24.770 24.099 23.722 23.591 23.556 24.056 23.648 23.522 23.407 23.379 23.353 23.444 23.414 
0.651 26.139 24.974 24.303 23.882 23.721 23.554 24.271 23.691 23.619 23.523 23.365 23.365 23.331 23.471 
0.689 26.544 25.044 24.392 23.924 23.843 23.593 24.311 23.754 23.691 23.608 23.404 23.449 23.602 23.538 
0.730 26.993 25.550 24.570 24.125 23.919 23.718 24.560 23.896 23.642 23.479 23.485 23.513 23.611 23.553 
0.773 27.444 25.734 24.871 24.269 23.996 23.749 24.781 23.984 23.820 23.652 23.420 23.492 23.492 23.591 
0.819 27.515 26.033 25.125 24.400 24.088 23.964 24.992 24.134 23.927 23.685 23.480 23.543 23.572 23.659 
0.868 27.811 26.261 25.315 24.581 24.219 24.023 25.183 24.249 24.035 23.844 23.450 23.537 23.675 23.718 
0.919 28.336 26.490 25.476 24.750 24.483 24.242 25.367 24.445 24.185 23.844 23.586 23.533 23.636 23.781 
0.974 28.350 26.741 25.674 24.808 24.435 24.240 25.545 24.443 24.178 23.924 23.580 23.668 23.674 23.840 
1.032 29.412 26.898 25.774 25.035 24.613 24.366 25.640 24.623 24.401 23.933 23.651 23.690 23.692 23.908 
1.093 29.688 27.455 25.902 25.197 24.798 24.548 25.828 24.824 24.506 24.076 23.770 23.833 23.739 24.026 
1.158 30.148 27.775 26.190 25.342 24.853 24.699 26.072 24.919 24.632 24.096 23.817 23.930 23.898 24.090 
1.226 30.059 27.846 26.387 25.514 24.957 24.756 26.268 24.995 24.725 24.284 23.855 23.961 23.922 24.166 
1.299 30.712 28.054 26.354 25.612 25.164 24.856 26.301 25.152 24.851 24.321 23.934 24.027 24.036 24.244 
1.376 31.474 28.572 26.750 25.789 25.211 25.038 26.652 25.250 24.903 24.310 23.980 24.167 24.124 24.310 
1.458 32.068 28.880 26.882 26.071 25.417 25.187 26.828 25.471 25.059 24.461 24.073 24.169 24.108 24.391 
1.544 32.565 29.192 27.108 26.156 25.467 25.275 27.015 25.516 25.129 24.485 24.126 24.251 24.136 24.453 
1.636 31.919 29.385 27.335 26.272 25.627 25.372 27.171 25.667 25.155 24.530 24.179 24.274 24.184 24.497 
1.733 32.921 29.936 27.631 26.524 25.759 25.540 27.461 25.829 25.349 24.665 24.271 24.347 24.272 24.609 
