# t[days] lsstu lsstg lsstr lssti lsstz lssty f062 f087 f106 f129 f158 f184 f213 f146 
0.103 25.405 24.946 23.656 27.294 30.419 28.101 24.240 29.906 28.048 30.381 29.726 34.046 40.039 29.076 
0.109 22.143 23.194 23.143 24.938 22.474 24.171 23.227 22.934 25.406 22.735 28.247 29.748 29.052 23.871 
0.116 21.162 22.256 22.245 22.510 23.963 25.604 22.252 24.509 24.769 27.261 26.272 28.043 36.708 25.731 
0.122 21.599 21.693 21.863 24.303 22.920 25.588 22.018 23.623 26.426 25.123 27.823 29.669 33.029 26.031 
0.130 20.900 21.545 23.026 22.210 24.369 22.493 22.533 22.682 22.050 23.573 26.024 30.171 31.120 23.243 
0.137 20.847 20.903 22.065 21.659 23.169 24.906 21.669 22.351 24.475 25.194 23.119 22.624 26.242 23.807 
0.145 20.464 21.428 21.455 21.562 22.556 22.611 21.643 22.032 22.828 26.079 25.973 22.320 28.726 23.207 
0.154 20.554 21.001 21.425 21.944 22.429 22.376 21.340 22.366 22.376 24.377 25.005 24.212 24.659 23.316 
0.163 20.426 21.006 22.074 21.701 22.286 23.984 21.571 22.672 23.036 22.387 24.885 25.953 26.549 23.122 
0.173 20.427 20.728 21.297 22.236 22.038 21.801 21.346 21.995 21.644 23.176 22.864 23.949 24.054 22.436 
0.183 20.490 20.992 21.276 21.576 22.217 22.212 21.405 21.903 22.946 24.034 24.259 25.735 24.398 23.756 
0.194 20.629 20.904 21.681 22.264 23.035 22.240 21.578 22.802 22.309 23.855 22.567 22.307 23.248 22.656 
0.206 20.555 21.141 21.846 22.414 21.434 21.497 21.799 21.508 22.125 22.731 22.909 24.194 25.390 22.633 
0.218 20.506 20.961 22.054 21.254 22.264 21.889 21.522 21.874 22.094 22.842 23.260 23.482 26.248 22.741 
0.231 20.707 21.103 21.495 22.117 21.688 22.855 21.588 21.937 23.016 23.243 23.698 22.995 24.051 23.202 
0.244 20.730 21.277 21.749 22.383 22.713 22.263 21.698 22.526 22.450 22.850 23.779 23.704 23.967 22.994 
0.259 20.846 21.187 21.772 21.614 22.863 22.378 21.627 22.382 22.271 23.017 23.511 23.151 25.190 22.875 
0.274 20.907 21.258 21.867 22.158 22.439 22.897 21.832 22.523 23.149 23.125 23.343 23.453 24.108 23.310 
0.290 21.078 21.433 21.802 22.121 22.663 22.658 21.816 22.479 22.909 22.983 23.586 24.175 23.443 23.147 
0.308 21.075 21.460 22.194 22.261 22.297 22.323 21.996 22.336 22.528 22.840 23.349 23.208 23.078 22.934 
0.326 20.948 21.358 21.656 22.068 22.414 22.943 21.676 22.528 22.847 22.954 23.540 24.166 24.326 23.190 
0.345 21.036 21.516 21.690 22.142 21.980 22.534 21.785 22.140 22.547 22.736 23.635 24.402 24.069 23.029 
0.366 21.039 21.468 21.930 22.154 22.387 22.530 21.858 22.454 22.477 22.824 23.002 23.808 24.162 22.893 
0.387 21.171 21.565 21.788 21.936 21.859 22.382 21.815 21.955 22.389 22.439 23.232 23.989 24.679 22.812 
0.410 21.226 21.467 21.972 22.033 22.281 21.971 21.874 22.088 22.205 22.862 22.880 23.244 23.899 22.643 
0.435 21.284 21.487 21.785 21.874 22.054 22.369 21.721 22.109 22.308 22.664 23.255 23.707 23.916 22.785 
0.461 21.367 21.465 21.913 21.888 22.229 22.129 21.797 22.115 22.162 22.424 22.503 22.752 23.523 22.498 
0.488 21.379 21.607 21.695 22.003 22.243 22.080 21.764 22.131 22.236 22.237 22.680 23.116 22.983 22.443 
0.517 21.470 21.523 21.505 21.678 21.781 21.982 21.537 21.837 22.011 22.099 22.509 22.827 23.440 22.241 
0.547 21.591 21.535 21.608 21.715 21.756 21.856 21.642 21.742 21.989 22.280 22.546 23.083 23.017 22.354 
0.580 21.717 21.578 21.464 21.567 21.659 21.781 21.519 21.614 21.743 21.929 22.244 22.821 22.764 22.074 
0.614 21.927 21.655 21.597 21.553 21.605 21.712 21.570 21.608 21.739 21.816 21.951 22.304 22.681 21.921 
0.651 22.164 21.717 21.525 21.553 21.747 21.686 21.533 21.721 21.647 21.764 22.085 22.418 22.589 21.906 
0.689 22.546 21.888 21.583 21.538 21.606 21.693 21.582 21.603 21.728 21.790 22.106 22.421 22.515 21.929 
0.730 22.850 22.051 21.749 21.559 21.534 21.583 21.720 21.536 21.573 21.762 22.019 22.197 22.596 21.843 
0.773 23.298 22.306 21.846 21.723 21.616 21.654 21.867 21.625 21.657 21.650 21.770 22.218 22.418 21.789 
0.819 23.538 22.494 21.955 21.768 21.690 21.812 21.967 21.714 21.815 21.755 21.875 22.286 22.511 21.884 
0.868 23.950 22.802 22.166 21.830 21.815 21.745 22.149 21.773 21.823 21.836 21.913 22.134 22.417 21.899 
0.919 24.359 23.044 22.437 22.048 21.939 21.825 22.387 21.917 21.914 21.894 21.945 22.283 22.335 21.973 
0.974 24.805 23.378 22.639 22.231 22.095 21.903 22.604 22.031 21.994 21.881 21.940 22.184 22.397 21.988 
1.032 25.002 23.581 22.906 22.410 22.204 22.113 22.837 22.197 22.187 21.995 21.905 22.226 22.380 22.066 
1.093 25.431 23.927 23.068 22.582 22.385 22.265 23.029 22.379 22.320 22.168 22.040 22.268 22.492 22.192 
1.158 25.824 24.266 23.343 22.758 22.579 22.504 23.293 22.564 22.595 22.327 22.118 22.228 22.478 22.313 
1.226 26.188 24.569 23.609 23.036 22.763 22.601 23.533 22.771 22.673 22.490 22.189 22.351 22.536 22.420 
1.299 26.622 24.810 23.886 23.157 22.888 22.664 23.742 22.861 22.786 22.555 22.256 22.377 22.420 22.494 
1.376 27.288 25.222 24.036 23.302 23.004 22.876 23.955 23.012 22.958 22.610 22.344 22.376 22.562 22.558 
1.458 27.361 25.345 24.284 23.510 23.135 23.032 24.159 23.154 23.047 22.709 22.445 22.606 22.663 22.693 
1.544 27.959 25.659 24.454 23.777 23.356 23.215 24.398 23.391 23.163 22.731 22.465 22.557 22.702 22.723 
1.636 28.348 25.991 24.598 23.892 23.454 23.289 24.550 23.475 23.269 22.803 22.516 22.534 22.740 22.773 
1.733 28.712 26.305 24.991 24.069 23.689 23.461 24.844 23.675 23.378 22.900 22.557 22.725 22.789 22.878 
1.836 29.169 26.665 25.134 24.372 23.842 23.709 25.029 23.901 23.574 23.005 22.673 22.832 22.820 22.997 
1.944 29.131 27.088 25.465 24.537 24.089 23.932 25.330 24.119 23.803 23.128 22.783 22.869 22.922 23.105 
2.060 30.132 27.327 25.620 24.844 24.223 24.081 25.566 24.294 23.956 23.223 22.891 22.987 22.897 23.226 
2.182 29.442 27.630 25.972 25.123 24.469 24.191 25.890 24.507 24.034 23.302 22.922 23.047 23.065 23.283 
2.311 31.266 28.174 26.296 25.383 24.672 24.412 26.226 24.710 24.156 23.387 23.016 23.183 23.125 23.389 
2.448 32.174 28.660 26.607 25.566 24.884 24.583 26.483 24.913 24.278 23.475 23.096 23.254 23.210 23.474 
2.594 32.305 28.853 26.869 25.908 25.108 24.824 26.766 25.181 24.473 23.594 23.147 23.284 23.247 23.548 
2.747 32.925 29.447 27.325 26.036 25.286 24.965 27.086 25.328 24.522 23.629 23.194 23.272 23.304 23.580 
2.910 33.116 30.175 27.765 26.390 25.693 25.163 27.480 25.651 24.681 23.785 23.257 23.327 23.295 23.680 
3.083 37.079 30.250 28.226 26.781 25.908 25.362 27.955 25.900 24.848 23.894 23.297 23.298 23.350 23.721 
3.266 37.056 30.442 28.361 26.954 26.133 25.540 28.049 26.127 24.926 23.938 23.345 23.375 23.351 23.789 
3.459 37.362 31.169 29.094 27.213 26.325 25.779 28.598 26.323 25.087 24.024 23.366 23.314 23.356 23.805 
3.665 39.355 31.626 28.941 27.300 26.443 25.799 28.598 26.394 25.127 24.053 23.301 23.272 23.296 23.784 
3.882 41.468 31.691 29.255 27.414 26.540 25.996 28.712 26.559 25.212 24.078 23.337 23.211 23.273 23.785 
4.112 42.098 31.877 29.675 27.656 26.796 26.060 29.203 26.721 25.239 24.084 23.288 23.178 23.267 23.764 
4.356 51.813 32.082 29.580 27.785 26.905 26.090 29.154 26.809 25.268 24.115 23.280 23.118 23.220 23.741 
4.614 40.637 33.082 29.871 27.960 27.053 26.189 29.403 26.971 25.303 24.106 23.287 23.088 23.188 23.736 
4.888 34.893 32.451 30.239 27.986 27.093 26.368 29.481 27.047 25.377 24.112 23.276 23.076 23.197 23.732 
5.178 41.238 32.617 30.299 28.175 27.260 26.370 29.574 27.169 25.430 24.156 23.262 23.057 23.189 23.732 
5.485 52.193 34.014 30.953 28.311 27.398 26.571 29.992 27.307 25.483 24.172 23.305 23.094 23.235 23.767 
5.810 46.628 33.622 31.011 28.452 27.555 26.542 30.168 27.387 25.593 24.253 23.328 23.102 23.256 23.800 
6.155 63.759 34.328 31.178 28.850 27.896 26.941 30.673 27.811 25.786 24.341 23.394 23.159 23.312 23.874 
6.520 80.674 35.649 31.926 28.974 28.149 27.077 30.827 27.992 25.917 24.494 23.498 23.197 23.385 23.955 
