# t[days] lsstu lsstg lsstr lssti lsstz lssty f062 f087 f106 f129 f158 f184 f213 f146 
0.103 24.157 24.485 25.476 26.772 25.190 25.174 25.417 25.325 26.244 25.832 27.549 27.206 27.277 26.380 
0.109 21.538 21.609 22.816 22.304 21.915 23.136 22.196 22.222 23.339 25.054 24.136 21.478 29.106 22.756 
0.116 21.561 21.499 22.290 21.817 23.208 22.859 22.185 22.289 22.490 22.814 24.697 26.880 28.896 23.436 
0.122 21.292 21.519 21.386 21.483 21.297 24.304 21.364 21.762 22.580 22.559 24.346 25.118 28.494 23.256 
0.130 21.481 21.757 21.714 21.634 22.416 24.142 21.599 22.606 22.995 23.208 24.373 25.444 28.920 23.570 
0.137 21.506 21.405 22.153 22.410 22.545 21.150 22.017 22.008 21.945 22.789 24.188 25.389 25.244 22.752 
0.145 21.876 21.635 21.974 21.913 21.864 23.352 21.936 22.088 22.746 22.642 23.456 23.938 22.746 23.032 
0.154 21.698 21.745 22.131 21.732 21.789 21.938 21.913 21.949 22.234 22.394 23.170 24.492 25.633 22.692 
0.163 21.452 21.788 21.925 22.225 21.753 22.363 21.910 21.978 22.874 22.263 22.860 23.656 23.904 22.752 
0.173 21.907 21.752 21.908 22.275 22.500 22.787 21.962 22.429 23.103 22.157 22.887 23.887 25.007 22.826 
0.183 21.754 21.860 22.029 22.102 21.860 21.924 22.077 21.872 22.653 22.827 22.219 23.572 23.410 22.621 
0.194 21.703 22.077 21.918 22.184 21.987 22.380 22.064 22.032 22.393 22.705 22.920 21.761 23.999 22.338 
0.206 22.001 21.975 21.845 22.213 21.680 22.833 21.962 21.972 22.872 22.557 23.075 24.577 23.722 22.943 
0.218 21.826 22.180 22.526 22.697 22.261 22.691 22.522 22.427 22.493 22.682 22.442 22.600 23.610 22.619 
0.231 21.956 22.013 22.168 22.156 22.580 23.072 22.110 22.618 22.936 23.104 23.075 24.397 23.546 23.189 
0.244 22.081 22.330 22.303 22.263 23.260 22.908 22.329 22.774 23.060 22.372 23.130 23.046 23.979 22.763 
0.259 22.069 22.312 22.290 22.840 22.626 22.837 22.410 22.728 22.832 22.958 22.291 22.512 24.231 22.736 
0.274 21.997 22.397 22.553 22.463 22.985 22.770 22.590 22.640 23.028 23.290 23.278 23.529 23.150 23.201 
0.290 22.202 22.433 22.550 22.591 22.536 22.769 22.546 22.695 23.039 23.052 23.145 22.698 22.480 22.993 
0.308 22.264 22.655 22.683 22.797 22.728 22.881 22.751 22.724 23.181 23.360 23.502 23.098 22.996 23.271 
0.326 22.464 22.526 22.512 22.603 22.572 22.500 22.494 22.686 22.583 23.317 23.437 23.309 23.059 23.065 
0.345 22.471 22.643 22.697 22.765 22.742 22.836 22.651 22.824 22.960 23.136 23.620 23.121 23.469 23.167 
0.366 22.507 22.430 22.599 22.755 22.635 22.620 22.604 22.683 22.843 23.316 23.573 23.716 23.444 23.242 
0.387 22.684 22.684 22.760 22.720 23.055 22.426 22.717 22.784 22.291 22.884 23.238 23.789 23.694 22.896 
0.410 22.623 22.771 22.950 22.824 22.745 22.881 22.866 22.850 22.709 22.949 23.478 23.425 22.849 23.064 
0.435 22.731 22.677 22.726 22.695 22.876 22.801 22.733 22.749 22.799 23.025 23.247 23.529 23.528 23.098 
0.461 22.896 22.761 22.667 22.466 22.814 22.772 22.606 22.698 23.024 22.987 23.225 23.135 23.490 23.064 
0.488 23.007 22.963 22.712 22.784 22.937 22.574 22.782 22.777 22.890 23.051 23.337 23.262 23.216 23.084 
0.517 23.070 22.945 22.812 22.705 22.857 23.005 22.774 22.900 23.032 23.073 23.325 23.083 23.239 23.112 
0.547 23.100 23.002 22.941 22.860 22.871 22.922 22.907 22.883 22.997 22.998 23.120 23.281 23.521 23.086 
0.580 23.118 22.938 22.963 22.789 22.956 22.893 22.917 22.888 22.941 22.991 23.124 23.563 23.670 23.116 
0.614 23.299 23.116 22.921 22.800 22.990 22.809 22.914 22.911 22.883 23.010 23.215 23.038 23.275 23.025 
0.651 23.317 23.117 22.874 22.837 22.909 22.974 22.889 22.957 23.063 23.078 23.315 23.218 23.341 23.161 
0.689 23.461 23.057 22.879 22.866 22.952 22.911 22.888 22.906 22.986 22.962 23.168 23.183 23.285 23.071 
0.730 23.481 23.119 22.939 22.721 22.867 22.639 22.896 22.742 22.781 22.868 23.171 23.233 23.331 22.967 
0.773 23.658 23.140 22.964 22.839 22.859 22.887 22.939 22.873 22.897 22.992 23.044 23.018 23.303 22.982 
0.819 23.768 23.250 22.937 22.810 22.882 22.866 22.963 22.841 22.918 23.028 23.051 23.110 23.364 23.012 
0.868 24.020 23.338 22.973 22.820 22.929 22.880 22.964 22.925 22.949 22.939 23.032 23.116 23.235 23.006 
0.919 24.143 23.459 23.083 22.875 22.858 22.928 23.093 22.851 22.932 22.838 22.996 23.087 23.375 22.957 
0.974 24.357 23.561 23.086 22.907 22.876 22.783 23.118 22.810 22.856 22.909 23.063 23.122 23.267 22.976 
1.032 24.577 23.626 23.228 23.027 22.909 22.763 23.242 22.884 22.801 22.946 23.020 23.098 23.310 22.959 
1.093 24.665 23.741 23.270 23.007 22.890 22.815 23.290 22.867 22.872 22.840 22.974 23.093 23.297 22.922 
1.158 24.936 23.855 23.362 23.032 22.963 22.844 23.355 22.927 22.886 22.827 22.934 22.975 23.229 22.905 
