# t[days] lsstu lsstg lsstr lssti lsstz lssty f062 f087 f106 f129 f158 f184 f213 f146 
0.103 25.992 25.893 26.870 28.153 28.304 26.896 26.794 27.941 27.586 29.158 28.711 29.572 35.388 28.375 
0.109 22.655 23.089 23.037 24.988 26.836 24.653 23.238 25.297 25.361 24.251 26.419 31.308 28.213 25.201 
0.116 22.347 22.731 23.745 24.416 24.097 26.346 23.500 24.638 25.381 26.798 26.688 28.669 26.471 26.244 
0.122 22.424 22.301 22.621 22.751 23.174 25.612 22.569 23.532 23.530 23.349 24.245 25.705 25.653 23.816 
0.130 21.972 22.595 22.916 23.665 23.143 22.378 23.065 22.836 22.748 23.861 24.150 24.120 33.792 23.575 
0.137 21.860 22.177 22.386 23.259 23.359 22.280 22.532 22.778 22.998 23.674 25.652 24.881 22.987 23.722 
0.145 21.811 22.148 21.994 22.841 23.406 23.180 22.182 23.068 23.580 24.228 24.145 24.271 26.597 23.947 
0.154 22.067 22.238 22.318 23.130 24.337 24.337 22.413 24.115 23.389 23.757 23.615 24.696 26.192 23.737 
0.163 21.968 22.099 22.543 22.450 23.109 23.424 22.344 23.128 23.078 23.653 23.728 22.989 25.207 23.386 
0.173 22.209 22.382 22.803 22.953 23.353 22.881 22.771 23.166 23.425 24.167 25.382 26.017 24.538 24.194 
0.183 22.161 22.306 22.399 22.470 23.355 23.862 22.365 23.289 23.245 23.914 23.876 24.276 25.289 23.841 
0.194 22.215 22.416 22.623 22.701 23.217 23.678 22.563 23.266 23.831 23.579 24.606 24.288 23.470 24.045 
0.206 22.266 22.308 22.643 22.980 23.451 23.577 22.690 23.294 23.010 23.222 23.740 23.457 25.480 23.313 
0.218 22.148 22.481 22.760 22.970 23.676 23.394 22.772 23.372 23.428 23.537 23.932 24.304 24.484 23.774 
0.231 22.445 22.553 22.955 23.146 23.385 23.667 22.880 23.488 23.456 23.930 24.269 24.783 25.469 23.981 
0.244 22.390 22.698 22.864 23.386 23.044 23.413 22.938 23.325 23.500 23.952 24.239 24.239 24.719 23.955 
0.259 22.529 22.844 22.978 23.192 23.584 23.479 23.002 23.473 23.399 23.658 24.198 24.089 24.681 23.741 
0.274 22.605 22.740 22.944 23.132 22.760 23.367 23.000 22.962 23.328 23.415 23.820 24.542 24.551 23.605 
0.290 22.575 22.851 23.183 23.200 23.248 23.165 23.160 23.241 23.312 23.336 23.635 24.403 24.593 23.519 
0.308 22.620 22.890 22.844 23.036 22.906 23.227 22.898 23.022 23.299 23.313 23.732 23.831 23.964 23.510 
0.326 22.659 22.818 22.894 22.833 22.960 23.232 22.868 23.017 23.260 23.350 23.560 24.098 23.720 23.526 
0.345 22.850 22.866 22.666 22.925 22.937 23.170 22.797 22.968 23.135 23.072 23.295 23.735 24.022 23.259 
0.366 22.996 22.922 22.667 23.028 22.737 23.099 22.808 22.883 22.995 23.180 23.456 23.837 24.218 23.289 
0.387 23.120 22.928 22.768 22.914 22.824 22.799 22.849 22.803 22.844 23.129 23.362 23.595 23.908 23.165 
0.410 23.367 23.166 22.837 22.855 22.805 22.993 22.909 22.866 22.966 22.989 23.348 23.348 23.383 23.125 
0.435 23.539 23.281 22.927 22.820 22.898 22.865 22.949 22.859 22.886 23.013 23.227 23.215 23.377 23.055 
0.461 23.814 23.391 23.149 23.000 22.961 22.791 23.141 22.928 22.916 22.991 23.006 23.126 23.222 23.024 
0.488 23.949 23.619 23.212 22.997 23.081 22.937 23.190 23.063 22.969 23.130 23.181 23.205 23.199 23.123 
0.517 24.126 23.769 23.304 23.190 23.161 23.023 23.335 23.129 23.107 23.246 23.234 23.137 23.395 23.169 
0.547 24.488 23.890 23.477 23.304 23.268 23.209 23.483 23.248 23.233 23.170 23.218 23.249 23.504 23.218 
0.580 24.711 24.154 23.599 23.388 23.353 23.217 23.629 23.308 23.227 23.197 23.244 23.058 23.293 23.186 
0.614 24.994 24.144 23.690 23.438 23.381 23.249 23.673 23.372 23.387 23.322 23.274 23.297 23.377 23.310 
0.651 25.089 24.315 23.822 23.636 23.471 23.576 23.839 23.532 23.524 23.476 23.495 23.508 23.579 23.495 
0.689 25.594 24.505 24.005 23.724 23.563 23.460 23.971 23.560 23.483 23.373 23.391 23.420 23.561 23.432 
0.730 25.938 24.817 24.156 23.794 23.664 23.547 24.137 23.641 23.578 23.548 23.500 23.360 23.404 23.500 
0.773 26.101 24.963 24.267 23.923 23.684 23.711 24.237 23.748 23.698 23.511 23.315 23.367 23.547 23.487 
0.819 26.210 25.081 24.400 24.009 23.867 23.663 24.380 23.831 23.738 23.542 23.376 23.484 23.617 23.529 
0.868 26.473 25.211 24.434 24.048 23.959 23.787 24.412 23.926 23.796 23.613 23.520 23.577 23.652 23.621 
0.919 26.773 25.300 24.621 24.083 23.909 23.777 24.545 23.895 23.793 23.644 23.485 23.415 23.602 23.592 
0.974 26.964 25.439 24.579 24.213 23.949 23.907 24.578 23.986 23.906 23.672 23.555 23.599 23.600 23.691 
1.032 27.499 25.570 24.723 24.332 24.110 24.001 24.720 24.109 24.004 23.713 23.610 23.634 23.535 23.752 
1.093 27.916 25.804 24.784 24.380 24.129 24.008 24.787 24.142 24.022 23.716 23.642 23.706 23.727 23.778 
1.158 28.029 25.939 24.945 24.414 24.115 24.060 24.910 24.132 24.108 23.771 23.623 23.709 23.744 23.799 
1.226 28.773 26.178 25.036 24.481 24.232 24.160 24.981 24.268 24.192 23.845 23.744 23.823 23.846 23.899 
1.299 29.135 26.338 25.129 24.495 24.228 24.072 25.055 24.230 24.173 23.814 23.717 23.811 23.801 23.877 
1.376 29.573 26.582 25.319 24.633 24.314 24.209 25.241 24.350 24.235 23.867 23.737 23.858 24.007 23.922 
1.458 30.261 26.834 25.415 24.644 24.287 24.134 25.314 24.302 24.225 23.920 23.808 23.899 23.957 23.960 
1.544 30.809 27.124 25.561 24.743 24.280 24.156 25.448 24.338 24.185 23.933 23.849 23.946 23.928 23.971 
1.636 31.062 27.380 25.589 24.750 24.340 24.184 25.519 24.351 24.249 23.968 23.857 23.994 24.002 24.009 
1.733 31.404 27.669 25.880 24.886 24.423 24.316 25.741 24.477 24.294 24.003 23.914 24.018 24.060 24.052 
1.836 31.972 27.903 26.018 24.963 24.446 24.280 25.861 24.488 24.333 24.093 23.899 24.038 24.094 24.087 
1.944 32.404 28.280 26.198 25.085 24.494 24.340 26.006 24.563 24.329 24.112 23.923 24.016 24.085 24.091 
2.060 33.688 28.586 26.412 25.170 24.548 24.340 26.172 24.602 24.347 24.143 23.942 24.054 24.064 24.117 
2.182 34.298 28.945 26.694 25.358 24.680 24.403 26.401 24.736 24.417 24.203 23.982 24.072 24.137 24.161 
2.311 34.188 29.041 26.937 25.525 24.744 24.487 26.594 24.822 24.477 24.258 23.982 24.078 24.116 24.193 
2.448 36.112 29.585 27.234 25.667 24.928 24.558 26.822 24.960 24.528 24.295 24.020 24.065 24.123 24.223 
2.594 35.062 29.812 27.499 25.792 24.947 24.635 26.977 25.022 24.569 24.345 24.003 24.008 24.083 24.224 
2.747 35.681 30.154 27.803 25.972 25.142 24.721 27.198 25.168 24.627 24.428 24.059 24.057 24.126 24.288 
2.910 40.541 30.561 28.161 26.186 25.301 24.865 27.489 25.328 24.728 24.483 24.069 24.069 24.111 24.329 
3.083 41.536 30.681 28.424 26.443 25.535 25.041 27.742 25.552 24.855 24.538 24.104 24.065 24.110 24.378 
3.266 38.760 31.102 28.814 26.765 25.855 25.232 28.165 25.818 25.020 24.660 24.150 24.062 24.155 24.449 
3.459 42.255 31.698 29.294 27.058 26.132 25.437 28.503 26.068 25.170 24.736 24.244 24.103 24.177 24.536 
3.665 46.472 32.161 29.670 27.319 26.355 25.638 28.872 26.283 25.297 24.873 24.296 24.101 24.194 24.600 
3.882 45.431 32.594 30.105 27.657 26.603 25.862 29.355 26.515 25.490 24.997 24.390 24.125 24.224 24.691 
4.112 nan 33.517 30.647 28.086 26.940 26.144 29.880 26.840 25.694 25.150 24.490 24.195 24.274 24.803 
4.356 55.266 34.441 31.427 28.501 27.368 26.537 30.537 27.246 25.952 25.337 24.587 24.247 24.317 24.917 
4.614 50.966 35.252 32.104 28.972 27.786 26.869 31.183 27.635 26.167 25.482 24.673 24.294 24.378 25.013 
4.888 57.438 36.722 32.951 29.630 28.354 27.380 32.156 28.187 26.518 25.681 24.770 24.347 24.431 25.131 
5.178 61.651 37.938 33.473 30.197 28.979 27.852 32.664 28.748 26.806 25.876 24.898 24.419 24.526 25.257 
5.485 66.573 38.370 34.233 30.556 29.491 28.303 33.249 29.244 27.124 26.057 25.057 24.567 24.654 25.420 
5.810 65.585 38.102 34.135 31.291 30.204 28.851 33.817 29.924 27.506 26.291 25.207 24.702 24.794 25.589 
6.155 67.510 39.542 35.327 31.958 30.871 29.416 34.676 30.563 27.890 26.579 25.418 24.856 24.952 25.792 
6.520 71.357 41.064 35.762 32.160 31.337 29.953 34.821 31.035 28.192 26.820 25.611 25.027 25.125 25.985 
6.906 nan 40.907 35.988 32.971 31.944 30.482 35.490 31.553 28.684 27.149 25.864 25.218 25.308 26.221 
7.316 nan 43.793 38.104 33.646 32.692 30.936 37.050 32.093 29.032 27.371 26.096 25.448 25.525 26.453 
7.750 nan 42.900 36.715 34.031 33.102 31.165 36.477 32.356 29.366 27.580 26.305 25.666 25.723 26.667 
8.210 90.937 44.633 37.426 34.291 33.302 31.208 36.862 32.320 29.570 27.805 26.554 25.960 25.974 26.935 
8.696 98.289 41.796 38.069 34.950 33.078 31.278 37.242 32.376 29.899 27.906 26.738 26.224 26.176 27.148 
