# t[days] lsstu lsstg lsstr lssti lsstz lssty f062 f087 f106 f129 f158 f184 f213 f146 
0.103 25.496 25.932 28.016 27.213 29.116 27.823 26.953 28.533 27.906 28.401 27.860 28.345 34.613 28.312 
0.109 22.295 22.756 23.906 23.489 26.909 25.291 23.556 24.374 23.485 24.854 29.992 28.374 27.624 24.712 
0.116 22.054 22.337 23.185 23.927 25.596 22.071 23.006 24.000 22.761 24.739 26.481 28.235 26.259 23.943 
0.122 21.768 22.399 23.095 22.695 23.859 25.216 22.990 23.417 24.301 24.273 24.693 26.280 25.977 24.856 
0.130 21.693 21.995 22.071 22.947 22.832 21.632 22.213 22.322 22.444 24.303 23.651 24.371 26.966 23.275 
0.137 21.845 21.956 22.788 23.213 24.616 24.455 22.625 24.046 23.932 23.440 23.787 24.064 23.998 23.913 
0.145 21.926 21.844 22.324 23.179 23.734 23.373 22.398 23.550 23.719 24.052 24.154 26.858 23.398 24.054 
0.154 21.821 21.694 22.322 22.548 22.781 22.417 22.131 22.924 22.704 23.536 23.553 24.460 26.681 23.361 
0.163 21.565 21.950 22.080 22.544 23.113 22.979 22.137 22.865 22.869 23.522 23.680 24.229 23.638 23.532 
0.173 21.784 22.041 22.298 22.377 22.920 23.408 22.204 23.153 23.343 23.179 25.708 23.886 23.921 23.628 
0.183 21.962 22.199 22.352 22.526 23.012 22.635 22.327 22.734 23.041 23.419 23.156 23.836 22.883 23.320 
0.194 21.893 22.083 22.658 22.584 23.148 23.964 22.432 23.221 23.547 23.179 23.397 23.994 24.902 23.467 
0.206 21.866 22.090 22.352 22.944 22.988 22.855 22.367 22.914 23.170 23.512 23.862 24.424 23.893 23.610 
0.218 22.134 22.132 22.313 22.713 22.774 23.488 22.342 22.868 23.509 23.213 24.203 24.628 23.531 23.681 
0.231 22.156 22.241 22.573 23.040 22.912 22.922 22.585 22.972 23.028 23.336 24.109 24.619 24.268 23.513 
0.244 22.314 22.418 22.696 22.598 22.658 22.851 22.583 22.668 22.914 23.068 23.972 23.857 23.724 23.276 
0.259 22.333 22.675 22.647 22.771 22.759 23.640 22.639 23.007 23.443 23.159 23.402 24.490 24.586 23.447 
0.274 22.414 22.554 22.725 22.605 22.731 23.172 22.654 22.751 23.233 23.421 23.498 23.520 24.825 23.415 
0.290 22.619 22.539 22.517 22.828 22.765 22.984 22.566 22.821 22.937 23.277 23.453 24.392 23.650 23.330 
0.308 22.732 22.626 22.531 22.603 22.796 23.011 22.510 22.832 23.106 22.842 23.087 23.709 24.268 23.129 
0.326 22.763 22.644 22.672 22.637 22.647 22.463 22.657 22.557 22.742 22.842 23.191 23.601 23.514 23.007 
0.345 22.983 22.626 22.660 22.562 22.663 22.745 22.590 22.702 22.754 22.933 22.980 23.495 23.445 22.992 
0.366 23.112 22.793 22.599 22.662 22.663 22.628 22.666 22.594 22.600 22.721 23.079 23.600 24.343 22.895 
0.387 23.510 22.909 22.528 22.692 22.497 22.624 22.617 22.535 22.724 22.729 23.043 23.268 23.682 22.891 
0.410 23.787 23.168 22.714 22.577 22.429 22.465 22.717 22.512 22.585 22.693 22.902 22.775 23.281 22.713 
0.435 24.026 23.207 22.821 22.546 22.551 22.666 22.793 22.572 22.678 22.674 22.725 22.911 23.291 22.727 
0.461 24.189 23.489 23.053 22.795 22.789 22.776 23.032 22.789 22.791 22.723 22.707 22.985 23.284 22.775 
