# t[days] lsstu lsstg lsstr lssti lsstz lssty f062 f087 f106 f129 f158 f184 f213 f146 
0.103 23.758 23.979 24.815 26.445 24.761 25.958 25.095 25.272 26.714 26.468 26.768 31.625 24.523 26.890 
0.109 20.990 20.677 21.413 23.715 22.632 24.999 21.456 23.283 23.834 22.137 31.197 26.211 26.327 23.235 
0.116 20.134 20.740 21.729 22.429 22.577 22.813 21.458 22.550 23.229 24.792 25.038 24.324 27.326 23.962 
0.122 20.227 20.180 20.433 20.860 22.864 21.489 20.449 21.827 20.920 21.386 22.364 23.627 24.284 21.608 
0.130 19.918 20.582 21.019 21.006 20.242 21.601 21.036 20.650 21.173 22.848 21.990 30.195 29.574 21.867 
0.137 19.914 19.975 20.617 20.913 20.179 21.645 20.432 20.596 21.301 21.801 22.893 21.083 20.920 21.706 
0.145 19.740 19.957 19.986 20.723 21.096 21.439 20.131 21.223 21.722 21.646 22.085 22.731 24.782 22.022 
0.154 20.044 20.105 20.284 21.317 22.346 21.270 20.418 22.011 21.323 22.069 21.452 22.457 21.832 21.607 
0.163 19.609 20.058 20.222 20.618 21.194 20.987 20.255 21.049 20.968 22.153 21.093 21.065 22.079 21.282 
0.173 19.900 20.309 20.638 21.095 20.796 21.826 20.692 21.024 21.918 22.248 23.222 23.663 22.243 22.431 
0.183 20.019 20.070 20.234 20.756 21.491 20.996 20.276 21.439 21.182 21.909 22.349 23.371 22.354 21.728 
0.194 19.965 20.247 20.470 20.873 21.267 22.097 20.469 21.314 21.653 21.794 22.903 21.427 21.854 21.815 
0.206 19.996 20.181 20.719 20.878 21.405 21.088 20.552 21.332 20.636 21.660 21.157 21.544 22.788 21.195 
0.218 20.028 20.366 20.669 20.932 21.387 21.330 20.612 21.340 21.252 21.763 22.126 22.276 22.680 21.696 
0.231 20.325 20.376 20.858 21.048 21.643 21.087 20.790 21.227 21.392 21.764 22.528 22.972 23.794 21.912 
0.244 20.240 20.570 20.768 20.994 21.342 21.243 20.874 21.042 21.395 22.068 22.171 22.578 22.944 21.883 
0.259 20.456 20.663 20.888 21.225 21.225 21.117 20.881 21.296 21.254 21.507 22.145 22.244 22.608 21.662 
0.274 20.468 20.639 20.803 20.645 21.047 20.862 20.790 20.873 21.013 21.215 21.974 22.874 22.386 21.509 
0.290 20.545 20.766 20.955 21.026 20.972 21.161 20.967 21.040 21.114 21.279 21.547 22.345 21.885 21.455 
0.308 20.560 20.684 20.716 20.767 20.936 21.138 20.736 20.904 21.139 21.282 21.649 21.463 21.991 21.345 
0.326 20.370 20.696 20.616 20.733 20.955 21.120 20.662 20.934 21.027 21.287 21.611 21.877 21.770 21.381 
0.345 20.679 20.616 20.561 20.671 20.921 20.867 20.607 20.832 20.889 20.972 21.321 21.727 22.204 21.130 
0.366 20.695 20.687 20.561 20.617 20.828 20.765 20.612 20.727 20.851 21.090 21.274 22.034 22.110 21.174 
0.387 20.747 20.717 20.606 20.644 20.599 20.611 20.630 20.616 20.691 21.037 21.217 21.533 21.717 21.066 
0.410 21.076 20.880 20.630 20.564 20.780 20.810 20.647 20.723 20.753 20.922 21.193 21.117 21.402 20.963 
0.435 21.248 21.003 20.616 20.679 20.649 20.702 20.679 20.686 20.708 20.909 20.971 21.057 21.561 20.897 
0.461 21.466 21.104 20.863 20.776 20.607 20.833 20.878 20.693 20.805 20.843 20.856 20.995 21.300 20.857 
0.488 21.652 21.291 20.844 20.881 20.774 20.702 20.921 20.767 20.818 20.951 21.056 21.059 21.045 20.937 
0.517 21.815 21.398 21.024 20.960 20.858 20.948 21.057 20.904 20.987 21.021 20.984 21.024 21.367 21.004 
0.547 22.088 21.546 21.163 21.134 20.961 21.086 21.196 21.057 21.011 20.959 21.052 21.206 21.481 21.045 
0.580 22.441 21.747 21.294 21.158 21.022 21.029 21.303 21.065 21.095 20.971 20.994 20.908 21.244 20.995 
0.614 22.506 21.781 21.332 21.189 21.129 21.214 21.361 21.124 21.260 21.038 21.079 21.100 21.292 21.118 
0.651 22.692 21.859 21.571 21.338 21.337 21.300 21.544 21.298 21.268 21.269 21.273 21.297 21.547 21.276 
0.689 23.060 22.089 21.664 21.437 21.259 21.402 21.661 21.337 21.324 21.170 21.198 21.262 21.520 21.229 
0.730 23.436 22.369 21.783 21.489 21.352 21.386 21.783 21.389 21.380 21.308 21.232 21.169 21.407 21.287 
0.773 23.689 22.513 21.847 21.607 21.467 21.583 21.886 21.510 21.458 21.216 21.142 21.294 21.427 21.275 
0.819 23.796 22.619 22.011 21.699 21.494 21.608 22.004 21.559 21.523 21.221 21.190 21.330 21.474 21.325 
0.868 23.915 22.719 22.036 21.790 21.613 21.601 22.045 21.640 21.560 21.305 21.341 21.412 21.637 21.405 
0.919 24.164 22.854 22.159 21.765 21.577 21.673 22.129 21.644 21.550 21.366 21.221 21.328 21.579 21.379 
0.974 24.353 22.942 22.177 21.837 21.709 21.753 22.186 21.720 21.636 21.400 21.358 21.396 21.473 21.458 
1.032 24.742 23.047 22.328 21.974 21.819 21.868 22.326 21.844 21.734 21.427 21.445 21.385 21.530 21.500 
1.093 25.101 23.261 22.358 21.991 21.845 21.931 22.375 21.882 21.741 21.439 21.478 21.514 21.609 21.548 
1.158 25.178 23.340 22.505 22.003 21.839 22.068 22.470 21.909 21.829 21.448 21.457 21.520 21.692 21.564 
1.226 25.923 23.534 22.545 22.113 21.979 22.067 22.539 22.002 21.889 21.538 21.593 21.641 21.697 21.669 
1.299 26.128 23.686 22.605 22.114 21.884 22.074 22.587 21.956 21.898 21.515 21.566 21.611 21.726 21.649 
1.376 26.602 23.908 22.779 22.203 22.032 22.096 22.751 22.051 21.936 21.561 21.586 21.731 21.956 21.701 
1.458 27.093 24.134 22.814 22.205 21.949 22.105 22.787 22.006 21.958 21.623 21.645 21.712 21.909 21.737 
1.544 27.387 24.333 22.944 22.243 21.981 22.014 22.906 21.997 21.926 21.626 21.704 21.720 21.821 21.746 
1.636 27.909 24.538 22.995 22.245 22.003 22.133 22.923 22.061 21.959 21.670 21.700 21.828 21.878 21.791 
1.733 28.131 24.864 23.198 22.347 22.157 22.106 23.105 22.136 21.972 21.712 21.764 21.843 21.925 21.831 
1.836 28.475 25.051 23.305 22.415 22.109 22.119 23.200 22.126 22.075 21.766 21.741 21.895 21.923 21.867 
1.944 29.236 25.343 23.430 22.496 22.180 22.100 23.339 22.169 22.029 21.798 21.742 21.837 21.976 21.860 
2.060 30.090 25.670 23.578 22.568 22.182 22.114 23.455 22.193 22.088 21.810 21.773 21.846 21.932 21.882 
2.182 30.405 26.006 23.802 22.744 22.251 22.167 23.676 22.273 22.144 21.866 21.782 21.901 21.988 21.926 
2.311 30.268 26.112 24.005 22.848 22.324 22.249 23.854 22.355 22.205 21.896 21.801 21.878 21.976 21.949 
2.448 31.208 26.594 24.211 23.009 22.433 22.318 24.033 22.468 22.241 21.951 21.813 21.884 21.973 21.978 
2.594 32.085 26.736 24.377 23.090 22.490 22.304 24.184 22.510 22.278 21.962 21.768 21.831 21.954 21.966 
2.747 32.167 27.061 24.600 23.283 22.594 22.384 24.383 22.633 22.347 22.052 21.824 21.897 21.943 22.029 
2.910 31.451 27.345 24.907 23.470 22.728 22.495 24.621 22.772 22.440 22.075 21.834 21.885 21.938 22.055 
3.083 31.958 27.505 25.177 23.708 22.930 22.627 24.882 22.962 22.523 22.126 21.856 21.894 21.951 22.090 
3.266 35.053 27.883 25.613 23.992 23.156 22.821 25.209 23.193 22.672 22.230 21.861 21.923 21.944 22.156 
3.459 34.693 28.268 25.983 24.289 23.363 23.002 25.537 23.417 22.794 22.321 21.944 21.944 21.992 22.228 
3.665 37.183 28.628 26.384 24.528 23.566 23.132 25.812 23.609 22.906 22.438 21.947 21.937 22.013 22.277 
3.882 39.002 29.068 26.896 24.779 23.788 23.356 26.157 23.848 23.053 22.554 22.009 21.956 22.077 22.354 
4.112 38.672 29.799 27.425 25.135 24.089 23.579 26.599 24.132 23.214 22.697 22.078 22.008 22.128 22.448 
4.356 37.107 30.548 28.139 25.549 24.492 23.838 27.027 24.507 23.401 22.855 22.150 22.052 22.153 22.545 
4.614 48.360 31.227 28.819 25.962 24.851 24.106 27.513 24.859 23.552 23.007 22.208 22.112 22.204 22.631 
4.888 44.832 32.309 29.771 26.621 25.352 24.495 28.188 25.360 23.786 23.197 22.276 22.177 22.258 22.733 
5.178 48.146 32.878 30.340 27.227 25.884 24.815 28.748 25.818 23.994 23.374 22.373 22.251 22.376 22.849 
5.485 53.690 33.618 30.943 27.640 26.386 25.127 29.163 26.225 24.224 23.523 22.517 22.380 22.493 23.002 
5.810 48.547 33.500 31.572 28.309 27.015 25.511 29.822 26.726 24.515 23.733 22.658 22.521 22.629 23.164 
6.155 55.735 34.981 32.479 28.956 27.646 25.901 30.543 27.247 24.841 23.979 22.841 22.681 22.779 23.360 
6.520 55.998 35.784 32.619 29.336 28.181 26.236 30.784 27.727 25.143 24.193 23.031 22.845 22.982 23.550 
6.906 59.427 35.204 33.211 30.161 28.632 26.807 31.507 28.329 25.540 24.470 23.250 23.018 23.186 23.773 
7.316 nan 39.169 34.871 30.696 29.120 27.281 32.279 28.868 25.850 24.704 23.481 23.232 23.382 23.998 
7.750 nan 34.995 34.652 30.998 29.389 27.661 32.557 29.199 26.109 24.922 23.689 23.440 23.567 24.209 
8.210 81.993 39.670 34.565 31.207 29.327 27.929 32.779 29.389 26.388 25.131 23.971 23.704 23.786 24.475 
8.696 80.654 37.925 34.928 31.308 29.355 28.326 33.373 29.520 26.582 25.232 24.200 23.939 23.951 24.686 
9.212 nan 37.271 34.092 30.913 29.258 28.233 32.994 29.334 26.739 25.372 24.460 24.193 24.142 24.916 
9.759 95.392 39.819 33.569 30.934 29.212 28.424 33.350 29.271 26.936 25.492 24.684 24.426 24.272 25.127 
10.337 75.269 36.153 33.874 31.029 29.294 28.433 33.843 29.314 26.999 25.560 24.917 24.680 24.375 25.323 
10.950 nan 41.802 36.283 31.239 29.635 28.681 33.901 29.536 27.241 25.705 25.032 24.845 24.512 25.465 
11.600 100.023 41.823 35.432 32.301 29.985 29.020 34.806 30.060 27.467 25.853 25.208 24.994 24.679 25.641 
12.288 99.721 40.963 36.824 32.465 30.283 29.121 34.914 30.264 27.641 25.961 25.326 25.131 24.732 25.762 
