# t[days] lsstu lsstg lsstr lssti lsstz lssty f062 f087 f106 f129 f158 f184 f213 f146 
0.103 23.162 23.324 22.039 27.015 30.442 24.553 22.641 26.420 25.357 29.176 28.183 28.123 31.989 26.504 
0.109 19.929 20.344 22.299 21.566 20.557 22.975 21.743 20.854 24.010 28.701 30.003 29.355 29.394 25.242 
0.116 20.028 20.096 20.085 23.730 23.169 23.641 20.246 23.561 22.533 20.988 24.129 26.630 nan 22.154 
0.122 19.714 20.192 21.667 23.404 21.907 20.826 21.539 22.563 20.935 23.917 23.965 29.448 30.775 22.103 
0.130 19.353 19.893 20.481 20.399 19.908 20.994 20.271 20.411 21.538 22.679 24.004 26.348 26.643 22.605 
0.137 19.110 19.231 20.650 20.509 21.409 22.011 20.117 21.235 21.226 25.045 20.898 21.543 24.159 21.482 
0.145 18.810 19.481 19.801 19.696 20.301 20.525 19.817 20.053 21.099 22.811 20.700 20.583 24.118 21.253 
0.154 18.723 19.360 19.496 19.866 20.913 20.099 19.647 20.177 20.139 20.673 23.210 22.372 24.797 21.219 
0.163 18.804 18.772 19.783 20.148 20.772 19.660 19.442 20.337 20.604 20.754 22.507 23.247 23.867 21.090 
0.173 18.655 19.367 20.166 20.327 19.886 20.796 19.954 20.211 20.418 20.724 22.977 23.687 20.155 21.342 
0.183 18.728 19.207 19.748 20.218 20.006 21.497 19.783 20.171 21.670 21.980 23.599 22.024 21.750 22.023 
0.194 19.034 19.620 20.125 20.139 20.643 19.669 20.215 20.094 20.466 22.266 22.123 21.090 23.420 21.126 
0.206 18.717 19.261 19.892 20.417 19.534 21.678 19.852 20.017 21.836 21.180 20.722 21.430 23.222 21.253 
0.218 18.738 19.305 19.987 20.513 20.240 20.158 19.934 20.186 20.547 21.938 21.886 22.994 21.675 21.341 
0.231 19.050 19.710 19.927 20.264 20.999 21.501 19.947 20.787 21.591 21.527 21.515 21.800 22.091 21.498 
0.244 19.076 19.553 20.115 20.212 20.584 20.011 19.954 20.285 20.542 20.572 21.852 21.772 22.891 20.878 
0.259 19.025 19.274 19.961 20.323 20.858 20.255 19.866 20.518 20.672 21.739 21.826 21.082 23.233 21.160 
0.274 18.984 19.508 20.074 20.186 20.999 20.369 19.956 20.485 20.606 21.132 22.567 22.595 22.472 21.317 
0.290 19.192 19.661 20.098 20.326 20.650 20.693 20.127 20.496 20.754 21.254 22.086 22.202 21.845 21.442 
0.308 19.187 19.626 20.028 20.301 20.968 21.058 20.017 20.731 20.762 21.309 21.741 21.542 22.795 21.273 
0.326 19.346 19.731 20.028 20.402 20.850 20.715 20.020 20.746 20.657 21.367 22.410 22.215 22.958 21.375 
0.345 19.283 19.706 20.079 20.406 20.296 20.574 20.113 20.374 21.172 21.657 22.021 22.515 21.492 21.685 
0.366 19.268 19.771 20.029 20.309 20.364 20.792 20.058 20.439 20.797 20.845 21.626 22.202 22.472 21.142 
0.387 19.396 19.743 19.911 19.984 20.582 20.646 19.902 20.479 20.691 21.330 21.419 21.893 22.200 21.215 
0.410 19.341 19.657 19.878 20.074 20.344 20.303 19.860 20.305 20.592 20.574 21.186 21.992 21.893 20.886 
0.435 19.569 19.726 19.977 20.292 20.449 20.061 19.981 20.320 20.309 21.131 21.327 21.726 22.311 20.927 
0.461 19.535 19.718 19.931 20.113 20.235 20.283 19.940 20.273 20.294 20.520 20.658 21.635 21.587 20.586 
0.488 19.539 19.677 19.821 20.073 20.189 20.206 19.859 20.149 20.357 20.570 20.978 21.261 21.124 20.733 
0.517 19.556 19.782 19.851 19.965 20.162 20.137 19.862 20.134 20.172 20.300 20.874 21.153 21.405 20.511 
0.547 19.636 19.745 19.754 19.734 20.018 20.160 19.750 19.987 20.185 20.469 20.929 21.093 21.471 20.569 
0.580 19.711 19.682 19.615 19.854 19.936 19.972 19.672 19.925 19.948 20.146 20.566 20.963 21.030 20.297 
