# t[days] lsstu lsstg lsstr lssti lsstz lssty f062 f087 f106 f129 f158 f184 f213 f146 
0.103 24.059 24.050 25.508 26.828 24.384 26.652 25.028 25.100 27.322 26.031 30.820 29.652 26.662 26.954 
0.109 20.959 21.190 22.392 22.378 21.996 21.884 22.065 21.965 22.299 23.870 22.769 22.360 26.630 22.852 
0.116 21.325 20.782 21.549 21.486 23.193 21.157 21.448 21.522 21.295 22.962 24.860 21.670 28.172 22.025 
0.122 20.670 20.969 20.640 21.165 21.421 23.036 20.889 21.372 21.665 22.820 23.200 25.087 28.716 22.593 
0.130 20.721 21.171 21.023 21.131 21.427 21.670 21.042 21.324 21.956 22.156 23.868 24.495 27.638 22.689 
0.137 21.253 20.760 21.212 21.303 20.990 22.004 21.085 21.099 22.022 22.501 23.720 24.674 21.797 22.603 
0.145 21.042 20.928 21.468 21.480 21.300 21.129 21.394 21.248 21.222 22.455 23.436 24.857 27.409 22.128 
0.154 21.344 21.326 21.345 21.419 21.660 21.454 21.386 21.469 22.203 22.335 23.247 23.705 24.514 22.562 
0.163 21.293 21.178 21.395 21.863 21.153 21.977 21.448 21.383 22.613 21.641 21.781 23.262 23.211 22.105 
0.173 21.014 21.311 21.431 21.423 21.767 21.540 21.410 21.378 22.044 21.752 22.340 22.829 22.533 22.152 
0.183 21.367 21.217 21.328 21.056 21.921 22.735 21.419 21.359 22.707 21.278 21.787 22.122 22.683 22.007 
0.194 21.260 21.532 21.458 21.578 21.352 21.686 21.632 21.350 22.211 22.294 21.760 21.529 23.474 21.875 
0.206 21.508 21.603 21.987 21.763 21.547 22.439 21.725 21.873 22.220 22.152 22.402 22.438 23.135 22.262 
0.218 21.574 21.449 21.454 21.975 21.453 22.877 21.624 21.729 22.874 21.825 21.880 22.343 22.405 22.157 
0.231 21.771 21.506 21.630 22.175 22.280 22.296 21.662 22.291 22.112 22.586 22.432 23.440 23.454 22.492 
0.244 21.466 21.661 21.941 21.862 22.166 22.123 21.865 21.964 22.438 22.369 22.658 22.450 23.121 22.400 
0.259 21.863 21.872 21.923 22.058 22.103 22.336 21.998 22.118 22.366 21.765 21.797 21.845 22.623 21.926 
0.274 21.566 22.032 21.892 22.241 22.306 22.571 22.088 22.297 22.555 22.460 22.230 22.592 22.982 22.446 
0.290 21.825 22.008 22.132 22.236 22.333 22.770 22.162 22.337 22.882 22.788 22.803 22.539 22.474 22.791 
0.308 21.835 22.082 22.367 22.475 22.568 22.565 22.307 22.624 22.452 22.504 22.681 22.345 21.793 22.529 
0.326 21.972 22.284 22.156 22.106 22.134 22.246 22.255 22.082 22.443 22.834 22.655 22.831 22.627 22.617 
0.345 22.082 21.991 22.202 22.233 22.249 22.350 22.093 22.386 22.445 22.586 23.311 22.683 22.923 22.699 
0.366 22.023 22.126 22.322 22.386 22.225 22.213 22.234 22.279 22.275 22.851 23.075 22.609 22.550 22.610 
0.387 22.120 22.008 21.972 22.287 22.209 22.013 22.039 22.201 21.904 22.320 22.609 22.771 22.954 22.310 
0.410 22.326 22.315 22.522 22.475 22.409 22.001 22.466 22.319 21.949 22.438 22.906 22.643 22.480 22.426 
0.435 22.390 22.254 22.453 22.345 22.311 22.559 22.324 22.390 22.579 22.648 22.954 23.285 23.007 22.818 
0.461 22.505 22.358 22.277 22.381 22.545 22.592 22.319 22.511 22.458 22.503 22.512 22.693 23.110 22.550 
0.488 22.660 22.392 22.375 22.059 22.393 22.138 22.291 22.219 22.446 22.489 22.751 22.554 22.684 22.550 
0.517 22.578 22.514 22.322 22.367 22.540 22.522 22.332 22.526 22.671 22.466 22.708 22.528 22.832 22.602 
0.547 22.695 22.632 22.503 22.457 22.311 22.390 22.506 22.362 22.442 22.439 22.690 22.747 23.065 22.560 
0.580 22.715 22.583 22.445 22.241 22.654 22.396 22.426 22.420 22.522 22.546 22.614 22.923 23.009 22.631 
0.614 22.871 22.535 22.514 22.414 22.493 22.569 22.479 22.512 22.523 22.522 22.618 22.628 22.917 22.569 
0.651 22.996 22.719 22.502 22.363 22.487 22.415 22.489 22.462 22.447 22.447 22.669 22.650 22.651 22.534 
0.689 23.140 22.706 22.473 22.384 22.451 22.553 22.456 22.475 22.590 22.513 22.767 22.618 22.806 22.606 
0.730 23.312 22.673 22.573 22.239 22.484 22.388 22.489 22.372 22.478 22.483 22.713 22.751 22.727 22.587 
0.773 23.294 22.809 22.528 22.392 22.354 22.355 22.546 22.346 22.392 22.373 22.543 22.698 22.946 22.477 
0.819 23.621 22.873 22.595 22.412 22.404 22.434 22.594 22.395 22.433 22.461 22.417 22.554 22.667 22.461 
0.868 23.810 22.969 22.590 22.389 22.467 22.432 22.607 22.418 22.418 22.482 22.523 22.450 22.779 22.471 
0.919 24.145 23.096 22.713 22.490 22.396 22.479 22.697 22.448 22.492 22.400 22.460 22.559 22.750 22.468 
0.974 24.314 23.275 22.767 22.491 22.459 22.396 22.769 22.428 22.426 22.390 22.428 22.542 22.828 22.442 
1.032 24.428 23.325 22.879 22.541 22.525 22.449 22.847 22.477 22.459 22.405 22.517 22.524 22.730 22.478 
1.093 24.928 23.445 22.951 22.656 22.522 22.340 22.952 22.470 22.391 22.361 22.423 22.589 22.741 22.432 
1.158 24.978 23.586 22.970 22.628 22.568 22.467 22.984 22.525 22.484 22.367 22.446 22.521 22.670 22.451 
1.226 25.389 23.730 23.172 22.825 22.702 22.618 23.151 22.697 22.581 22.443 22.568 22.493 22.623 22.521 
1.299 25.593 23.816 23.238 22.779 22.696 22.581 23.164 22.672 22.572 22.431 22.508 22.591 22.576 22.518 
1.376 25.885 24.028 23.282 22.850 22.741 22.486 23.267 22.662 22.483 22.372 22.481 22.492 22.670 22.451 
1.458 26.145 24.047 23.351 22.946 22.815 22.581 23.350 22.746 22.508 22.415 22.479 22.594 22.563 22.493 
1.544 26.363 24.163 23.382 22.975 22.908 22.571 23.397 22.786 22.500 22.382 22.454 22.531 22.607 22.477 
1.636 26.753 24.301 23.404 23.009 22.789 22.614 23.422 22.773 22.529 22.391 22.448 22.484 22.497 22.460 
1.733 27.007 24.488 23.528 23.029 22.929 22.547 23.540 22.803 22.518 22.393 22.418 22.458 22.578 22.449 
1.836 27.719 24.650 23.589 23.168 22.950 22.675 23.631 22.893 22.575 22.430 22.453 22.514 22.552 22.489 
1.944 27.868 24.893 23.698 23.228 22.878 22.678 23.727 22.878 22.627 22.428 22.435 22.472 22.526 22.490 
2.060 28.409 25.082 23.839 23.273 23.035 22.679 23.839 22.974 22.589 22.446 22.439 22.522 22.515 22.499 
2.182 28.580 25.270 23.993 23.359 23.131 22.790 23.977 23.075 22.671 22.451 22.462 22.508 22.491 22.525 
2.311 28.629 25.519 24.153 23.525 23.111 22.723 24.156 23.069 22.672 22.508 22.480 22.544 22.414 22.546 
2.448 29.250 25.758 24.293 23.632 23.237 22.874 24.272 23.221 22.769 22.529 22.426 22.542 22.485 22.572 
2.594 29.852 26.059 24.468 23.734 23.383 22.910 24.439 23.306 22.796 22.547 22.439 22.544 22.419 22.580 
2.747 30.658 26.543 24.746 23.899 23.423 22.954 24.662 23.384 22.846 22.581 22.445 22.602 22.453 22.609 
2.910 30.727 26.880 25.064 24.069 23.582 23.014 24.922 23.512 22.918 22.616 22.440 22.598 22.445 22.630 
3.083 31.858 27.159 25.300 24.264 23.604 23.133 25.111 23.615 22.993 22.660 22.442 22.597 22.469 22.666 
3.266 32.072 27.553 25.621 24.399 23.802 23.219 25.345 23.755 23.102 22.731 22.478 22.618 22.484 22.719 
3.459 32.634 27.798 25.923 24.546 23.962 23.376 25.519 23.939 23.209 22.817 22.480 22.579 22.492 22.756 
3.665 32.296 28.111 26.285 24.788 24.200 23.532 25.777 24.163 23.377 22.931 22.530 22.603 22.498 22.837 
3.882 36.924 28.501 26.644 25.015 24.355 23.724 26.048 24.352 23.509 23.043 22.594 22.638 22.512 22.915 
4.112 36.975 28.638 27.002 25.203 24.596 23.870 26.318 24.541 23.650 23.135 22.612 22.645 22.555 22.969 
4.356 35.993 29.350 27.348 25.531 24.800 24.082 26.674 24.762 23.819 23.235 22.659 22.632 22.594 23.029 
4.614 42.347 29.769 27.784 25.769 25.056 24.243 26.965 24.987 23.953 23.343 22.708 22.674 22.583 23.100 
4.888 44.068 30.204 28.206 26.128 25.261 24.410 27.393 25.174 24.114 23.468 22.763 22.659 22.625 23.159 
5.178 nan 30.844 28.764 26.570 25.583 24.676 27.817 25.513 24.315 23.639 22.812 22.664 22.641 23.230 
5.485 48.286 31.410 29.186 27.149 25.934 24.937 28.438 25.832 24.498 23.785 22.911 22.717 22.699 23.333 
5.810 57.364 32.108 29.994 27.572 26.300 25.238 28.937 26.181 24.730 23.919 22.984 22.753 22.758 23.414 
6.155 46.942 33.483 30.468 28.056 26.669 25.514 29.464 26.521 24.906 24.065 23.090 22.836 22.854 23.525 
6.520 70.398 33.002 31.173 28.581 27.098 25.847 30.049 26.896 25.181 24.252 23.207 22.872 22.933 23.636 
6.906 61.709 33.819 32.284 29.155 27.468 26.057 30.762 27.211 25.361 24.397 23.317 22.975 23.034 23.756 
7.316 65.480 33.740 32.798 29.530 27.981 26.431 31.082 27.670 25.591 24.504 23.410 23.088 23.097 23.862 
7.750 nan 37.082 32.431 29.604 28.206 26.722 31.237 27.945 25.820 24.650 23.534 23.222 23.237 23.998 
8.210 87.308 34.277 33.926 30.360 28.922 27.027 31.799 28.493 26.068 24.834 23.681 23.348 23.345 24.146 
8.696 nan 34.712 32.963 30.685 29.052 27.172 32.190 28.562 26.276 24.972 23.870 23.517 23.502 24.320 
9.212 91.764 38.948 34.524 31.134 29.386 27.577 33.030 29.005 26.599 25.123 24.039 23.713 23.694 24.501 
9.759 93.368 57.229 38.668 31.370 29.672 27.758 34.401 29.196 26.822 25.272 24.156 23.912 23.878 24.666 
10.337 97.404 41.188 36.717 32.121 30.056 28.139 34.197 29.576 27.294 25.455 24.321 24.129 24.043 24.857 
10.950 nan nan 36.360 32.607 30.673 28.545 35.289 30.031 27.624 25.716 24.488 24.283 24.224 25.030 
11.600 nan 64.848 39.088 32.923 31.046 28.888 34.918 30.410 27.872 25.963 24.704 24.504 24.449 25.258 
12.288 98.846 64.013 44.669 34.509 31.770 29.738 36.800 31.245 28.417 26.175 24.934 24.728 24.698 25.492 
13.016 100.607 nan 55.571 34.112 31.828 29.930 36.094 31.313 28.865 26.550 25.243 25.060 25.015 25.815 
13.788 100.758 nan 46.197 34.300 32.317 30.756 42.298 31.906 29.142 26.937 25.521 25.301 25.319 26.087 
14.606 104.361 86.291 54.876 38.014 34.533 31.510 44.355 33.244 29.700 27.363 25.914 25.716 25.648 26.500 
15.472 nan 87.439 nan 37.189 33.410 31.760 41.123 33.194 30.042 27.779 26.310 26.211 26.050 26.921 
16.390 nan nan 71.652 39.833 34.859 32.331 47.282 33.770 30.638 28.160 26.784 26.697 26.452 27.377 
17.362 nan 89.510 nan 41.333 34.082 32.348 44.613 33.570 30.542 28.429 27.225 27.255 26.684 27.817 
18.392 nan 90.834 nan 39.487 35.283 32.931 40.843 34.321 31.434 28.783 27.677 28.035 27.122 28.349 
19.482 nan nan nan 46.480 34.264 32.737 nan 34.555 31.936 29.572 28.470 28.738 27.788 29.125 
20.638 111.606 nan 90.266 81.796 nan 34.891 83.260 36.229 33.248 30.773 29.596 29.912 28.986 30.240 
21.862 113.295 95.127 90.127 81.941 75.117 nan 84.702 76.486 35.942 33.720 32.079 31.458 30.212 32.360 
23.158 114.878 95.771 nan 83.005 77.219 nan 85.307 nan nan 34.430 33.623 32.826 31.078 33.711 
24.532 115.486 97.375 nan nan 78.259 77.515 nan 80.430 78.045 nan 35.143 32.656 32.189 34.093 
25.987 119.621 98.356 nan nan 78.750 78.246 nan 80.037 78.078 nan 55.767 33.168 32.123 34.745 
27.528 118.464 nan nan 90.028 79.691 nan nan nan nan nan 70.334 36.779 33.243 38.355 
29.160 nan nan 97.474 nan 83.065 81.869 nan nan 82.313 nan 35.776 34.911 33.304 36.487 
30.890 inf inf inf inf inf inf inf inf inf inf inf inf inf inf 
