# t[days] lsstu lsstg lsstr lssti lsstz lssty f062 f087 f106 f129 f158 f184 f213 f146 
0.103 26.658 25.969 27.470 28.606 29.624 29.879 27.197 28.887 29.559 31.003 29.608 31.681 32.784 29.933 
0.109 22.340 22.839 23.962 25.865 27.330 27.057 23.843 26.645 27.285 27.971 30.385 27.395 29.902 27.940 
0.116 22.544 22.395 22.076 24.945 22.677 23.653 22.399 23.261 24.393 23.679 26.548 28.202 31.473 24.412 
0.122 21.284 22.372 21.476 22.807 23.246 24.739 21.923 23.288 24.922 23.231 26.381 26.341 28.402 24.239 
0.130 21.212 21.529 21.596 23.780 22.878 24.504 21.777 23.414 22.642 21.824 24.954 30.470 29.476 22.987 
0.137 21.274 21.867 21.415 23.455 22.892 22.725 21.777 22.839 22.819 23.705 27.300 25.423 27.846 23.910 
0.145 20.903 21.627 21.949 22.189 24.387 24.372 22.079 22.785 24.858 23.271 25.120 25.029 27.065 24.117 
0.154 21.055 21.507 22.105 22.565 23.326 24.550 21.980 23.695 24.942 23.434 25.244 28.306 27.451 24.320 
0.163 21.087 21.539 22.164 22.106 22.616 23.643 22.045 22.642 23.546 22.595 22.679 25.498 25.624 23.146 
0.173 21.028 21.573 22.519 22.449 23.951 23.909 22.173 23.749 24.081 24.562 25.248 26.273 23.188 24.626 
0.183 20.971 21.147 21.681 22.377 22.391 23.901 21.654 22.645 23.183 23.698 24.865 25.188 25.375 23.979 
0.194 21.022 21.632 22.136 22.245 22.330 23.914 22.027 22.682 23.225 23.315 23.781 23.912 25.224 23.502 
0.206 20.918 21.700 22.057 23.144 23.060 23.713 22.268 23.217 23.823 23.712 23.726 24.499 26.041 23.827 
0.218 21.151 21.676 22.428 22.480 23.514 22.205 22.208 22.674 22.889 24.126 23.078 23.596 25.132 23.361 
0.231 21.061 21.659 22.369 22.925 23.145 22.413 22.378 22.887 22.974 24.629 24.854 25.292 24.402 23.877 
0.244 21.071 21.658 22.216 22.865 23.000 23.224 22.233 22.934 23.645 23.797 23.819 24.159 29.362 23.838 
0.259 21.170 21.841 22.349 22.767 22.669 23.716 22.368 22.901 23.104 22.903 23.650 23.814 24.907 23.266 
0.274 21.248 21.796 22.523 22.653 22.468 22.985 22.416 22.556 23.469 23.760 23.366 24.795 24.592 23.577 
0.290 21.171 21.816 22.232 22.992 23.479 23.192 22.347 23.406 23.052 23.693 24.365 24.922 24.863 23.756 
0.308 21.256 21.749 22.412 22.747 22.967 22.941 22.361 22.954 23.207 23.245 23.731 24.451 24.615 23.497 
0.326 21.375 21.848 22.569 22.806 22.512 22.890 22.505 22.648 23.235 23.718 24.040 24.036 24.368 23.622 
0.345 21.451 21.844 22.483 22.650 23.089 22.978 22.359 22.911 22.837 23.180 24.162 24.269 24.329 23.431 
0.366 21.526 21.953 22.410 22.672 22.676 23.187 22.354 22.807 23.525 23.548 23.717 24.356 25.690 23.685 
0.387 21.565 22.044 22.317 22.771 22.700 22.807 22.356 22.734 23.081 23.446 23.188 23.484 23.946 23.300 
0.410 21.563 22.064 22.344 22.666 22.871 22.735 22.386 22.707 23.045 23.090 23.452 24.098 24.554 23.275 
0.435 21.607 22.020 22.472 22.677 22.818 23.061 22.443 22.798 23.081 23.302 23.059 23.419 24.170 23.143 
0.461 21.709 22.019 22.319 22.540 22.585 22.964 22.309 22.638 22.877 22.971 23.434 23.611 23.841 23.150 
0.488 21.779 22.015 22.182 22.520 22.674 22.866 22.217 22.686 23.074 22.935 23.244 23.858 24.058 23.181 
0.517 21.788 22.188 22.269 22.397 22.480 22.700 22.300 22.544 22.702 22.727 23.246 23.666 23.781 22.991 
0.547 21.876 22.184 22.161 22.398 22.471 22.524 22.224 22.477 22.593 22.929 22.950 23.765 23.957 22.917 
0.580 22.027 22.172 22.146 22.391 22.296 22.507 22.217 22.377 22.493 22.585 22.907 23.352 23.802 22.765 
0.614 22.198 22.226 22.229 22.229 22.439 22.311 22.249 22.332 22.439 22.633 22.943 23.149 23.763 22.716 
0.651 22.394 22.238 22.206 22.239 22.203 22.449 22.200 22.286 22.398 22.504 22.904 23.057 23.572 22.677 
0.689 22.610 22.431 22.232 22.194 22.334 22.306 22.249 22.281 22.357 22.493 22.879 23.074 23.361 22.632 
0.730 22.845 22.513 22.291 22.278 22.224 22.414 22.322 22.286 22.378 22.569 22.825 22.924 23.376 22.622 
0.773 23.067 22.740 22.409 22.342 22.364 22.367 22.456 22.320 22.390 22.440 22.623 23.081 23.425 22.584 
0.819 23.337 22.832 22.504 22.361 22.213 22.386 22.518 22.286 22.423 22.497 22.562 22.885 22.980 22.550 
0.868 23.527 23.015 22.591 22.570 22.456 22.389 22.662 22.447 22.448 22.555 22.664 22.884 22.880 22.592 
0.919 23.673 23.099 22.724 22.617 22.491 22.486 22.756 22.497 22.505 22.540 22.679 22.874 22.984 22.619 
0.974 23.871 23.342 22.868 22.716 22.561 22.556 22.898 22.596 22.611 22.581 22.670 22.724 23.118 22.635 
1.032 24.102 23.463 23.030 22.857 22.705 22.700 23.058 22.724 22.759 22.686 22.637 22.749 22.961 22.710 
1.093 24.365 23.688 23.206 22.965 22.758 22.723 23.199 22.811 22.768 22.765 22.685 22.873 23.043 22.762 
1.158 24.552 23.834 23.326 23.082 22.859 22.855 23.338 22.899 22.882 22.844 22.809 22.904 23.007 22.860 
1.226 24.802 23.944 23.484 23.191 22.999 22.986 23.477 23.027 23.001 22.906 22.883 22.948 23.117 22.937 
1.299 24.968 24.159 23.606 23.372 23.146 23.037 23.627 23.168 23.066 23.019 22.955 22.977 23.138 22.995 
1.376 25.379 24.305 23.676 23.458 23.220 23.111 23.714 23.232 23.133 23.109 22.973 23.052 23.129 23.060 
