# t[days] lsstu lsstg lsstr lssti lsstz lssty f062 f087 f106 f129 f158 f184 f213 f146 
0.103 24.609 24.695 25.686 27.016 25.994 25.808 25.786 26.123 26.972 27.577 27.598 30.739 27.998 27.464 
0.109 21.664 21.576 22.069 23.827 23.545 25.848 22.152 24.068 24.848 22.959 31.128 27.157 26.848 24.065 
0.116 20.928 21.485 22.576 23.334 23.142 24.039 22.259 23.414 24.029 25.690 25.583 25.178 25.799 24.773 
0.122 21.112 20.955 21.361 21.597 22.458 23.016 21.292 22.427 21.861 22.190 23.202 24.819 24.952 22.447 
0.130 20.754 21.400 21.739 21.973 21.089 22.185 21.893 21.409 21.923 23.443 22.798 27.542 31.546 22.631 
0.137 20.716 20.810 21.321 21.697 21.155 21.841 21.220 21.389 21.980 22.520 24.128 22.809 21.621 22.689 
0.145 20.559 20.794 20.732 21.496 22.213 22.225 20.931 21.860 22.432 22.431 22.588 23.250 25.460 22.757 
0.154 20.895 20.920 21.049 22.045 23.625 22.125 21.187 22.885 22.034 22.966 22.371 23.294 23.767 22.388 
0.163 20.471 20.867 21.077 21.401 21.730 21.892 21.057 21.844 21.772 22.926 22.395 21.901 22.915 22.091 
0.173 20.744 21.109 21.400 22.014 21.648 22.326 21.489 21.811 22.648 23.137 24.049 24.437 23.076 23.175 
0.183 20.822 20.915 21.133 21.353 22.023 22.245 21.064 22.234 22.008 22.699 22.904 24.046 23.221 22.550 
0.194 20.810 21.055 21.352 21.657 21.935 22.563 21.278 22.053 22.501 22.525 24.055 22.375 22.303 22.644 
0.206 20.897 20.970 21.522 21.654 22.399 21.878 21.387 22.065 21.443 22.336 22.101 22.184 24.248 21.996 
0.218 20.847 21.174 21.446 21.672 22.599 21.860 21.433 22.117 22.013 22.465 22.959 23.219 23.372 22.486 
0.231 21.135 21.196 21.640 21.879 22.480 21.905 21.595 22.118 22.166 22.556 23.210 23.623 24.559 22.703 
0.244 21.062 21.399 21.517 21.923 22.084 22.008 21.688 21.889 22.238 22.813 22.944 23.303 23.755 22.667 
0.259 21.254 21.487 21.676 22.025 22.163 21.942 21.677 22.154 22.099 22.318 22.860 22.858 23.959 22.451 
0.274 21.294 21.438 21.637 21.559 21.659 21.854 21.631 21.677 21.855 21.982 22.636 23.499 23.207 22.323 
0.290 21.342 21.558 21.785 21.847 21.931 21.874 21.803 21.846 21.864 22.041 22.314 23.057 22.769 22.240 
0.308 21.376 21.520 21.537 21.644 21.623 21.969 21.546 21.736 21.975 22.050 22.501 22.260 22.634 22.161 
0.326 21.218 21.512 21.450 21.615 21.685 21.946 21.506 21.703 21.861 22.123 22.410 22.836 22.505 22.203 
0.345 21.494 21.462 21.355 21.547 21.717 21.690 21.437 21.657 21.694 21.746 22.120 22.510 23.092 21.933 
0.366 21.548 21.532 21.364 21.485 21.593 21.656 21.442 21.557 21.687 21.972 22.087 22.685 22.925 21.984 
0.387 21.626 21.554 21.434 21.478 21.399 21.522 21.465 21.470 21.531 21.835 22.039 22.421 22.544 21.891 
0.410 21.939 21.735 21.475 21.391 21.621 21.588 21.502 21.518 21.587 21.720 22.036 21.931 22.251 21.780 
0.435 22.101 21.863 21.465 21.512 21.466 21.556 21.534 21.518 21.541 21.751 21.806 21.847 22.260 21.722 
0.461 22.348 21.965 21.697 21.609 21.509 21.560 21.726 21.519 21.606 21.675 21.701 21.789 22.041 21.670 
0.488 22.508 22.148 21.714 21.689 21.680 21.501 21.762 21.631 21.631 21.769 21.847 21.916 21.862 21.764 
0.517 22.672 22.268 21.864 21.825 21.715 21.766 21.914 21.737 21.816 21.860 21.810 21.799 22.184 21.829 
0.547 23.012 22.419 22.018 21.925 21.827 21.937 22.052 21.883 21.863 21.792 21.861 21.984 22.274 21.867 
0.580 23.306 22.629 22.151 21.969 21.918 21.862 22.169 21.907 21.914 21.809 21.854 21.697 22.062 21.823 
0.614 23.393 22.652 22.213 22.027 21.985 21.971 22.228 21.936 22.066 21.891 21.923 21.901 22.046 21.944 
0.651 23.577 22.742 22.433 22.198 22.127 22.142 22.396 22.141 22.129 22.093 22.088 22.138 22.331 22.114 
0.689 24.000 22.980 22.537 22.286 22.095 22.241 22.527 22.167 22.158 22.006 22.026 22.098 22.326 22.070 
0.730 24.363 23.259 22.668 22.353 22.192 22.205 22.645 22.242 22.225 22.163 22.084 21.989 22.180 22.124 
0.773 24.592 23.399 22.731 22.492 22.289 22.377 22.758 22.333 22.295 22.076 21.969 22.113 22.246 22.112 
0.819 24.701 23.515 22.893 22.541 22.404 22.363 22.876 22.398 22.354 22.074 22.035 22.138 22.269 22.155 
0.868 24.874 23.621 22.920 22.624 22.480 22.412 22.914 22.496 22.416 22.153 22.161 22.232 22.431 22.244 
0.919 25.113 23.737 23.072 22.611 22.458 22.473 23.016 22.480 22.393 22.222 22.074 22.138 22.382 22.215 
0.974 25.345 23.847 23.049 22.731 22.547 22.553 23.064 22.556 22.470 22.253 22.190 22.219 22.330 22.295 
1.032 25.743 23.956 23.202 22.846 22.678 22.670 23.201 22.688 22.591 22.280 22.267 22.240 22.307 22.350 
1.093 26.147 24.170 23.260 22.847 22.720 22.708 23.269 22.700 22.593 22.288 22.308 22.350 22.409 22.388 
1.158 26.143 24.262 23.395 22.891 22.681 22.853 23.354 22.736 22.699 22.304 22.266 22.346 22.463 22.408 
1.226 26.985 24.475 23.450 22.952 22.865 22.838 23.430 22.829 22.739 22.381 22.420 22.478 22.493 22.509 
1.299 27.200 24.633 23.518 22.981 22.760 22.816 23.481 22.790 22.756 22.370 22.400 22.449 22.520 22.489 
1.376 27.688 24.862 23.684 23.100 22.902 22.862 23.647 22.889 22.790 22.410 22.405 22.530 22.745 22.534 
1.458 28.233 25.092 23.736 23.099 22.818 22.857 23.698 22.843 22.803 22.466 22.471 22.546 22.689 22.575 
1.544 28.453 25.327 23.868 23.152 22.841 22.792 23.819 22.848 22.772 22.473 22.519 22.549 22.619 22.583 
1.636 29.122 25.554 23.918 23.156 22.864 22.899 23.843 22.901 22.810 22.509 22.511 22.666 22.670 22.628 
1.733 29.291 25.873 24.133 23.262 23.023 22.897 24.038 22.991 22.824 22.560 22.587 22.677 22.745 22.667 
1.836 29.604 26.055 24.248 23.346 22.980 22.888 24.141 22.982 22.909 22.620 22.553 22.722 22.743 22.704 
1.944 30.251 26.368 24.386 23.441 23.033 22.902 24.280 23.040 22.868 22.647 22.569 22.668 22.772 22.696 
2.060 31.291 26.692 24.545 23.521 23.047 22.912 24.414 23.064 22.924 22.667 22.591 22.681 22.738 22.722 
2.182 31.718 27.017 24.794 23.701 23.141 22.950 24.628 23.154 22.985 22.723 22.603 22.729 22.796 22.764 
2.311 31.509 27.107 25.015 23.821 23.207 23.041 24.817 23.236 23.042 22.764 22.622 22.715 22.776 22.788 
2.448 32.594 27.598 25.228 23.982 23.334 23.117 25.003 23.350 23.077 22.813 22.643 22.712 22.783 22.818 
2.594 33.275 27.744 25.431 24.067 23.377 23.137 25.165 23.407 23.124 22.837 22.608 22.668 22.757 22.812 
2.747 33.453 28.064 25.666 24.264 23.492 23.237 25.364 23.541 23.189 22.925 22.655 22.721 22.772 22.873 
2.910 33.012 28.373 25.980 24.455 23.637 23.347 25.609 23.685 23.283 22.960 22.672 22.721 22.752 22.904 
3.083 33.480 28.533 26.274 24.691 23.850 23.496 25.864 23.882 23.378 23.010 22.695 22.725 22.765 22.941 
3.266 36.701 28.892 26.720 24.974 24.116 23.682 26.201 24.120 23.532 23.129 22.710 22.742 22.783 23.008 
