# t[days] lsstu lsstg lsstr lssti lsstz lssty f062 f087 f106 f129 f158 f184 f213 f146 
0.103 25.749 24.603 23.299 27.296 29.940 27.272 23.892 29.879 27.094 30.564 30.277 36.743 34.403 28.279 
0.109 21.152 22.147 23.125 25.722 21.487 25.241 22.924 22.328 25.594 30.118 30.612 27.051 29.720 26.635 
0.116 21.521 21.725 21.391 24.474 24.137 24.983 21.762 24.427 25.042 22.414 25.571 28.514 33.099 23.502 
0.122 20.801 21.440 23.028 23.749 21.751 24.470 22.415 22.576 22.360 27.364 26.606 29.789 32.598 23.576 
0.130 20.667 21.073 21.471 21.909 22.504 22.915 21.438 22.741 23.336 25.038 25.542 28.298 29.832 24.287 
0.137 20.517 20.742 21.791 22.269 22.749 22.401 21.531 22.272 22.252 25.942 22.460 22.055 24.980 22.778 
0.145 20.185 20.824 21.111 21.021 23.297 23.638 21.123 21.992 22.782 25.021 22.940 21.903 26.986 22.916 
0.154 20.201 20.604 20.860 22.223 21.905 21.397 21.078 21.709 22.317 23.029 24.718 23.951 24.157 22.946 
0.163 20.444 20.323 21.143 21.442 22.018 21.249 20.923 21.708 21.594 21.598 22.482 24.706 24.811 22.040 
0.173 19.883 20.682 21.192 21.278 21.817 22.254 21.099 21.735 21.827 22.204 23.900 24.755 21.484 22.665 
0.183 20.087 20.569 21.126 21.032 21.843 21.695 20.978 21.592 22.288 23.564 24.372 27.031 23.925 23.198 
0.194 20.336 20.671 21.574 21.660 21.125 21.183 21.493 21.243 21.771 23.269 23.350 22.470 23.803 22.403 
0.206 20.141 20.723 21.255 21.808 21.326 22.100 21.272 21.547 22.730 22.522 22.036 22.403 26.136 22.453 
0.218 20.158 20.633 21.546 21.484 22.271 21.426 21.289 21.663 21.833 23.154 23.101 23.624 23.490 22.677 
0.231 20.477 20.952 21.311 21.494 21.778 21.920 21.328 21.555 22.352 22.371 23.272 23.511 22.808 22.644 
0.244 20.409 20.823 21.299 21.474 21.591 21.869 21.255 21.608 22.024 22.090 22.770 22.912 25.172 22.404 
0.259 20.364 20.650 21.307 21.627 22.443 21.742 21.262 21.964 21.901 22.796 23.685 22.718 24.199 22.609 
0.274 20.502 20.955 21.469 21.556 22.228 22.121 21.416 21.968 22.298 22.278 23.231 23.388 24.029 22.651 
0.290 20.658 21.000 21.793 21.910 22.013 22.009 21.643 22.038 22.301 22.556 23.709 22.984 23.391 22.723 
0.308 20.643 20.995 21.333 21.644 21.873 22.257 21.382 21.846 22.257 23.058 23.107 23.658 23.994 22.813 
0.326 20.593 21.126 21.350 21.927 22.231 22.024 21.409 22.104 22.100 22.381 23.592 23.900 23.052 22.615 
0.345 20.624 21.029 21.347 21.819 21.695 22.380 21.392 21.880 22.420 22.623 23.484 23.837 23.797 22.895 
0.366 20.613 21.121 21.360 21.535 21.674 21.880 21.379 21.730 21.889 22.257 22.876 23.580 24.057 22.379 
0.387 20.839 21.081 21.358 21.547 21.643 22.106 21.371 21.703 22.099 22.335 22.441 22.813 23.782 22.465 
0.410 20.691 21.146 21.437 21.157 21.912 21.714 21.329 21.593 21.873 22.161 22.680 22.783 23.481 22.271 
0.435 20.965 21.144 21.391 21.631 21.851 21.736 21.385 21.883 21.694 22.342 22.537 23.278 24.091 22.232 
0.461 20.931 21.118 21.296 21.599 21.705 21.894 21.322 21.777 21.853 21.928 22.081 22.787 22.842 22.094 
0.488 20.905 21.095 21.248 21.453 21.617 21.827 21.276 21.588 21.833 21.892 22.211 22.406 22.463 22.062 
0.517 21.016 21.158 21.237 21.368 21.458 21.463 21.252 21.477 21.537 21.720 22.279 22.724 23.118 21.888 
0.547 21.076 21.067 21.131 21.137 21.365 21.632 21.121 21.370 21.602 21.746 22.190 22.625 22.684 21.942 
0.580 21.194 21.132 21.049 21.215 21.192 21.330 21.075 21.276 21.264 21.486 21.744 22.396 22.343 21.617 
0.614 21.343 21.169 21.026 21.151 21.336 21.248 21.075 21.265 21.286 21.399 21.504 21.752 22.154 21.469 
0.651 21.643 21.283 21.087 21.168 21.174 21.168 21.125 21.186 21.200 21.264 21.714 22.069 22.438 21.474 
0.689 21.856 21.346 21.126 21.106 21.267 21.274 21.142 21.218 21.196 21.378 21.664 21.829 22.098 21.464 
0.730 22.111 21.481 21.215 21.109 21.092 21.195 21.216 21.107 21.200 21.354 21.546 21.752 22.068 21.418 
0.773 22.329 21.730 21.363 21.254 21.070 21.165 21.375 21.150 21.208 21.288 21.442 21.965 22.062 21.412 
0.819 22.662 21.872 21.470 21.256 21.325 21.289 21.436 21.297 21.301 21.364 21.404 21.749 21.969 21.409 
0.868 22.843 22.024 21.599 21.350 21.266 21.247 21.601 21.246 21.280 21.265 21.509 21.830 22.110 21.425 
0.919 23.146 22.317 21.848 21.538 21.398 21.405 21.820 21.410 21.426 21.380 21.506 21.766 21.927 21.497 
0.974 23.425 22.461 21.954 21.716 21.453 21.458 21.951 21.504 21.484 21.367 21.516 21.652 22.006 21.499 
1.032 23.673 22.713 22.150 21.815 21.711 21.647 22.144 21.684 21.628 21.508 21.476 21.777 22.100 21.593 
1.093 23.944 22.878 22.340 21.938 21.837 21.774 22.290 21.828 21.754 21.661 21.577 21.780 22.078 21.690 
1.158 24.366 23.153 22.448 22.196 22.011 21.902 22.483 21.992 21.969 21.801 21.671 21.772 22.100 21.815 
1.226 24.755 23.304 22.624 22.249 22.114 22.048 22.601 22.106 22.091 21.865 21.712 21.866 22.002 21.885 
1.299 25.180 23.531 22.745 22.384 22.223 22.191 22.732 22.231 22.129 21.926 21.796 21.903 22.150 21.950 
1.376 25.498 23.703 22.987 22.475 22.305 22.223 22.930 22.280 22.284 22.023 21.856 21.914 22.077 22.026 
