# t[days] lsstu lsstg lsstr lssti lsstz lssty f062 f087 f106 f129 f158 f184 f213 f146 
0.103 21.351 21.761 24.376 23.035 22.079 24.975 22.939 22.531 25.789 23.718 28.149 25.266 24.917 24.637 
0.109 18.611 18.693 19.537 19.995 19.130 19.441 19.612 19.421 19.600 22.114 20.526 20.814 22.505 20.349 
0.116 18.720 18.513 18.975 19.138 20.244 18.701 18.805 19.752 18.974 21.799 20.719 19.219 25.026 19.627 
0.122 18.476 18.219 18.939 18.443 19.004 20.046 18.691 18.591 19.591 20.491 21.658 25.170 25.973 20.436 
0.130 18.010 18.557 18.121 19.052 18.402 21.241 18.440 18.931 19.836 20.132 21.027 22.258 20.842 20.421 
0.137 18.780 18.225 18.859 18.545 18.132 19.744 18.492 18.677 19.470 19.611 21.085 22.312 22.681 20.105 
0.145 18.271 18.419 19.207 18.768 18.951 18.310 18.770 18.888 18.954 20.686 21.617 20.189 19.384 19.813 
0.154 18.957 18.921 18.487 18.620 18.996 19.729 18.689 18.902 19.977 19.742 20.703 20.964 23.256 20.220 
0.163 18.322 18.706 19.021 18.885 19.124 20.425 19.031 19.172 20.614 19.737 19.621 20.936 20.582 19.993 
0.173 18.808 18.770 19.200 18.565 18.464 19.740 18.797 18.765 19.348 19.003 20.134 19.933 21.282 19.514 
0.183 18.870 18.828 18.759 18.793 19.518 20.683 18.723 19.709 20.110 19.178 19.496 19.853 19.876 19.625 
0.194 18.861 19.071 19.042 19.175 18.597 19.793 19.068 19.013 19.847 19.186 19.204 19.929 20.867 19.577 
0.206 19.281 19.147 19.642 18.969 20.201 19.369 19.320 19.390 19.674 18.931 19.195 19.214 21.207 19.215 
0.218 19.125 18.933 18.965 19.219 19.535 20.375 19.155 19.327 20.386 19.610 20.058 20.015 19.918 19.971 
0.231 19.209 18.996 19.344 19.709 19.747 19.614 19.368 19.682 19.424 19.635 19.697 20.553 21.176 19.754 
0.244 19.078 19.205 19.608 19.503 19.746 20.195 19.485 19.732 20.023 20.028 20.231 20.021 20.601 20.132 
0.259 19.433 19.410 19.659 19.450 19.750 20.244 19.598 19.684 20.245 19.304 19.595 19.658 20.755 19.551 
0.274 19.139 19.623 19.554 19.539 20.129 19.909 19.528 20.024 19.772 19.787 19.959 19.674 20.521 19.784 
0.290 19.301 19.484 19.663 19.889 19.792 20.749 19.661 19.985 20.391 19.913 19.948 20.048 20.723 20.140 
0.308 19.495 19.697 19.887 19.800 20.138 19.981 19.807 20.060 20.175 20.464 20.422 19.639 19.142 20.140 
0.326 19.483 19.900 19.957 19.990 19.939 19.986 19.982 20.001 20.097 19.900 20.161 20.128 20.311 20.094 
0.345 19.458 19.529 19.662 19.797 19.687 19.513 19.638 19.679 19.866 20.364 20.153 20.060 20.893 20.050 
0.366 19.654 19.822 19.755 19.821 19.542 19.749 19.761 19.657 19.945 20.168 20.640 20.028 20.499 20.144 
0.387 19.675 19.358 19.697 19.835 19.531 19.418 19.632 19.661 19.430 19.920 20.516 19.956 20.672 19.823 
0.410 19.859 19.801 20.012 19.891 19.865 19.464 19.941 19.752 19.666 20.173 20.247 19.914 20.633 19.936 
0.435 19.961 19.756 20.037 19.837 19.694 20.103 19.909 19.866 19.999 20.375 20.806 20.590 20.504 20.366 
0.461 19.949 19.907 19.827 19.823 19.998 20.034 19.869 19.916 19.998 19.959 20.036 20.341 20.597 20.061 
0.488 20.055 19.885 19.925 19.822 20.067 19.753 19.860 19.910 20.007 20.005 20.196 19.769 20.194 20.008 
0.517 20.203 20.007 19.885 19.719 19.967 20.063 19.832 19.923 20.226 20.114 20.130 20.018 20.492 20.152 
0.547 20.274 20.113 19.986 19.930 20.079 19.863 19.986 19.964 20.023 19.911 20.243 20.260 20.452 20.062 
0.580 20.191 20.130 19.948 19.902 19.846 19.914 19.958 19.906 20.007 20.186 20.312 20.582 20.318 20.226 
0.614 20.351 20.069 20.000 19.865 20.087 20.143 19.979 20.033 20.033 19.874 20.021 20.141 20.470 20.036 
0.651 20.581 20.217 20.043 19.764 20.050 19.896 19.995 19.910 19.936 19.957 20.051 20.027 20.344 19.985 
0.689 20.695 20.236 19.979 19.959 20.005 20.023 20.000 20.031 20.098 20.044 20.268 20.057 20.258 20.094 
0.730 20.795 20.266 20.023 19.951 19.962 20.017 20.023 20.000 20.018 20.085 20.265 20.212 20.463 20.157 
0.773 20.882 20.293 20.046 19.859 19.841 19.956 20.028 19.877 20.002 19.957 20.048 20.132 20.249 20.022 
0.819 21.162 20.393 20.086 19.951 19.925 19.921 20.086 19.941 19.901 19.921 19.936 20.162 20.190 19.953 
0.868 21.401 20.488 20.143 19.887 19.880 19.897 20.103 19.915 19.908 19.996 19.949 19.931 20.412 19.943 
0.919 21.699 20.602 20.147 19.925 19.984 19.962 20.135 19.984 19.996 19.817 19.894 20.077 20.353 19.948 
0.974 21.807 20.738 20.379 20.056 19.864 19.932 20.323 19.951 19.949 19.884 19.952 20.014 20.313 19.960 
1.032 22.100 20.870 20.381 20.021 19.981 20.012 20.341 19.997 19.949 19.831 19.977 20.091 20.204 19.956 
1.093 22.395 20.954 20.490 20.140 19.966 19.874 20.432 20.000 19.918 19.905 20.022 20.098 20.271 19.979 
1.158 22.635 21.103 20.552 20.183 20.023 20.030 20.507 20.048 20.025 19.887 19.965 20.097 20.285 19.982 
1.226 22.855 21.315 20.644 20.287 20.126 20.116 20.624 20.171 20.065 19.937 20.039 19.953 20.287 20.014 
1.299 23.052 21.359 20.779 20.319 20.206 20.137 20.702 20.227 20.075 19.870 20.044 20.028 20.132 20.004 
1.376 23.352 21.541 20.844 20.314 20.193 20.005 20.752 20.175 20.038 19.939 20.024 19.946 20.181 19.993 
1.458 23.668 21.736 20.978 20.496 20.262 20.028 20.929 20.256 19.992 19.872 19.977 19.988 20.061 19.962 
1.544 23.896 21.675 20.966 20.478 20.400 20.148 20.905 20.354 20.073 19.911 20.045 20.104 20.107 20.026 
1.636 24.270 21.834 21.010 20.554 20.311 20.118 20.975 20.320 20.080 19.891 19.974 19.924 20.089 19.972 
1.733 24.299 22.002 21.123 20.556 20.354 20.072 21.060 20.312 20.071 19.915 20.019 19.991 20.077 19.997 
1.836 24.919 22.140 21.159 20.618 20.460 20.166 21.117 20.412 20.130 19.909 19.982 19.963 20.114 19.999 
1.944 25.269 22.420 21.259 20.718 20.450 20.192 21.242 20.436 20.177 19.934 19.979 19.930 20.055 20.011 
2.060 25.478 22.600 21.384 20.779 20.473 20.219 21.351 20.472 20.179 19.924 20.074 20.012 20.073 20.047 
2.182 25.898 22.840 21.550 20.892 20.637 20.231 21.484 20.571 20.231 19.928 20.019 19.930 19.971 20.032 
2.311 25.730 23.026 21.703 20.988 20.656 20.205 21.652 20.573 20.237 19.983 20.000 19.955 20.020 20.047 
2.448 26.481 23.253 21.834 21.084 20.760 20.277 21.784 20.665 20.314 19.992 20.028 20.012 20.033 20.085 
2.594 26.912 23.547 22.019 21.223 20.888 20.380 21.942 20.794 20.386 19.991 19.988 19.998 19.970 20.087 
2.747 27.152 23.931 22.215 21.378 20.907 20.387 22.142 20.826 20.436 20.032 20.003 20.016 19.959 20.115 
2.910 27.624 24.424 22.525 21.578 21.056 20.455 22.414 20.951 20.504 20.033 19.990 20.024 19.989 20.127 
3.083 28.843 24.628 22.748 21.729 21.138 20.547 22.598 21.057 20.584 20.078 20.000 20.024 19.970 20.162 
3.266 28.933 25.099 23.076 21.969 21.281 20.668 22.879 21.204 20.704 20.160 20.025 20.085 19.988 20.223 
3.459 28.896 25.297 23.221 22.119 21.507 20.757 23.013 21.374 20.798 20.193 19.998 20.047 19.989 20.233 
3.665 31.014 25.606 23.546 22.355 21.675 20.892 23.274 21.540 20.926 20.281 20.045 20.050 20.013 20.291 
3.882 30.212 25.971 23.867 22.590 21.843 21.021 23.519 21.727 21.055 20.394 20.077 20.098 20.005 20.370 
4.112 31.226 26.259 24.170 22.734 22.010 21.190 23.739 21.892 21.197 20.444 20.090 20.106 20.032 20.408 
4.356 30.954 26.616 24.566 23.090 22.201 21.376 24.088 22.115 21.355 20.549 20.127 20.108 20.072 20.467 
4.614 37.573 27.027 24.867 23.306 22.437 21.505 24.331 22.299 21.480 20.638 20.161 20.125 20.070 20.521 
