# t[days] lsstu lsstg lsstr lssti lsstz lssty f062 f087 f106 f129 f158 f184 f213 f146 
0.103 20.232 21.186 21.085 20.716 22.168 23.146 21.182 21.144 24.578 22.497 27.618 36.882 38.541 23.584 
0.109 17.986 18.548 18.792 19.256 18.875 27.725 19.057 19.009 25.839 22.644 23.738 35.595 34.699 23.525 
0.116 18.441 18.489 18.226 17.296 17.879 21.640 17.632 18.695 19.205 22.451 25.630 24.585 35.014 20.425 
0.122 17.239 17.206 19.171 19.358 17.158 19.189 18.797 17.843 20.085 21.105 21.372 24.900 28.047 20.790 
0.130 17.330 17.843 18.227 17.864 20.455 19.321 18.312 18.601 19.631 21.907 18.478 18.153 18.744 19.306 
0.137 17.742 19.071 18.473 19.505 18.587 18.425 18.808 18.499 18.257 17.440 19.556 18.345 21.855 18.268 
0.145 17.293 17.667 17.924 17.727 19.485 17.196 17.886 17.682 18.199 21.378 23.826 23.740 21.525 19.398 
0.154 17.648 17.555 17.481 17.968 19.148 20.071 17.678 18.716 19.126 17.165 21.041 20.335 22.434 18.303 
0.163 17.012 17.481 16.918 19.348 19.052 19.647 17.273 19.471 18.523 18.679 18.871 19.958 25.787 19.030 
0.173 17.203 17.447 17.988 18.826 19.928 20.972 17.923 19.867 20.317 17.802 18.464 22.078 22.468 18.939 
0.183 17.562 17.571 17.761 18.806 19.223 19.502 18.025 19.075 18.334 18.601 19.296 20.048 23.598 18.785 
0.194 17.479 18.348 18.054 18.344 17.907 19.110 18.163 18.279 19.217 19.745 19.239 18.929 18.900 19.218 
0.206 17.353 17.945 18.126 18.162 18.358 19.157 18.144 18.387 19.170 19.801 20.460 20.541 19.349 19.930 
0.218 17.688 17.750 18.271 18.198 18.783 19.254 18.235 18.508 19.686 19.692 20.412 18.528 21.568 19.374 
0.231 17.466 17.518 17.950 17.911 17.849 17.852 17.874 17.935 17.814 19.784 19.399 17.509 19.216 18.181 
0.244 17.807 18.211 18.642 18.488 18.655 17.716 18.451 18.459 17.884 19.255 19.721 19.255 20.000 18.697 
0.259 17.770 17.958 18.157 18.417 18.834 18.532 18.235 18.667 18.616 19.102 19.603 19.512 19.844 19.141 
0.274 17.853 17.916 18.353 18.097 18.416 18.208 18.158 18.335 18.306 19.065 20.281 20.954 19.164 19.063 
0.290 17.892 18.004 18.405 18.862 18.794 18.532 18.514 18.823 18.728 19.220 19.777 21.406 20.655 19.289 
0.308 17.703 18.244 18.490 18.186 18.292 19.867 18.293 18.703 19.732 19.523 19.917 20.833 19.489 19.820 
0.326 18.097 18.087 18.560 18.197 19.441 19.161 18.366 18.866 19.487 19.340 20.038 20.815 20.602 19.698 
0.345 18.291 18.265 18.924 18.401 19.453 19.445 18.688 19.053 19.433 19.729 19.427 20.177 20.670 19.596 
0.366 18.312 18.621 18.995 18.630 19.172 19.741 18.971 18.965 19.735 19.453 19.531 19.450 18.740 19.474 
0.387 18.243 18.393 18.521 18.704 18.946 19.098 18.570 18.868 19.565 19.245 19.618 19.719 20.300 19.500 
0.410 18.485 18.600 19.092 18.924 18.465 19.066 18.909 18.701 19.375 19.658 19.497 19.857 19.963 19.583 
0.435 18.479 18.414 18.716 18.728 18.886 19.168 18.637 18.960 19.207 19.393 19.594 19.533 20.503 19.422 
0.461 18.583 18.597 18.934 18.856 19.453 19.572 18.912 19.178 19.386 19.625 19.073 19.519 19.914 19.316 
0.488 18.502 18.505 18.960 19.029 19.694 19.151 18.803 19.409 19.236 19.177 19.160 19.122 19.748 19.118 
0.517 18.633 18.512 18.802 18.804 19.123 19.042 18.787 18.935 19.318 19.297 19.835 19.891 19.686 19.510 
0.547 18.687 18.606 18.865 18.669 18.969 19.259 18.749 18.986 19.402 19.168 19.291 19.778 19.960 19.328 
0.580 18.963 18.922 18.994 18.960 19.032 19.201 18.970 19.096 19.073 19.442 19.458 19.553 19.715 19.354 
0.614 18.809 18.801 18.760 19.131 19.036 19.116 18.820 19.138 18.911 18.949 19.432 19.390 19.888 19.095 
0.651 19.013 18.872 18.993 19.231 18.663 19.290 19.014 18.890 19.095 19.105 19.395 19.444 19.443 19.245 
0.689 19.024 18.831 18.897 18.952 19.197 19.286 18.906 19.100 19.175 19.188 19.484 19.278 19.539 19.307 
0.730 19.087 18.804 18.867 18.851 18.882 19.013 18.863 18.874 19.087 19.196 19.171 19.201 19.019 19.145 
0.773 19.195 18.958 19.014 18.790 18.854 18.962 18.888 18.901 19.067 19.292 19.193 19.132 19.180 19.128 
0.819 19.456 18.960 18.847 18.838 18.776 19.134 18.867 18.889 19.106 18.901 19.110 19.046 19.047 19.035 
0.868 19.519 19.052 19.063 18.875 18.940 19.086 18.959 18.985 19.072 19.039 19.214 19.020 18.978 19.106 
0.919 19.508 19.130 19.118 18.998 18.886 19.128 19.069 18.959 19.151 19.078 19.082 19.198 19.313 19.143 
0.974 19.831 19.240 19.147 19.058 19.105 18.947 19.152 19.015 18.989 19.201 19.236 19.508 19.234 19.177 
1.032 19.904 19.355 19.205 18.958 18.995 19.073 19.143 19.011 19.121 19.090 19.114 19.163 19.185 19.129 
1.093 20.048 19.415 19.217 19.138 19.166 19.074 19.227 19.162 19.072 19.142 19.137 19.188 19.333 19.134 
1.158 20.477 19.621 19.387 19.145 19.133 19.115 19.346 19.122 19.193 19.029 19.093 19.165 19.208 19.114 
1.226 20.657 19.833 19.404 19.094 19.011 19.184 19.409 19.063 19.168 19.070 19.081 19.192 19.358 19.113 
1.299 20.968 19.854 19.400 19.151 19.005 19.094 19.388 19.075 19.113 18.887 19.069 18.996 19.096 19.001 
1.376 21.039 20.048 19.418 19.143 19.110 19.194 19.417 19.131 19.154 19.037 19.104 19.143 19.355 19.115 
1.458 21.198 20.031 19.616 19.274 19.145 19.176 19.587 19.155 19.116 18.991 19.100 19.071 19.212 19.071 
1.544 21.468 20.340 19.730 19.306 19.277 19.145 19.718 19.232 19.080 18.911 19.099 19.122 19.096 19.045 
1.636 21.885 20.479 19.751 19.376 19.245 19.135 19.723 19.252 19.046 19.045 19.048 18.987 19.155 19.040 
1.733 22.168 20.664 19.922 19.467 19.292 19.296 19.885 19.330 19.191 18.987 19.080 18.982 19.116 19.064 
1.836 22.642 20.977 20.027 19.541 19.390 19.343 20.013 19.404 19.212 18.991 19.059 18.950 19.242 19.059 
1.944 22.792 21.068 20.146 19.611 19.486 19.396 20.116 19.485 19.283 19.086 19.036 18.960 19.173 19.093 
2.060 22.843 21.329 20.295 19.753 19.561 19.374 20.309 19.532 19.238 19.027 19.140 19.129 19.174 19.135 
2.182 23.283 21.548 20.597 19.901 19.659 19.440 20.542 19.626 19.427 19.224 19.160 19.134 19.186 19.237 
2.311 23.931 21.748 20.674 20.060 19.805 19.582 20.641 19.778 19.477 19.127 19.210 19.189 19.210 19.251 
2.448 24.132 21.853 20.767 20.198 19.916 19.642 20.751 19.890 19.529 19.200 19.250 19.167 19.203 19.290 
2.594 24.512 22.031 20.944 20.343 20.070 19.773 20.922 20.045 19.599 19.275 19.295 19.170 19.325 19.341 
2.747 24.835 22.316 21.086 20.462 20.116 19.830 21.069 20.118 19.686 19.299 19.339 19.286 19.250 19.397 
2.910 25.080 22.506 21.177 20.517 20.208 19.787 21.187 20.119 19.703 19.356 19.360 19.251 19.303 19.416 
3.083 25.422 22.570 21.372 20.641 20.252 19.804 21.344 20.180 19.738 19.374 19.381 19.268 19.273 19.437 
3.266 25.614 22.833 21.444 20.795 20.412 19.878 21.448 20.312 19.823 19.416 19.310 19.242 19.307 19.443 
3.459 26.266 22.920 21.579 20.868 20.499 19.951 21.576 20.415 19.864 19.430 19.353 19.256 19.222 19.471 
3.665 26.820 23.387 21.756 21.000 20.639 20.024 21.753 20.527 19.957 19.502 19.361 19.343 19.340 19.527 
3.882 28.059 23.867 22.128 21.264 20.788 20.118 22.091 20.663 20.085 19.520 19.352 19.306 19.297 19.547 
4.112 27.414 24.345 22.319 21.412 20.889 20.180 22.290 20.761 20.120 19.559 19.336 19.362 19.324 19.568 
4.356 28.304 24.615 22.705 21.688 21.126 20.244 22.611 20.932 20.201 19.641 19.346 19.408 19.361 19.618 
4.614 28.735 24.907 22.914 21.870 21.349 20.288 22.746 21.097 20.290 19.637 19.341 19.389 19.361 19.623 
4.888 29.002 25.181 23.191 22.101 21.540 20.412 22.982 21.250 20.403 19.680 19.334 19.408 19.370 19.659 
5.178 29.916 25.569 23.505 22.292 21.636 20.539 23.205 21.408 20.511 19.731 19.311 19.414 19.365 19.677 
5.485 31.913 25.675 23.692 22.403 21.822 20.614 23.365 21.520 20.612 19.813 19.371 19.428 19.377 19.733 
5.810 32.831 25.964 24.090 22.657 21.966 20.720 23.664 21.666 20.692 19.896 19.381 19.426 19.392 19.771 
6.155 31.827 26.237 24.289 22.712 22.129 20.851 23.703 21.836 20.820 19.915 19.358 19.436 19.405 19.786 
6.520 33.533 26.649 24.471 22.868 22.407 20.997 23.921 22.040 20.924 19.991 19.379 19.441 19.418 19.826 
6.906 32.160 26.835 24.668 23.136 22.543 21.076 24.105 22.184 21.001 20.058 19.410 19.441 19.424 19.859 
7.316 31.045 27.175 25.039 23.218 22.726 21.211 24.295 22.304 21.112 20.114 19.414 19.457 19.455 19.892 
7.750 37.341 27.404 25.527 23.578 22.774 21.297 24.657 22.453 21.218 20.187 19.452 19.479 19.474 19.940 
8.210 47.845 28.019 25.888 23.872 22.938 21.581 24.950 22.689 21.383 20.310 19.461 19.442 19.501 19.972 
8.696 49.363 29.626 26.381 24.311 23.234 21.758 25.520 22.927 21.568 20.427 19.492 19.469 19.536 20.034 
9.212 48.311 29.707 27.090 24.672 23.493 21.986 25.996 23.177 21.726 20.554 19.563 19.510 19.615 20.106 
9.759 nan 29.697 28.120 25.374 23.872 22.260 26.698 23.546 21.900 20.689 19.636 19.540 19.649 20.184 
10.337 61.125 31.339 28.085 25.666 24.024 22.598 27.008 23.795 22.109 20.811 19.700 19.583 19.734 20.263 
10.950 nan 31.811 28.193 25.958 24.402 22.851 27.289 24.076 22.350 20.931 19.756 19.620 19.822 20.332 
11.600 67.895 37.529 29.205 26.616 24.748 23.081 28.165 24.391 22.518 21.107 19.858 19.712 19.894 20.440 
12.288 nan 36.005 29.815 26.985 25.075 23.401 28.619 24.721 22.748 21.194 19.948 19.796 20.005 20.530 
13.016 70.820 37.671 30.425 27.200 25.556 23.660 28.569 25.126 22.930 21.385 20.062 19.880 20.074 20.649 
13.788 nan 36.706 31.796 28.184 25.629 23.944 30.222 25.264 23.165 21.512 20.191 19.999 20.229 20.776 
14.606 nan 37.065 30.740 28.773 26.276 24.298 29.812 25.763 23.468 21.659 20.290 20.095 20.402 20.890 
15.472 nan 38.240 32.799 29.472 26.703 24.844 31.727 26.284 23.795 21.849 20.463 20.232 20.568 21.054 
16.390 nan 48.628 32.013 30.372 27.170 25.153 31.504 26.630 24.116 21.978 20.587 20.396 20.710 21.202 
17.362 nan 42.900 33.913 29.473 27.233 25.846 31.379 27.167 24.479 22.166 20.793 20.544 20.850 21.384 
18.392 90.835 60.268 36.448 30.214 27.807 26.078 34.418 27.438 24.684 22.390 20.960 20.721 21.017 21.563 
19.482 92.052 48.090 33.899 33.936 28.028 26.351 34.507 27.851 24.949 22.582 21.203 20.916 21.168 21.774 
20.638 nan nan 37.411 33.748 29.030 26.758 36.056 28.477 25.187 22.802 21.498 21.178 21.321 22.043 
21.862 nan 54.835 38.222 31.983 29.189 27.033 34.956 28.752 25.132 22.946 21.743 21.407 21.444 22.262 
23.158 95.941 41.532 33.202 30.016 27.922 26.723 32.679 27.855 24.774 22.910 21.930 21.548 21.559 22.392 
24.532 nan 42.979 32.375 29.387 27.709 26.381 31.844 27.532 24.686 23.009 22.215 21.859 21.741 22.640 
25.987 nan 54.004 34.547 30.255 28.114 26.837 32.287 27.993 24.881 23.178 22.481 22.125 21.848 22.884 
27.528 nan 83.955 36.947 30.525 28.633 27.105 34.150 28.385 25.184 23.362 22.623 22.282 21.945 23.046 
29.160 nan 84.835 41.105 31.686 29.271 27.683 35.008 28.886 25.539 23.582 22.813 22.454 22.071 23.252 
30.890 inf inf inf inf inf inf inf inf inf inf inf inf inf inf 
