# t[days] lsstu lsstg lsstr lssti lsstz lssty f062 f087 f106 f129 f158 f184 f213 f146 
0.103 23.509 23.374 25.411 26.542 23.706 26.492 24.656 24.431 26.990 25.331 30.466 27.923 26.400 26.295 
0.109 20.539 20.945 21.766 21.516 21.826 22.770 21.460 22.259 22.696 24.093 21.914 20.701 26.313 21.992 
0.116 20.893 20.690 21.922 21.671 21.003 22.718 21.487 21.416 21.283 22.534 23.921 28.069 30.055 22.404 
0.122 20.439 20.644 20.044 20.403 20.968 22.869 20.352 20.787 21.593 22.664 23.178 23.930 27.887 22.504 
0.130 20.604 20.770 21.028 20.717 21.694 23.250 20.689 22.036 22.189 22.861 23.174 24.828 28.972 22.941 
0.137 20.489 20.585 20.691 21.264 20.608 20.894 20.777 20.837 21.012 21.582 23.305 24.071 24.890 21.756 
0.145 20.895 20.514 21.219 21.003 21.195 20.891 21.077 20.957 21.244 21.914 23.261 24.280 21.691 22.003 
0.154 20.614 20.921 20.720 21.331 21.040 21.310 20.890 21.098 21.625 21.953 22.104 23.356 24.414 21.990 
0.163 20.812 20.916 21.287 21.033 20.704 21.518 21.201 20.773 22.087 21.487 22.106 22.720 22.288 21.923 
0.173 20.792 20.985 20.835 21.116 21.394 21.889 20.921 21.367 21.970 20.977 21.940 23.173 22.395 21.712 
0.183 20.829 20.841 20.974 20.916 21.316 21.955 21.009 21.116 22.045 21.232 21.954 22.160 23.155 21.877 
0.194 21.014 21.192 21.118 20.908 21.230 21.563 21.149 21.104 21.820 21.889 21.220 21.119 22.819 21.442 
0.206 20.937 21.049 21.061 21.274 21.062 21.520 21.106 21.127 21.757 21.605 22.515 22.480 23.217 21.951 
0.218 21.105 21.351 21.264 21.654 21.049 21.723 21.442 21.308 21.596 21.670 21.583 22.144 22.242 21.736 
0.231 21.312 21.108 21.166 21.618 22.024 21.899 21.255 21.844 21.860 22.238 22.217 23.643 22.935 22.213 
0.244 21.188 21.308 21.551 21.270 21.965 22.288 21.451 21.720 22.155 21.524 22.373 22.303 22.862 21.962 
0.259 21.292 21.513 21.523 21.615 21.580 21.895 21.596 21.667 21.872 21.687 21.474 21.362 22.516 21.566 
0.274 20.996 21.586 21.578 21.960 21.901 21.885 21.711 21.944 22.135 22.343 22.222 22.617 23.287 22.315 
0.290 21.492 21.633 21.872 21.526 21.901 22.281 21.760 21.855 22.228 22.148 22.229 22.062 21.293 22.211 
0.308 21.424 21.626 21.913 22.018 21.889 22.164 21.856 22.073 22.004 22.081 22.533 22.037 22.245 22.195 
0.326 21.581 21.713 21.646 21.721 21.840 21.628 21.637 21.801 21.972 22.508 22.393 22.413 22.201 22.233 
0.345 21.710 21.654 21.747 21.991 21.566 21.729 21.739 21.747 21.905 22.210 22.798 22.110 23.088 22.185 
0.366 21.572 21.579 21.808 22.025 21.611 21.940 21.762 21.893 21.990 22.494 22.618 22.192 22.373 22.275 
0.387 21.712 21.678 21.750 21.812 21.700 21.568 21.728 21.714 21.563 22.014 22.381 22.622 22.499 22.031 
0.410 21.900 21.972 22.170 22.042 22.019 21.756 22.096 21.975 21.739 22.055 22.602 22.328 22.083 22.129 
0.435 21.893 21.839 21.935 21.754 21.894 21.926 21.881 21.799 21.921 22.117 22.341 22.612 22.703 22.189 
0.461 21.989 21.938 21.804 21.815 22.104 22.035 21.825 22.009 22.051 22.134 22.355 22.395 22.635 22.227 
0.488 22.102 21.992 21.918 21.915 21.900 21.813 21.906 21.841 22.101 22.094 22.284 22.146 22.402 22.162 
0.517 22.222 22.054 21.938 21.832 22.092 22.029 21.903 22.037 22.158 22.139 22.375 21.959 22.336 22.155 
0.547 22.185 22.185 22.036 22.007 21.980 22.099 22.047 22.026 22.138 22.092 22.282 22.549 22.685 22.247 
0.580 22.259 22.070 22.066 21.819 22.078 22.064 21.990 21.993 22.045 21.968 22.312 22.678 22.499 22.222 
0.614 22.446 22.154 22.052 21.873 22.104 21.994 22.011 22.006 22.027 22.219 22.227 22.203 22.560 22.148 
0.651 22.485 22.254 22.046 22.014 22.168 21.964 22.041 22.119 22.132 22.112 22.370 22.267 22.391 22.197 
0.689 22.602 22.195 22.034 22.011 22.023 22.088 22.045 22.030 22.142 22.097 22.428 22.181 22.466 22.197 
0.730 22.652 22.235 22.016 21.835 21.959 21.907 21.986 21.903 21.992 22.027 22.279 22.189 22.192 22.116 
0.773 22.828 22.289 22.143 21.933 22.003 21.920 22.100 21.966 21.926 21.995 22.121 22.326 22.657 22.064 
0.819 22.999 22.372 22.095 21.954 21.907 22.021 22.084 21.957 22.009 22.059 22.006 22.174 22.335 22.063 
0.868 23.220 22.486 22.130 21.918 22.082 22.010 22.111 22.020 22.053 22.062 22.112 22.107 22.472 22.082 
0.919 23.393 22.614 22.252 21.958 22.016 22.032 22.225 21.997 22.022 21.959 22.092 22.148 22.411 22.042 
0.974 23.576 22.694 22.273 22.003 21.961 22.009 22.263 21.966 22.006 21.981 22.073 22.172 22.378 22.050 
1.032 23.800 22.753 22.395 22.113 22.033 21.920 22.368 22.007 21.952 22.021 22.152 22.202 22.415 22.071 
1.093 24.001 22.840 22.443 22.113 21.989 21.901 22.397 21.985 21.965 21.912 22.022 22.172 22.417 22.003 
1.158 24.181 22.985 22.494 22.156 22.071 22.036 22.481 22.050 22.042 21.963 22.092 22.117 22.420 22.055 
1.226 24.420 23.101 22.674 22.298 22.197 22.082 22.612 22.195 22.072 21.974 22.158 22.080 22.295 22.072 
1.299 24.671 23.199 22.711 22.312 22.180 22.058 22.651 22.182 22.042 21.952 22.109 22.201 22.263 22.063 
1.376 25.028 23.361 22.793 22.368 22.162 22.006 22.754 22.158 22.000 21.937 22.031 22.132 22.333 22.012 
1.458 25.168 23.355 22.770 22.383 22.288 22.005 22.750 22.205 22.002 21.969 22.073 22.154 22.166 22.042 
1.544 25.532 23.487 22.832 22.446 22.289 22.051 22.817 22.246 21.976 21.880 22.038 22.129 22.172 22.003 
1.636 25.679 23.617 22.863 22.429 22.259 22.020 22.842 22.221 21.985 21.903 22.017 22.086 22.165 21.991 
1.733 26.207 23.754 22.964 22.491 22.353 22.008 22.939 22.272 22.020 21.910 22.000 22.085 22.140 22.007 
1.836 26.755 23.957 23.058 22.575 22.342 22.079 23.052 22.308 22.038 21.984 22.032 22.078 22.167 22.028 
1.944 26.975 24.136 23.094 22.625 22.373 22.095 23.102 22.342 22.054 21.917 22.020 22.056 22.152 22.008 
2.060 27.376 24.262 23.231 22.693 22.480 22.072 23.208 22.401 22.055 21.954 22.009 22.065 22.084 22.021 
2.182 27.447 24.561 23.372 22.782 22.540 22.106 23.352 22.456 22.084 21.968 22.058 22.122 22.126 22.052 
2.311 27.959 24.714 23.484 22.894 22.556 22.132 23.478 22.494 22.123 22.011 22.060 22.114 22.006 22.073 
2.448 28.340 25.020 23.602 22.969 22.669 22.246 23.600 22.595 22.218 22.021 22.025 22.118 22.068 22.096 
2.594 29.009 25.376 23.806 23.119 22.747 22.282 23.790 22.675 22.232 22.041 22.014 22.126 22.019 22.104 
2.747 29.330 25.788 24.024 23.219 22.820 22.315 23.977 22.738 22.283 22.061 22.023 22.150 22.032 22.121 
2.910 29.945 26.040 24.283 23.417 22.917 22.391 24.199 22.861 22.338 22.096 22.040 22.150 22.017 22.150 
3.083 30.594 26.406 24.510 23.586 22.982 22.486 24.405 22.952 22.427 22.133 22.062 22.193 22.045 22.198 
3.266 30.447 26.660 24.771 23.708 23.153 22.615 24.590 23.112 22.550 22.230 22.062 22.185 22.036 22.245 
3.459 32.123 26.883 25.035 23.872 23.313 22.751 24.776 23.273 22.668 22.303 22.058 22.153 22.049 22.288 
3.665 31.870 27.288 25.351 24.092 23.494 22.882 25.023 23.456 22.817 22.413 22.128 22.203 22.060 22.377 
3.882 32.994 27.540 25.709 24.311 23.675 23.067 25.301 23.653 22.958 22.510 22.183 22.231 22.073 22.450 
4.112 33.883 27.766 26.101 24.541 23.921 23.223 25.570 23.875 23.085 22.621 22.217 22.224 22.137 22.511 
4.356 34.139 28.309 26.418 24.815 24.119 23.434 25.878 24.088 23.278 22.720 22.247 22.229 22.142 22.576 
4.614 36.243 28.763 26.913 25.089 24.305 23.571 26.202 24.260 23.376 22.808 22.295 22.273 22.154 22.643 
4.888 39.052 29.080 27.319 25.447 24.497 23.798 26.594 24.506 23.557 22.947 22.338 22.243 22.179 22.704 
5.178 40.617 29.914 27.930 25.875 24.831 24.056 27.083 24.817 23.753 23.093 22.397 22.282 22.230 22.789 
5.485 47.365 30.419 28.410 26.369 25.231 24.332 27.621 25.176 23.959 23.277 22.490 22.328 22.270 22.898 
5.810 47.303 31.403 29.271 26.818 25.517 24.572 28.114 25.465 24.127 23.396 22.543 22.368 22.347 22.971 
6.155 43.831 31.873 29.634 27.250 25.833 24.833 28.641 25.771 24.327 23.551 22.659 22.454 22.449 23.090 
6.520 59.726 32.430 30.528 27.739 26.323 25.175 29.103 26.213 24.589 23.725 22.768 22.504 22.527 23.200 
6.906 55.097 33.067 31.216 28.276 26.644 25.361 29.791 26.444 24.790 23.897 22.888 22.607 22.631 23.330 
7.316 76.334 32.988 31.634 28.641 27.119 25.717 30.181 26.890 25.011 23.988 22.986 22.725 22.697 23.440 
7.750 82.746 33.596 31.477 28.964 27.537 25.998 30.299 27.273 25.267 24.153 23.118 22.867 22.830 23.589 
8.210 nan 33.606 32.516 29.617 28.014 26.153 30.908 27.545 25.453 24.313 23.270 22.998 22.949 23.734 
8.696 nan 34.699 33.293 29.988 28.090 26.468 31.567 27.759 25.732 24.463 23.463 23.180 23.112 23.922 
9.212 91.929 36.753 33.860 30.305 28.569 26.769 31.965 28.161 26.012 24.587 23.645 23.356 23.316 24.098 
9.759 91.628 38.512 36.983 30.596 28.658 27.013 33.229 28.290 26.292 24.760 23.781 23.578 23.501 24.285 
10.337 93.677 37.260 35.257 31.685 29.356 27.453 33.128 28.893 26.733 24.915 23.935 23.769 23.661 24.459 
10.950 97.074 54.295 36.981 32.075 29.727 27.939 34.444 29.336 27.089 25.183 24.116 23.928 23.820 24.652 
11.600 97.736 61.532 35.645 32.107 30.215 28.157 33.869 29.611 27.302 25.394 24.315 24.167 24.092 24.871 
12.288 nan 57.955 37.759 33.941 30.905 28.927 35.517 30.318 27.882 25.641 24.556 24.383 24.318 25.120 
13.016 nan 79.837 50.582 32.856 30.839 29.271 34.728 30.544 28.229 26.038 24.873 24.699 24.661 25.445 
13.788 100.684 nan 44.280 33.399 31.675 30.343 38.677 31.434 28.608 26.412 25.149 24.943 24.971 25.722 
14.606 101.851 nan nan 36.824 33.143 30.902 40.743 32.494 29.143 26.920 25.563 25.369 25.313 26.153 
15.472 103.098 86.984 nan 36.522 32.939 31.236 41.857 32.499 29.493 27.383 25.933 25.821 25.719 26.556 
16.390 103.898 85.731 69.379 38.189 34.196 31.994 45.001 33.385 30.201 27.733 26.400 26.306 26.092 27.009 
17.362 106.494 87.618 66.589 40.910 33.677 31.802 42.240 33.007 30.022 28.004 26.840 26.828 26.359 27.438 
18.392 nan 88.835 nan 38.114 34.715 32.399 39.474 33.681 30.972 28.324 27.337 27.539 26.779 27.960 
19.482 nan 89.782 85.967 43.256 34.037 32.438 nan 34.084 31.585 29.106 28.143 28.288 27.440 28.757 
20.638 nan 94.090 nan 78.506 nan 34.413 82.047 35.710 32.632 30.325 29.248 29.382 28.544 29.840 
21.862 111.751 nan nan nan 74.707 51.386 nan 74.246 35.542 33.256 31.762 31.056 29.900 32.015 
23.158 nan nan 89.713 nan 76.912 78.624 nan nan nan 33.958 33.361 32.714 30.620 33.482 
