# t[days] lsstu lsstg lsstr lssti lsstz lssty f062 f087 f106 f129 f158 f184 f213 f146 
0.103 25.519 25.100 24.178 26.857 29.920 27.272 24.703 28.902 27.464 29.734 29.067 33.304 38.316 28.476 
0.109 21.792 22.873 21.600 24.604 26.379 27.472 22.077 26.415 27.279 22.714 26.959 28.859 28.514 23.916 
0.116 21.163 21.775 22.187 23.156 22.587 22.562 22.172 22.440 23.196 25.658 25.664 27.459 39.663 24.316 
0.122 21.427 22.135 21.980 21.848 23.076 21.056 21.936 22.006 22.135 24.830 27.987 28.534 32.449 23.289 
0.130 20.899 21.229 22.229 21.984 23.825 24.293 21.919 23.140 23.272 23.425 23.007 26.570 26.176 23.476 
0.137 20.378 20.879 21.803 21.219 21.963 24.248 21.262 22.225 23.308 26.445 25.852 25.323 27.569 24.327 
0.145 20.467 21.204 21.631 22.477 23.819 22.395 21.820 22.775 22.131 25.061 23.961 22.445 28.404 22.854 
0.154 20.439 21.101 21.704 22.036 22.827 22.914 21.492 22.581 23.747 24.787 26.361 25.693 24.672 24.576 
0.163 20.581 21.099 21.168 21.880 21.580 23.514 21.390 21.753 23.745 22.701 24.801 23.639 25.157 23.393 
0.173 20.485 20.977 21.637 21.619 21.924 23.089 21.468 22.087 22.009 22.610 22.906 26.670 25.483 22.663 
0.183 20.340 20.710 21.541 22.413 22.062 22.340 21.609 22.119 22.861 23.239 23.527 24.488 24.371 23.352 
0.194 20.365 20.938 21.298 21.890 21.820 22.611 21.369 22.066 22.902 23.679 22.671 22.985 24.236 22.870 
0.206 20.345 20.939 21.789 21.266 21.295 21.914 21.517 21.374 22.168 22.779 23.037 24.436 27.085 22.663 
0.218 20.536 21.000 21.423 21.798 23.044 21.888 21.409 22.210 22.101 22.457 23.948 24.372 25.114 22.792 
0.231 20.687 21.119 22.073 22.008 21.938 22.556 21.821 22.026 22.668 22.981 22.918 22.764 24.402 22.842 
0.244 20.981 21.374 21.650 22.524 22.615 23.414 21.797 22.782 22.989 23.242 24.055 23.329 23.978 23.312 
