# t[days] lsstu lsstg lsstr lssti lsstz lssty f062 f087 f106 f129 f158 f184 f213 f146 
0.103 20.140 21.317 22.547 20.895 20.868 25.102 22.609 20.858 25.511 26.083 24.815 25.798 36.063 25.521 
0.109 17.325 18.160 18.123 20.544 20.408 20.914 18.677 20.496 19.411 19.589 26.319 27.440 28.745 20.538 
0.116 17.450 17.458 18.512 18.609 22.297 22.043 17.925 20.721 21.448 21.805 20.159 20.824 26.745 20.777 
0.122 17.944 17.394 18.250 17.404 19.452 18.467 17.559 18.867 18.942 19.288 21.256 23.410 32.632 19.555 
0.130 17.878 17.029 18.330 19.115 18.049 18.629 18.227 18.178 19.579 20.650 19.616 21.347 22.152 19.876 
0.137 17.176 17.904 18.703 18.435 17.413 18.561 18.246 17.761 19.165 18.763 19.634 20.973 20.018 19.305 
0.145 17.048 17.894 18.330 17.696 18.371 17.234 17.888 18.028 18.103 20.780 18.567 19.701 19.778 18.705 
0.154 17.006 17.176 17.406 18.215 17.973 18.560 17.569 18.161 17.986 18.201 22.542 21.566 18.598 18.591 
0.163 17.074 17.714 17.668 18.066 18.787 18.089 17.696 18.562 17.879 18.336 19.769 19.718 22.156 18.618 
0.173 16.824 17.478 17.436 18.084 18.622 19.690 17.537 18.716 19.078 17.396 17.969 24.646 20.325 18.464 
0.183 16.944 17.535 17.412 17.378 18.506 18.254 17.414 18.216 18.543 19.457 18.672 20.365 19.453 18.898 
0.194 17.094 17.500 18.187 17.553 18.726 19.346 17.890 18.299 19.856 19.436 18.922 18.315 19.208 19.204 
0.206 17.193 17.636 17.915 18.182 17.719 19.215 17.874 18.211 19.257 19.269 19.979 22.497 19.596 19.676 
0.218 17.283 17.268 17.900 17.395 18.275 18.160 17.689 17.798 18.717 19.875 20.034 21.263 20.591 19.520 
0.231 17.252 17.511 17.975 17.889 17.086 17.826 17.885 17.467 17.945 19.442 19.836 21.990 19.023 18.894 
0.244 17.174 17.453 17.766 18.635 17.753 18.309 17.930 18.069 18.809 19.627 20.405 20.998 20.748 19.558 
0.259 17.342 17.494 17.717 18.013 18.132 18.080 17.631 18.271 18.247 18.486 20.108 19.819 21.871 18.852 
0.274 17.424 17.613 17.957 18.190 18.178 18.272 17.917 18.363 18.450 18.586 20.319 20.009 18.163 18.914 
